Session,Date,Coalition,Opposition
ParlaMint-EE-en_2011-04-04-meta.tsv,2011-04-04,5,0
ParlaMint-EE-en_2011-04-05-meta.tsv,2011-04-05,4,0
ParlaMint-EE-en_2011-04-06-meta.tsv,2011-04-06,12,0
ParlaMint-EE-en_2011-04-07-meta.tsv,2011-04-07,4,0
ParlaMint-EE-en_2011-04-11-meta.tsv,2011-04-11,1,0
ParlaMint-EE-en_2011-04-12-meta.tsv,2011-04-12,1,0
ParlaMint-EE-en_2011-04-13-meta.tsv,2011-04-13,5,0
ParlaMint-EE-en_2011-04-14-meta.tsv,2011-04-14,0,0
ParlaMint-EE-en_2011-04-18-meta.tsv,2011-04-18,1,0
ParlaMint-EE-en_2011-04-19-meta.tsv,2011-04-19,1,0
ParlaMint-EE-en_2011-04-20-meta.tsv,2011-04-20,3,0
ParlaMint-EE-en_2011-04-21-meta.tsv,2011-04-21,1,0
ParlaMint-EE-en_2011-05-02-meta.tsv,2011-05-02,2,0
ParlaMint-EE-en_2011-05-03-meta.tsv,2011-05-03,11,0
ParlaMint-EE-en_2011-05-04-meta.tsv,2011-05-04,7,0
ParlaMint-EE-en_2011-05-05-meta.tsv,2011-05-05,2,0
ParlaMint-EE-en_2011-05-09-meta.tsv,2011-05-09,3,0
ParlaMint-EE-en_2011-05-10-meta.tsv,2011-05-10,19,0
ParlaMint-EE-en_2011-05-11-meta.tsv,2011-05-11,12,0
ParlaMint-EE-en_2011-05-12-meta.tsv,2011-05-12,0,0
ParlaMint-EE-en_2011-05-16-meta.tsv,2011-05-16,3,0
ParlaMint-EE-en_2011-05-17-meta.tsv,2011-05-17,3,0
ParlaMint-EE-en_2011-05-18-meta.tsv,2011-05-18,6,0
ParlaMint-EE-en_2011-05-19-meta.tsv,2011-05-19,1,0
ParlaMint-EE-en_2011-05-30-meta.tsv,2011-05-30,3,0
ParlaMint-EE-en_2011-05-31-meta.tsv,2011-05-31,14,0
ParlaMint-EE-en_2011-06-01-meta.tsv,2011-06-01,18,0
ParlaMint-EE-en_2011-06-02-meta.tsv,2011-06-02,9,0
ParlaMint-EE-en_2011-06-06-meta.tsv,2011-06-06,3,0
ParlaMint-EE-en_2011-06-07-meta.tsv,2011-06-07,18,0
ParlaMint-EE-en_2011-06-08-meta.tsv,2011-06-08,20,0
ParlaMint-EE-en_2011-06-09-meta.tsv,2011-06-09,10,0
ParlaMint-EE-en_2011-06-13-meta.tsv,2011-06-13,4,0
ParlaMint-EE-en_2011-06-14-meta.tsv,2011-06-14,4,0
ParlaMint-EE-en_2011-06-15-meta.tsv,2011-06-15,16,0
ParlaMint-EE-en_2011-06-16-meta.tsv,2011-06-16,16,0
ParlaMint-EE-en_2011-08-29-meta.tsv,2011-08-29,1,0
ParlaMint-EE-en_2011-09-12-meta.tsv,2011-09-12,1,0
ParlaMint-EE-en_2011-09-13-meta.tsv,2011-09-13,15,0
ParlaMint-EE-en_2011-09-14-meta.tsv,2011-09-14,4,0
ParlaMint-EE-en_2011-09-15-meta.tsv,2011-09-15,7,0
ParlaMint-EE-en_2011-09-19-meta.tsv,2011-09-19,2,0
ParlaMint-EE-en_2011-09-20-meta.tsv,2011-09-20,22,0
ParlaMint-EE-en_2011-09-21-meta.tsv,2011-09-21,12,0
ParlaMint-EE-en_2011-09-22-meta.tsv,2011-09-22,7,0
ParlaMint-EE-en_2011-09-26-meta.tsv,2011-09-26,3,0
ParlaMint-EE-en_2011-09-27-meta.tsv,2011-09-27,17,0
ParlaMint-EE-en_2011-09-28-meta.tsv,2011-09-28,26,0
ParlaMint-EE-en_2011-09-29-meta.tsv,2011-09-29,15,0
ParlaMint-EE-en_2011-10-10-meta.tsv,2011-10-10,3,0
ParlaMint-EE-en_2011-10-11-meta.tsv,2011-10-11,17,0
ParlaMint-EE-en_2011-10-12-meta.tsv,2011-10-12,6,0
ParlaMint-EE-en_2011-10-13-meta.tsv,2011-10-13,9,0
ParlaMint-EE-en_2011-10-17-meta.tsv,2011-10-17,2,0
ParlaMint-EE-en_2011-10-18-meta.tsv,2011-10-18,18,0
ParlaMint-EE-en_2011-10-19-meta.tsv,2011-10-19,10,0
ParlaMint-EE-en_2011-10-20-meta.tsv,2011-10-20,1,0
ParlaMint-EE-en_2011-10-24-meta.tsv,2011-10-24,1,0
ParlaMint-EE-en_2011-10-25-meta.tsv,2011-10-25,19,0
ParlaMint-EE-en_2011-10-26-meta.tsv,2011-10-26,16,0
ParlaMint-EE-en_2011-10-27-meta.tsv,2011-10-27,17,0
ParlaMint-EE-en_2011-11-07-meta.tsv,2011-11-07,2,0
ParlaMint-EE-en_2011-11-08-meta.tsv,2011-11-08,11,0
ParlaMint-EE-en_2011-11-09-meta.tsv,2011-11-09,12,0
ParlaMint-EE-en_2011-11-10-meta.tsv,2011-11-10,1,0
