Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-IS-en_2018-06-08-74	ParlaMint-IS_2018-06-08-74.u1	Speeches in the national parliament of Iceland, 23. term, regular meeting 148-74, 08.06.2018.	2018-06-08	Unicameralism	23. kjörtímabil	148. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	notMinister	S	Sjálfstæðisflokkur	Coalition	Centre to centre-right	PallMagnusson	Magnússon, Páll	M	1954	
ParlaMint-IS-en_2018-06-08-74	ParlaMint-IS_2018-06-08-74.u2	Speeches in the national parliament of Iceland, 23. term, regular meeting 148-74, 08.06.2018.	2018-06-08	Unicameralism	23. kjörtímabil	148. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	Minister	S	Sjálfstæðisflokkur	Coalition	Centre to centre-right	BjarniBenediktsson1970	Benediktsson, Bjarni	M	1970	
ParlaMint-IS-en_2018-06-08-74	ParlaMint-IS_2018-06-08-74.u3	Speeches in the national parliament of Iceland, 23. term, regular meeting 148-74, 08.06.2018.	2018-06-08	Unicameralism	23. kjörtímabil	148. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	notMinister	S	Sjálfstæðisflokkur	Coalition	Centre to centre-right	BirgirArmannsson	Ármannsson, Birgir	M	1968	
ParlaMint-IS-en_2018-06-08-74	ParlaMint-IS_2018-06-08-74.u4	Speeches in the national parliament of Iceland, 23. term, regular meeting 148-74, 08.06.2018.	2018-06-08	Unicameralism	23. kjörtímabil	148. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	notMinister	M	Miðflokkurinn	-	Centre to centre-right	BergthorOlason	Ólason, Bergþór	M	1975	
ParlaMint-IS-en_2018-06-08-74	ParlaMint-IS_2018-06-08-74.u5	Speeches in the national parliament of Iceland, 23. term, regular meeting 148-74, 08.06.2018.	2018-06-08	Unicameralism	23. kjörtímabil	148. löggjafarþing	Hefðbundinn	-	-	Reference	English	Chairperson	MP	notMinister	Vg	Vinstrihreyfingin - grænt framboð	Coalition	Centre-left to left	SteingrimurSigfusson	Sigfússon, Steingrímur J.	M	1955	
ParlaMint-IS-en_2018-06-08-74	ParlaMint-IS_2018-06-08-74.u6	Speeches in the national parliament of Iceland, 23. term, regular meeting 148-74, 08.06.2018.	2018-06-08	Unicameralism	23. kjörtímabil	148. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	notMinister	M	Miðflokkurinn	-	Centre to centre-right	BergthorOlason	Ólason, Bergþór	M	1975	
