Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-IS-en_2018-06-08-73	ParlaMint-IS_2018-06-08-73.u1	Speeches in the national parliament of Iceland, 23. term, regular meeting 148-73, 08.06.2018.	2018-06-08	Unicameralism	23. kjörtímabil	148. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	notMinister	Vg	Vinstrihreyfingin - grænt framboð	Coalition	Centre-left to left	LiljaMagnusdottir	Magnúsdóttir, Lilja Rafney	F	1957	
ParlaMint-IS-en_2018-06-08-73	ParlaMint-IS_2018-06-08-73.u2	Speeches in the national parliament of Iceland, 23. term, regular meeting 148-73, 08.06.2018.	2018-06-08	Unicameralism	23. kjörtímabil	148. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	notMinister	M	Miðflokkurinn	-	Centre to centre-right	SigurdurJonsson1958	Jónsson, Sigurður Páll	M	1958	
ParlaMint-IS-en_2018-06-08-73	ParlaMint-IS_2018-06-08-73.u3	Speeches in the national parliament of Iceland, 23. term, regular meeting 148-73, 08.06.2018.	2018-06-08	Unicameralism	23. kjörtímabil	148. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	notMinister	Sf	Samfylking	-	Centre-left	LogiEinarsson	Einarsson, Logi	M	1964	
ParlaMint-IS-en_2018-06-08-73	ParlaMint-IS_2018-06-08-73.u4	Speeches in the national parliament of Iceland, 23. term, regular meeting 148-73, 08.06.2018.	2018-06-08	Unicameralism	23. kjörtímabil	148. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	notMinister	P	Píratar	-	Pirate Party	SmariMcCarthy	McCarthy, Smári	M	1984	
ParlaMint-IS-en_2018-06-08-73	ParlaMint-IS_2018-06-08-73.u5	Speeches in the national parliament of Iceland, 23. term, regular meeting 148-73, 08.06.2018.	2018-06-08	Unicameralism	23. kjörtímabil	148. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	notMP	notMinister	S	Sjálfstæðisflokkur	Coalition	Centre to centre-right	TeiturEinarsson	Einarsson, Teitur Björn	M	1980	
ParlaMint-IS-en_2018-06-08-73	ParlaMint-IS_2018-06-08-73.u6	Speeches in the national parliament of Iceland, 23. term, regular meeting 148-73, 08.06.2018.	2018-06-08	Unicameralism	23. kjörtímabil	148. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	notMinister	V	Viðreisn	-	Centre-right	THorgerdurGunnarsdottir	Gunnarsdóttir, Þorgerður K.	F	1965	
ParlaMint-IS-en_2018-06-08-73	ParlaMint-IS_2018-06-08-73.u7	Speeches in the national parliament of Iceland, 23. term, regular meeting 148-73, 08.06.2018.	2018-06-08	Unicameralism	23. kjörtímabil	148. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	notMinister	S	Sjálfstæðisflokkur	Coalition	Centre to centre-right	OliKarason	Kárason, Óli Björn	M	1960	
ParlaMint-IS-en_2018-06-08-73	ParlaMint-IS_2018-06-08-73.u8	Speeches in the national parliament of Iceland, 23. term, regular meeting 148-73, 08.06.2018.	2018-06-08	Unicameralism	23. kjörtímabil	148. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	notMinister	Flf	Flokkur fólksins	-	Centre-left	OlafurEsleifsson	Ísleifsson, Ólafur	M	1955	
ParlaMint-IS-en_2018-06-08-73	ParlaMint-IS_2018-06-08-73.u9	Speeches in the national parliament of Iceland, 23. term, regular meeting 148-73, 08.06.2018.	2018-06-08	Unicameralism	23. kjörtímabil	148. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	notMinister	P	Píratar	-	Pirate Party	BjornGunnarsson	Gunnarsson, Björn Leví	M	1976	
ParlaMint-IS-en_2018-06-08-73	ParlaMint-IS_2018-06-08-73.u10	Speeches in the national parliament of Iceland, 23. term, regular meeting 148-73, 08.06.2018.	2018-06-08	Unicameralism	23. kjörtímabil	148. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	notMinister	M	Miðflokkurinn	-	Centre to centre-right	BergthorOlason	Ólason, Bergþór	M	1975	
ParlaMint-IS-en_2018-06-08-73	ParlaMint-IS_2018-06-08-73.u11	Speeches in the national parliament of Iceland, 23. term, regular meeting 148-73, 08.06.2018.	2018-06-08	Unicameralism	23. kjörtímabil	148. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	notMinister	V	Viðreisn	-	Centre-right	THorsteinnViglundsson	Víglundsson, Þorsteinn	M	1969	
