Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-IS-en_2018-07-17-80	ParlaMint-IS_2018-07-17-80.u1	Speeches in the national parliament of Iceland, 23. term, regular meeting 148-80, 17.07.2018.	2018-07-17	Unicameralism	23. kjörtímabil	148. löggjafarþing	Hefðbundinn	-	-	Reference	English	Chairperson	MP	notMinister	Vg	Vinstrihreyfingin - grænt framboð	Coalition	Centre-left to left	SteingrimurSigfusson	Sigfússon, Steingrímur J.	M	1955	
ParlaMint-IS-en_2018-07-17-80	ParlaMint-IS_2018-07-17-80.u2	Speeches in the national parliament of Iceland, 23. term, regular meeting 148-80, 17.07.2018.	2018-07-17	Unicameralism	23. kjörtímabil	148. löggjafarþing	Hefðbundinn	-	-	Reference	English	Chairperson	MP	notMinister	Vg	Vinstrihreyfingin - grænt framboð	Coalition	Centre-left to left	SteingrimurSigfusson	Sigfússon, Steingrímur J.	M	1955	
ParlaMint-IS-en_2018-07-17-80	ParlaMint-IS_2018-07-17-80.u3	Speeches in the national parliament of Iceland, 23. term, regular meeting 148-80, 17.07.2018.	2018-07-17	Unicameralism	23. kjörtímabil	148. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	Minister	Vg	Vinstrihreyfingin - grænt framboð	Coalition	Centre-left to left	KatrinJakobsdottir	Jakobsdóttir, Katrín	F	1976	
ParlaMint-IS-en_2018-07-17-80	ParlaMint-IS_2018-07-17-80.u4	Speeches in the national parliament of Iceland, 23. term, regular meeting 148-80, 17.07.2018.	2018-07-17	Unicameralism	23. kjörtímabil	148. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	notMinister	Sf	Samfylking	-	Centre-left	OddnyHardardottir	Harðardóttir, Oddný G.	F	1957	
ParlaMint-IS-en_2018-07-17-80	ParlaMint-IS_2018-07-17-80.u5	Speeches in the national parliament of Iceland, 23. term, regular meeting 148-80, 17.07.2018.	2018-07-17	Unicameralism	23. kjörtímabil	148. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	notMinister	S	Sjálfstæðisflokkur	Coalition	Centre to centre-right	BirgirArmannsson	Ármannsson, Birgir	M	1968	
ParlaMint-IS-en_2018-07-17-80	ParlaMint-IS_2018-07-17-80.u6	Speeches in the national parliament of Iceland, 23. term, regular meeting 148-80, 17.07.2018.	2018-07-17	Unicameralism	23. kjörtímabil	148. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	notMinister	M	Miðflokkurinn	-	Centre to centre-right	GunnarSveinsson	Sveinsson, Gunnar Bragi	M	1968	
ParlaMint-IS-en_2018-07-17-80	ParlaMint-IS_2018-07-17-80.u7	Speeches in the national parliament of Iceland, 23. term, regular meeting 148-80, 17.07.2018.	2018-07-17	Unicameralism	23. kjörtímabil	148. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	notMinister	F	Framsóknarflokkur	Coalition	Centre to centre-right	THorunnEgilsdottir	Egilsdóttir, Þórunn	F	1964	
ParlaMint-IS-en_2018-07-17-80	ParlaMint-IS_2018-07-17-80.u8	Speeches in the national parliament of Iceland, 23. term, regular meeting 148-80, 17.07.2018.	2018-07-17	Unicameralism	23. kjörtímabil	148. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	notMinister	P	Píratar	-	Pirate Party	BjornGunnarsson	Gunnarsson, Björn Leví	M	1976	
ParlaMint-IS-en_2018-07-17-80	ParlaMint-IS_2018-07-17-80.u9	Speeches in the national parliament of Iceland, 23. term, regular meeting 148-80, 17.07.2018.	2018-07-17	Unicameralism	23. kjörtímabil	148. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	notMinister	Flf	Flokkur fólksins	-	Centre-left	OlafurEsleifsson	Ísleifsson, Ólafur	M	1955	
ParlaMint-IS-en_2018-07-17-80	ParlaMint-IS_2018-07-17-80.u10	Speeches in the national parliament of Iceland, 23. term, regular meeting 148-80, 17.07.2018.	2018-07-17	Unicameralism	23. kjörtímabil	148. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	notMinister	V	Viðreisn	-	Centre-right	THorsteinnViglundsson	Víglundsson, Þorsteinn	M	1969	
ParlaMint-IS-en_2018-07-17-80	ParlaMint-IS_2018-07-17-80.u11	Speeches in the national parliament of Iceland, 23. term, regular meeting 148-80, 17.07.2018.	2018-07-17	Unicameralism	23. kjörtímabil	148. löggjafarþing	Hefðbundinn	-	-	Reference	English	Chairperson	MP	notMinister	Vg	Vinstrihreyfingin - grænt framboð	Coalition	Centre-left to left	SteingrimurSigfusson	Sigfússon, Steingrímur J.	M	1955	
