Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-BE-en_2020-01-08-55-commissie-ic082x	ParlaMint-BE_2020-01-08-55-commissie-ic082x.u1	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 08-01-2020	2020-01-08	Committee	Zittingperiode 55	-	-	-	-	Reference	English	Chairperson	MP	notMinister	Open Vld	Open Vlaamse Liberalen en Democraten	Coalition	Centre-right	VanQuickenborneVincent	Van Quickenborne, Vincent	M	1973	
ParlaMint-BE-en_2020-01-08-55-commissie-ic082x	ParlaMint-BE_2020-01-08-55-commissie-ic082x.u2	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 08-01-2020	2020-01-08	Committee	Zittingperiode 55	-	-	-	-	Reference	English	Regular	MP	notMinister	N-VA	Nieuw-Vlaamse Alliantie	Opposition	Centre-right to right	WollantsBert	Wollants, Bert	M	1979	
ParlaMint-BE-en_2020-01-08-55-commissie-ic082x	ParlaMint-BE_2020-01-08-55-commissie-ic082x.u3	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 08-01-2020	2020-01-08	Committee	Zittingperiode 55	-	-	-	-	Reference	English	Regular	MP	notMinister	N-VA	Nieuw-Vlaamse Alliantie	Opposition	Centre-right to right	WollantsBert	Wollants, Bert	M	1979	
ParlaMint-BE-en_2020-01-08-55-commissie-ic082x	ParlaMint-BE_2020-01-08-55-commissie-ic082x.u4	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 08-01-2020	2020-01-08	Committee	Zittingperiode 55	-	-	-	-	Reference	English	Regular	MP	notMinister	VB	Vlaams Belang	Opposition	Right to far-right	RavytsKurt	Ravyts, Kurt	M	1968	
ParlaMint-BE-en_2020-01-08-55-commissie-ic082x	ParlaMint-BE_2020-01-08-55-commissie-ic082x.u5	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 08-01-2020	2020-01-08	Committee	Zittingperiode 55	-	-	-	-	Reference	English	Regular	MP	notMinister	sp.a	Socialistische Partij Anders	Opposition	Centre-left	VerduycktKris	Verduyckt, Kris	M	1977	
ParlaMint-BE-en_2020-01-08-55-commissie-ic082x	ParlaMint-BE_2020-01-08-55-commissie-ic082x.u6	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 08-01-2020	2020-01-08	Committee	Zittingperiode 55	-	-	-	-	Reference	English	Regular	notMP	notMinister	-	-	-	-	DeBackerPhilippe	De Backer, Philippe	U	-	
ParlaMint-BE-en_2020-01-08-55-commissie-ic082x	ParlaMint-BE_2020-01-08-55-commissie-ic082x.u7	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 08-01-2020	2020-01-08	Committee	Zittingperiode 55	-	-	-	-	Reference	English	Regular	MP	notMinister	N-VA	Nieuw-Vlaamse Alliantie	Opposition	Centre-right to right	WollantsBert	Wollants, Bert	M	1979	
ParlaMint-BE-en_2020-01-08-55-commissie-ic082x	ParlaMint-BE_2020-01-08-55-commissie-ic082x.u8	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 08-01-2020	2020-01-08	Committee	Zittingperiode 55	-	-	-	-	Reference	English	Regular	MP	notMinister	VB	Vlaams Belang	Opposition	Right to far-right	RavytsKurt	Ravyts, Kurt	M	1968	
ParlaMint-BE-en_2020-01-08-55-commissie-ic082x	ParlaMint-BE_2020-01-08-55-commissie-ic082x.u9	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 08-01-2020	2020-01-08	Committee	Zittingperiode 55	-	-	-	-	Reference	English	Regular	MP	notMinister	sp.a	Socialistische Partij Anders	Opposition	Centre-left	VerduycktKris	Verduyckt, Kris	M	1977	
ParlaMint-BE-en_2020-01-08-55-commissie-ic082x	ParlaMint-BE_2020-01-08-55-commissie-ic082x.u10	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 08-01-2020	2020-01-08	Committee	Zittingperiode 55	-	-	-	-	Reference	English	Regular	MP	notMinister	VB	Vlaams Belang	Opposition	Right to far-right	RavytsKurt	Ravyts, Kurt	M	1968	
ParlaMint-BE-en_2020-01-08-55-commissie-ic082x	ParlaMint-BE_2020-01-08-55-commissie-ic082x.u11	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 08-01-2020	2020-01-08	Committee	Zittingperiode 55	-	-	-	-	Reference	English	Regular	notMP	notMinister	-	-	-	-	DeBackerPhilippe	De Backer, Philippe	U	-	
ParlaMint-BE-en_2020-01-08-55-commissie-ic082x	ParlaMint-BE_2020-01-08-55-commissie-ic082x.u12	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 08-01-2020	2020-01-08	Committee	Zittingperiode 55	-	-	-	-	Reference	English	Regular	MP	notMinister	VB	Vlaams Belang	Opposition	Right to far-right	RavytsKurt	Ravyts, Kurt	M	1968	
ParlaMint-BE-en_2020-01-08-55-commissie-ic082x	ParlaMint-BE_2020-01-08-55-commissie-ic082x.u13	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 08-01-2020	2020-01-08	Committee	Zittingperiode 55	-	-	-	-	Reference	English	Chairperson	MP	notMinister	Open Vld	Open Vlaamse Liberalen en Democraten	Coalition	Centre-right	VanQuickenborneVincent	Van Quickenborne, Vincent	M	1973	
