Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-BE-en_2020-10-01-55-plenair-ip057x	ParlaMint-BE_2020-10-01-55-plenair-ip057x.u1	Belgian parliamentary corpus ParlaMint-BE-en, plenary session of 01-10-2020	2020-10-01	Lower house	Zittingperiode 55	-	Plenaire zitting 057 van 01-10-2020	-	-	COVID	English	Chairperson	MP	notMinister	Open Vld	Open Vlaamse Liberalen en Democraten	Coalition	Centre-right	DewaelPatrick	Dewael, Patrick	M	1955	
ParlaMint-BE-en_2020-10-01-55-plenair-ip057x	ParlaMint-BE_2020-10-01-55-plenair-ip057x.u2	Belgian parliamentary corpus ParlaMint-BE-en, plenary session of 01-10-2020	2020-10-01	Lower house	Zittingperiode 55	-	Plenaire zitting 057 van 01-10-2020	-	-	COVID	English	Chairperson	MP	notMinister	Open Vld	Open Vlaamse Liberalen en Democraten	Coalition	Centre-right	DewaelPatrick	Dewael, Patrick	M	1955	
ParlaMint-BE-en_2020-10-01-55-plenair-ip057x	ParlaMint-BE_2020-10-01-55-plenair-ip057x.u3	Belgian parliamentary corpus ParlaMint-BE-en, plenary session of 01-10-2020	2020-10-01	Lower house	Zittingperiode 55	-	Plenaire zitting 057 van 01-10-2020	-	-	COVID	English	Chairperson	MP	notMinister	Open Vld	Open Vlaamse Liberalen en Democraten	Coalition	Centre-right	DewaelPatrick	Dewael, Patrick	M	1955	
ParlaMint-BE-en_2020-10-01-55-plenair-ip057x	ParlaMint-BE_2020-10-01-55-plenair-ip057x.u4	Belgian parliamentary corpus ParlaMint-BE-en, plenary session of 01-10-2020	2020-10-01	Lower house	Zittingperiode 55	-	Plenaire zitting 057 van 01-10-2020	-	-	COVID	English	Chairperson	MP	notMinister	Open Vld	Open Vlaamse Liberalen en Democraten	Coalition	Centre-right	DewaelPatrick	Dewael, Patrick	M	1955	
ParlaMint-BE-en_2020-10-01-55-plenair-ip057x	ParlaMint-BE_2020-10-01-55-plenair-ip057x.u5	Belgian parliamentary corpus ParlaMint-BE-en, plenary session of 01-10-2020	2020-10-01	Lower house	Zittingperiode 55	-	Plenaire zitting 057 van 01-10-2020	-	-	COVID	English	Chairperson	MP	notMinister	Open Vld	Open Vlaamse Liberalen en Democraten	Coalition	Centre-right	DewaelPatrick	Dewael, Patrick	M	1955	
ParlaMint-BE-en_2020-10-01-55-plenair-ip057x	ParlaMint-BE_2020-10-01-55-plenair-ip057x.u6	Belgian parliamentary corpus ParlaMint-BE-en, plenary session of 01-10-2020	2020-10-01	Lower house	Zittingperiode 55	-	Plenaire zitting 057 van 01-10-2020	-	-	COVID	English	Chairperson	MP	notMinister	Open Vld	Open Vlaamse Liberalen en Democraten	Coalition	Centre-right	DewaelPatrick	Dewael, Patrick	M	1955	
ParlaMint-BE-en_2020-10-01-55-plenair-ip057x	ParlaMint-BE_2020-10-01-55-plenair-ip057x.u7	Belgian parliamentary corpus ParlaMint-BE-en, plenary session of 01-10-2020	2020-10-01	Lower house	Zittingperiode 55	-	Plenaire zitting 057 van 01-10-2020	-	-	COVID	English	Chairperson	MP	notMinister	Open Vld	Open Vlaamse Liberalen en Democraten	Coalition	Centre-right	DewaelPatrick	Dewael, Patrick	M	1955	
ParlaMint-BE-en_2020-10-01-55-plenair-ip057x	ParlaMint-BE_2020-10-01-55-plenair-ip057x.u8	Belgian parliamentary corpus ParlaMint-BE-en, plenary session of 01-10-2020	2020-10-01	Lower house	Zittingperiode 55	-	Plenaire zitting 057 van 01-10-2020	-	-	COVID	English	Chairperson	MP	notMinister	Open Vld	Open Vlaamse Liberalen en Democraten	Coalition	Centre-right	DewaelPatrick	Dewael, Patrick	M	1955	
ParlaMint-BE-en_2020-10-01-55-plenair-ip057x	ParlaMint-BE_2020-10-01-55-plenair-ip057x.u9	Belgian parliamentary corpus ParlaMint-BE-en, plenary session of 01-10-2020	2020-10-01	Lower house	Zittingperiode 55	-	Plenaire zitting 057 van 01-10-2020	-	-	COVID	English	Chairperson	MP	notMinister	Open Vld	Open Vlaamse Liberalen en Democraten	Coalition	Centre-right	DewaelPatrick	Dewael, Patrick	M	1955	
ParlaMint-BE-en_2020-10-01-55-plenair-ip057x	ParlaMint-BE_2020-10-01-55-plenair-ip057x.u10	Belgian parliamentary corpus ParlaMint-BE-en, plenary session of 01-10-2020	2020-10-01	Lower house	Zittingperiode 55	-	Plenaire zitting 057 van 01-10-2020	-	-	COVID	English	Chairperson	MP	notMinister	Open Vld	Open Vlaamse Liberalen en Democraten	Coalition	Centre-right	DewaelPatrick	Dewael, Patrick	M	1955	
ParlaMint-BE-en_2020-10-01-55-plenair-ip057x	ParlaMint-BE_2020-10-01-55-plenair-ip057x.u11	Belgian parliamentary corpus ParlaMint-BE-en, plenary session of 01-10-2020	2020-10-01	Lower house	Zittingperiode 55	-	Plenaire zitting 057 van 01-10-2020	-	-	COVID	English	Chairperson	MP	notMinister	Open Vld	Open Vlaamse Liberalen en Democraten	Coalition	Centre-right	DewaelPatrick	Dewael, Patrick	M	1955	
ParlaMint-BE-en_2020-10-01-55-plenair-ip057x	ParlaMint-BE_2020-10-01-55-plenair-ip057x.u12	Belgian parliamentary corpus ParlaMint-BE-en, plenary session of 01-10-2020	2020-10-01	Lower house	Zittingperiode 55	-	Plenaire zitting 057 van 01-10-2020	-	-	COVID	English	Chairperson	MP	notMinister	Open Vld	Open Vlaamse Liberalen en Democraten	Coalition	Centre-right	DewaelPatrick	Dewael, Patrick	M	1955	
ParlaMint-BE-en_2020-10-01-55-plenair-ip057x	ParlaMint-BE_2020-10-01-55-plenair-ip057x.u13	Belgian parliamentary corpus ParlaMint-BE-en, plenary session of 01-10-2020	2020-10-01	Lower house	Zittingperiode 55	-	Plenaire zitting 057 van 01-10-2020	-	-	COVID	English	Regular	notMP	Minister	-	-	-	-	DeCrooAlexander	De Croo, Alexander	M	1975	
ParlaMint-BE-en_2020-10-01-55-plenair-ip057x	ParlaMint-BE_2020-10-01-55-plenair-ip057x.u14	Belgian parliamentary corpus ParlaMint-BE-en, plenary session of 01-10-2020	2020-10-01	Lower house	Zittingperiode 55	-	Plenaire zitting 057 van 01-10-2020	-	-	COVID	English	Chairperson	MP	notMinister	Open Vld	Open Vlaamse Liberalen en Democraten	Coalition	Centre-right	DewaelPatrick	Dewael, Patrick	M	1955	
