Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-BE-en_2020-09-30-55-commissie-ic274x	ParlaMint-BE_2020-09-30-55-commissie-ic274x.u1	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 30-09-2020	2020-09-30	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	PS	Parti Socialiste	Opposition	Centre-left to left	DedonderLudivine	Dedonder, Ludivine	F	1977	
ParlaMint-BE-en_2020-09-30-55-commissie-ic274x	ParlaMint-BE_2020-09-30-55-commissie-ic274x.u2	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 30-09-2020	2020-09-30	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	notMP	Minister	-	-	-	-	GeensKoen	Geens, Koen	M	1958	
ParlaMint-BE-en_2020-09-30-55-commissie-ic274x	ParlaMint-BE_2020-09-30-55-commissie-ic274x.u3	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 30-09-2020	2020-09-30	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	PS	Parti Socialiste	Opposition	Centre-left to left	DedonderLudivine	Dedonder, Ludivine	F	1977	
ParlaMint-BE-en_2020-09-30-55-commissie-ic274x	ParlaMint-BE_2020-09-30-55-commissie-ic274x.u4	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 30-09-2020	2020-09-30	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Chairperson	MP	notMinister	Groen	Groen	Opposition	Centre-left to left	BuystKim	Buyst, Kim	F	1976	
ParlaMint-BE-en_2020-09-30-55-commissie-ic274x	ParlaMint-BE_2020-09-30-55-commissie-ic274x.u5	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 30-09-2020	2020-09-30	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	N-VA	Nieuw-Vlaamse Alliantie	Opposition	Centre-right to right	RoggemanTomas	Roggeman, Tomas	M	1986	
ParlaMint-BE-en_2020-09-30-55-commissie-ic274x	ParlaMint-BE_2020-09-30-55-commissie-ic274x.u6	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 30-09-2020	2020-09-30	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	notMP	Minister	-	-	-	-	GeensKoen	Geens, Koen	M	1958	
ParlaMint-BE-en_2020-09-30-55-commissie-ic274x	ParlaMint-BE_2020-09-30-55-commissie-ic274x.u7	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 30-09-2020	2020-09-30	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	N-VA	Nieuw-Vlaamse Alliantie	Opposition	Centre-right to right	RoggemanTomas	Roggeman, Tomas	M	1986	
ParlaMint-BE-en_2020-09-30-55-commissie-ic274x	ParlaMint-BE_2020-09-30-55-commissie-ic274x.u8	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 30-09-2020	2020-09-30	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Chairperson	MP	notMinister	Groen	Groen	Opposition	Centre-left to left	BuystKim	Buyst, Kim	F	1976	
ParlaMint-BE-en_2020-09-30-55-commissie-ic274x	ParlaMint-BE_2020-09-30-55-commissie-ic274x.u9	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 30-09-2020	2020-09-30	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	notMP	Minister	-	-	-	-	GeensKoen	Geens, Koen	M	1958	
