Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-BE-en_2020-09-01-55-commissie-ic255x	ParlaMint-BE_2020-09-01-55-commissie-ic255x.u16	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 01-09-2020	2020-09-01	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	Ecolo	Ecologistes Confédérés pour l'Organisation de Luttes Originales	Opposition	Centre-left to left	KhattabiZakia	Khattabi, Zakia	F	1976	
ParlaMint-BE-en_2020-09-01-55-commissie-ic255x	ParlaMint-BE_2020-09-01-55-commissie-ic255x.u17	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 01-09-2020	2020-09-01	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	PS	Parti Socialiste	Opposition	Centre-left to left	LaaouejAhmed	Laaouej, Ahmed	M	1969	
ParlaMint-BE-en_2020-09-01-55-commissie-ic255x	ParlaMint-BE_2020-09-01-55-commissie-ic255x.u18	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 01-09-2020	2020-09-01	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	VB	Vlaams Belang	Opposition	Right to far-right	VanLangenhoveDries	Van Langenhove, Dries	M	1993	
ParlaMint-BE-en_2020-09-01-55-commissie-ic255x	ParlaMint-BE_2020-09-01-55-commissie-ic255x.u19	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 01-09-2020	2020-09-01	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	MR	Mouvement Réformateur	Coalition	Centre-right	TaquinCaroline	Taquin, Caroline	F	1977	
ParlaMint-BE-en_2020-09-01-55-commissie-ic255x	ParlaMint-BE_2020-09-01-55-commissie-ic255x.u20	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 01-09-2020	2020-09-01	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	CD&V	Christen-Democratisch en Vlaams	Coalition	Centre to centre-right	DemonFranky	Demon, Franky	M	1976	
ParlaMint-BE-en_2020-09-01-55-commissie-ic255x	ParlaMint-BE_2020-09-01-55-commissie-ic255x.u21	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 01-09-2020	2020-09-01	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	PTB	Parti du Travail de Belgique	-	Left to far-left	ColebundersGaby	Colebunders, Gaby	M	1972	
ParlaMint-BE-en_2020-09-01-55-commissie-ic255x	ParlaMint-BE_2020-09-01-55-commissie-ic255x.u22	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 01-09-2020	2020-09-01	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	Open Vld	Open Vlaamse Liberalen en Democraten	Coalition	Centre-right	VandenputTim	Vandenput, Tim	M	1971	
ParlaMint-BE-en_2020-09-01-55-commissie-ic255x	ParlaMint-BE_2020-09-01-55-commissie-ic255x.u23	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 01-09-2020	2020-09-01	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	N-VA	Nieuw-Vlaamse Alliantie	Opposition	Centre-right to right	JambonJan	Jambon, Jan	M	1960	
ParlaMint-BE-en_2020-09-01-55-commissie-ic255x	ParlaMint-BE_2020-09-01-55-commissie-ic255x.u24	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 01-09-2020	2020-09-01	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	Open Vld	Open Vlaamse Liberalen en Democraten	Coalition	Centre-right	VandenputTim	Vandenput, Tim	M	1971	
ParlaMint-BE-en_2020-09-01-55-commissie-ic255x	ParlaMint-BE_2020-09-01-55-commissie-ic255x.u25	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 01-09-2020	2020-09-01	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	sp.a	Socialistische Partij Anders	Opposition	Centre-left	KitirMeryame	Kitir, Meryame	F	1980	
ParlaMint-BE-en_2020-09-01-55-commissie-ic255x	ParlaMint-BE_2020-09-01-55-commissie-ic255x.u26	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 01-09-2020	2020-09-01	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	cdH	Centre démocrate humaniste	Opposition	Centre to centre-right	MatzVanessa	Matz, Vanessa	F	1973	
ParlaMint-BE-en_2020-09-01-55-commissie-ic255x	ParlaMint-BE_2020-09-01-55-commissie-ic255x.u27	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 01-09-2020	2020-09-01	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	DéFi	Démocrate Fédéraliste Indépendant	Opposition	Centre to centre-right	RohonyiSophie	Rohonyi, Sophie	F	1987	
ParlaMint-BE-en_2020-09-01-55-commissie-ic255x	ParlaMint-BE_2020-09-01-55-commissie-ic255x.u28	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 01-09-2020	2020-09-01	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	Ecolo	Ecologistes Confédérés pour l'Organisation de Luttes Originales	Opposition	Centre-left to left	KhattabiZakia	Khattabi, Zakia	F	1976	
ParlaMint-BE-en_2020-09-01-55-commissie-ic255x	ParlaMint-BE_2020-09-01-55-commissie-ic255x.u29	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 01-09-2020	2020-09-01	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	notMP	notMinister	-	-	-	-	SlegersBercy	Slegers, Bercy	F	1976	
ParlaMint-BE-en_2020-09-01-55-commissie-ic255x	ParlaMint-BE_2020-09-01-55-commissie-ic255x.u30	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 01-09-2020	2020-09-01	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	N-VA	Nieuw-Vlaamse Alliantie	Opposition	Centre-right to right	JambonJan	Jambon, Jan	M	1960	
ParlaMint-BE-en_2020-09-01-55-commissie-ic255x	ParlaMint-BE_2020-09-01-55-commissie-ic255x.u31	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 01-09-2020	2020-09-01	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	notMP	notMinister	-	-	-	-	SlegersBercy	Slegers, Bercy	F	1976	
ParlaMint-BE-en_2020-09-01-55-commissie-ic255x	ParlaMint-BE_2020-09-01-55-commissie-ic255x.u32	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 01-09-2020	2020-09-01	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	PTB	Parti du Travail de Belgique	-	Left to far-left	HedebouwRaoul	Hedebouw, Raoul	M	1977	
