Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-TR-en_2018-10-01-tbmm-T27	tbmm-2018-10-01sit01spe0001par0001	The Turkish parliamentary corpus ParlaMint-TR-en, Term 27, Year 2, Session 1	2018-10-01	Unicameralism	27	2	1	-	-	Reference	English	Chairperson	MP	notMinister	AKP	Justice and Development Party	Coalition	Right	Binali.Yıldırım	Yıldırım, Binali	M	1955	
ParlaMint-TR-en_2018-10-01-tbmm-T27	tbmm-2018-10-01sit01spe0002par0009	The Turkish parliamentary corpus ParlaMint-TR-en, Term 27, Year 2, Session 1	2018-10-01	Unicameralism	27	2	1	-	-	Reference	English	Regular	MP	notMinister	CHP	Republican People's Party	Opposition	Centre-left	Veli.Ağbaba	Ağbaba, Veli	M	1968	
ParlaMint-TR-en_2018-10-01-tbmm-T27	tbmm-2018-10-01sit01spe0001par0010	The Turkish parliamentary corpus ParlaMint-TR-en, Term 27, Year 2, Session 1	2018-10-01	Unicameralism	27	2	1	-	-	Reference	English	Chairperson	MP	notMinister	AKP	Justice and Development Party	Coalition	Right	Binali.Yıldırım	Yıldırım, Binali	M	1955	
ParlaMint-TR-en_2018-10-01-tbmm-T27	tbmm-2018-10-01sit01spe0003par0033	The Turkish parliamentary corpus ParlaMint-TR-en, Term 27, Year 2, Session 1	2018-10-01	Unicameralism	27	2	1	-	-	Reference	English	Regular	MP	notMinister	HDP	Peoples' Democratic Party	Opposition	Centre-left to left	Hüda.Kaya	Kaya, Hüda	F	1960	
ParlaMint-TR-en_2018-10-01-tbmm-T27	tbmm-2018-10-01sit01spe0001par0034	The Turkish parliamentary corpus ParlaMint-TR-en, Term 27, Year 2, Session 1	2018-10-01	Unicameralism	27	2	1	-	-	Reference	English	Chairperson	MP	notMinister	AKP	Justice and Development Party	Coalition	Right	Binali.Yıldırım	Yıldırım, Binali	M	1955	
ParlaMint-TR-en_2018-10-01-tbmm-T27	tbmm-2018-10-01sit01spe0004par0045	The Turkish parliamentary corpus ParlaMint-TR-en, Term 27, Year 2, Session 1	2018-10-01	Unicameralism	27	2	1	-	-	Reference	English	Regular	notMP	notMinister	AKP	Justice and Development Party	Coalition	Right	RecepTayyip.Erdoğan	Erdoğan, Recep Tayyip	M	1954	
ParlaMint-TR-en_2018-10-01-tbmm-T27	tbmm-2018-10-01sit01spe0005par0110	The Turkish parliamentary corpus ParlaMint-TR-en, Term 27, Year 2, Session 1	2018-10-01	Unicameralism	27	2	1	-	-	Reference	English	Regular	MP	notMinister	CHP	Republican People's Party	Opposition	Centre-left	Mahmut.Tanal	Tanal, Mahmut	M	1961	
ParlaMint-TR-en_2018-10-01-tbmm-T27	tbmm-2018-10-01sit01spe0004par0111	The Turkish parliamentary corpus ParlaMint-TR-en, Term 27, Year 2, Session 1	2018-10-01	Unicameralism	27	2	1	-	-	Reference	English	Regular	notMP	notMinister	AKP	Justice and Development Party	Coalition	Right	RecepTayyip.Erdoğan	Erdoğan, Recep Tayyip	M	1954	
ParlaMint-TR-en_2018-10-01-tbmm-T27	tbmm-2018-10-01sit01spe0006par0127	The Turkish parliamentary corpus ParlaMint-TR-en, Term 27, Year 2, Session 1	2018-10-01	Unicameralism	27	2	1	-	-	Reference	English	Chairperson	MP	notMinister	AKP	Justice and Development Party	Coalition	Right	Binali.Yıldırım	Yıldırım, Binali	M	1955	
ParlaMint-TR-en_2018-10-01-tbmm-T27	tbmm-2018-10-01sit02spe0007par0001	The Turkish parliamentary corpus ParlaMint-TR-en, Term 27, Year 2, Session 1	2018-10-01	Unicameralism	27	2	1	-	-	Reference	English	Guest	notMP	notMinister	-	-	-	-	MustafaŞ	Ş, Mustafa	U	-	
