Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NO-en_2009-10-01	ParlaMint-NO_2009-10-01.ana.ud1346e2365	Hansard from meeting in the Norwegian Parliament, term 2009-2013, Session 2009-2010, Sitting day 2009-10-01	2009-10-01	Unicameralism	Term 2009-2013	Session 2009-2010	-	Sitting day 2009-10-01	-	Reference	English	Regular	MP	notMinister	H	Høyre	-	Centre-right	person.PKF	Foss, Per-Kristian	M	1950	
ParlaMint-NO-en_2009-10-01	ParlaMint-NO_2009-10-01.ana.ud1346e2375	Hansard from meeting in the Norwegian Parliament, term 2009-2013, Session 2009-2010, Sitting day 2009-10-01	2009-10-01	Unicameralism	Term 2009-2013	Session 2009-2010	-	Sitting day 2009-10-01	-	Reference	English	Chairperson	MP	notMinister	H	Høyre	-	Centre-right	person.PKF	Foss, Per-Kristian	M	1950	
ParlaMint-NO-en_2009-10-01	ParlaMint-NO_2009-10-01.ana.ud1346e2406	Hansard from meeting in the Norwegian Parliament, term 2009-2013, Session 2009-2010, Sitting day 2009-10-01	2009-10-01	Unicameralism	Term 2009-2013	Session 2009-2010	-	Sitting day 2009-10-01	-	Reference	English	Chairperson	MP	notMinister	H	Høyre	-	Centre-right	person.PKF	Foss, Per-Kristian	M	1950	
ParlaMint-NO-en_2009-10-01	ParlaMint-NO_2009-10-01.ana.ud1346e2471	Hansard from meeting in the Norwegian Parliament, term 2009-2013, Session 2009-2010, Sitting day 2009-10-01	2009-10-01	Unicameralism	Term 2009-2013	Session 2009-2010	-	Sitting day 2009-10-01	-	Reference	English	Chairperson	MP	notMinister	H	Høyre	-	Centre-right	person.PKF	Foss, Per-Kristian	M	1950	
ParlaMint-NO-en_2009-10-01	ParlaMint-NO_2009-10-01.ana.ud1346e2489	Hansard from meeting in the Norwegian Parliament, term 2009-2013, Session 2009-2010, Sitting day 2009-10-01	2009-10-01	Unicameralism	Term 2009-2013	Session 2009-2010	-	Sitting day 2009-10-01	-	Reference	English	Chairperson	MP	notMinister	H	Høyre	-	Centre-right	person.PKF	Foss, Per-Kristian	M	1950	
