Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NO-en_2009-10-07	ParlaMint-NO_2009-10-07.ana.ud2452e24	Hansard from meeting in the Norwegian Parliament, term 2009-2013, Session 2009-2010, Sitting day 2009-10-07	2009-10-07	Unicameralism	Term 2009-2013	Session 2009-2010	-	Sitting day 2009-10-07	-	Reference	English	Chairperson	MP	notMinister	H	Høyre	-	Centre-right	person.PKF	Foss, Per-Kristian	M	1950	
ParlaMint-NO-en_2009-10-07	ParlaMint-NO_2009-10-07.ana.ud2452e120	Hansard from meeting in the Norwegian Parliament, term 2009-2013, Session 2009-2010, Sitting day 2009-10-07	2009-10-07	Unicameralism	Term 2009-2013	Session 2009-2010	-	Sitting day 2009-10-07	-	Reference	English	Regular	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.BEHA	Arnesen, Bendiks H.	M	1951	
ParlaMint-NO-en_2009-10-07	ParlaMint-NO_2009-10-07.ana.ud2452e164	Hansard from meeting in the Norwegian Parliament, term 2009-2013, Session 2009-2010, Sitting day 2009-10-07	2009-10-07	Unicameralism	Term 2009-2013	Session 2009-2010	-	Sitting day 2009-10-07	-	Reference	English	Chairperson	MP	notMinister	H	Høyre	-	Centre-right	person.PKF	Foss, Per-Kristian	M	1950	
ParlaMint-NO-en_2009-10-07	ParlaMint-NO_2009-10-07.ana.ud2452e185	Hansard from meeting in the Norwegian Parliament, term 2009-2013, Session 2009-2010, Sitting day 2009-10-07	2009-10-07	Unicameralism	Term 2009-2013	Session 2009-2010	-	Sitting day 2009-10-07	-	Reference	English	Chairperson	MP	notMinister	H	Høyre	-	Centre-right	person.PKF	Foss, Per-Kristian	M	1950	
