Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NO-en_2009-05-28-upper	ParlaMint-NO_2009-05-28-upper.ana.ud358e49	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2008-2009, Sitting day 2009-05-28	2009-05-28	Upper house	Term 2005-2009	Session 2008-2009	-	Sitting day 2009-05-28	-	Reference	English	Chairperson	MP	notMinister	V	Venstre	-	Centre	person.LEK	Kongshaug, Leif Helge	M	1949	
ParlaMint-NO-en_2009-05-28-upper	ParlaMint-NO_2009-05-28-upper.ana.ud358e77	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2008-2009, Sitting day 2009-05-28	2009-05-28	Upper house	Term 2005-2009	Session 2008-2009	-	Sitting day 2009-05-28	-	Reference	English	Chairperson	MP	notMinister	V	Venstre	-	Centre	person.LEK	Kongshaug, Leif Helge	M	1949	
ParlaMint-NO-en_2009-05-28-upper	ParlaMint-NO_2009-05-28-upper.ana.ud358e93	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2008-2009, Sitting day 2009-05-28	2009-05-28	Upper house	Term 2005-2009	Session 2008-2009	-	Sitting day 2009-05-28	-	Reference	English	Chairperson	MP	notMinister	V	Venstre	-	Centre	person.LEK	Kongshaug, Leif Helge	M	1949	
ParlaMint-NO-en_2009-05-28-upper	ParlaMint-NO_2009-05-28-upper.ana.ud358e109	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2008-2009, Sitting day 2009-05-28	2009-05-28	Upper house	Term 2005-2009	Session 2008-2009	-	Sitting day 2009-05-28	-	Reference	English	Chairperson	MP	notMinister	V	Venstre	-	Centre	person.LEK	Kongshaug, Leif Helge	M	1949	
ParlaMint-NO-en_2009-05-28-upper	ParlaMint-NO_2009-05-28-upper.ana.ud358e125	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2008-2009, Sitting day 2009-05-28	2009-05-28	Upper house	Term 2005-2009	Session 2008-2009	-	Sitting day 2009-05-28	-	Reference	English	Chairperson	MP	notMinister	V	Venstre	-	Centre	person.LEK	Kongshaug, Leif Helge	M	1949	
ParlaMint-NO-en_2009-05-28-upper	ParlaMint-NO_2009-05-28-upper.ana.ud358e141	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2008-2009, Sitting day 2009-05-28	2009-05-28	Upper house	Term 2005-2009	Session 2008-2009	-	Sitting day 2009-05-28	-	Reference	English	Chairperson	MP	notMinister	V	Venstre	-	Centre	person.LEK	Kongshaug, Leif Helge	M	1949	
