Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NO-en_2009-06-05	ParlaMint-NO_2009-06-05.ana.ud205e30	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2008-2009, Sitting day 2009-06-05	2009-06-05	Unicameralism	Term 2005-2009	Session 2008-2009	-	Sitting day 2009-06-05	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.TJ	Jagland, Thorbjørn	M	1950	
ParlaMint-NO-en_2009-06-05	ParlaMint-NO_2009-06-05.ana.ud205e64	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2008-2009, Sitting day 2009-06-05	2009-06-05	Unicameralism	Term 2005-2009	Session 2008-2009	-	Sitting day 2009-06-05	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.TJ	Jagland, Thorbjørn	M	1950	
ParlaMint-NO-en_2009-06-05	ParlaMint-NO_2009-06-05.ana.ud205e81	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2008-2009, Sitting day 2009-06-05	2009-06-05	Unicameralism	Term 2005-2009	Session 2008-2009	-	Sitting day 2009-06-05	-	Reference	English	Regular	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.IBTH	Thomsen, Ib	M	1961	
ParlaMint-NO-en_2009-06-05	ParlaMint-NO_2009-06-05.ana.ud205e111	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2008-2009, Sitting day 2009-06-05	2009-06-05	Unicameralism	Term 2005-2009	Session 2008-2009	-	Sitting day 2009-06-05	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.TJ	Jagland, Thorbjørn	M	1950	
ParlaMint-NO-en_2009-06-05	ParlaMint-NO_2009-06-05.ana.ud205e114	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2008-2009, Sitting day 2009-06-05	2009-06-05	Unicameralism	Term 2005-2009	Session 2008-2009	-	Sitting day 2009-06-05	-	Reference	English	Regular	MP	notMinister	SV	Sosialistisk Venstreparti	Coalition	Left	person.RHRE	Reikvam, Rolf	M	1948	
ParlaMint-NO-en_2009-06-05	ParlaMint-NO_2009-06-05.ana.ud205e121	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2008-2009, Sitting day 2009-06-05	2009-06-05	Unicameralism	Term 2005-2009	Session 2008-2009	-	Sitting day 2009-06-05	-	Reference	English	Regular	MP	notMinister	V	Venstre	-	Centre	person.VL	Lysklætt, Vera	F	1954	
ParlaMint-NO-en_2009-06-05	ParlaMint-NO_2009-06-05.ana.ud205e142	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2008-2009, Sitting day 2009-06-05	2009-06-05	Unicameralism	Term 2005-2009	Session 2008-2009	-	Sitting day 2009-06-05	-	Reference	English	Regular	MP	Minister	Sp	Senterpartiet	Coalition	Centre	person.MMK	Kleppa, Magnhild Meltveit	F	1948	
ParlaMint-NO-en_2009-06-05	ParlaMint-NO_2009-06-05.ana.ud205e155	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2008-2009, Sitting day 2009-06-05	2009-06-05	Unicameralism	Term 2005-2009	Session 2008-2009	-	Sitting day 2009-06-05	-	Reference	English	Regular	MP	notMinister	V	Venstre	-	Centre	person.GKV	Kvassheim, Gunnar	M	1953	
ParlaMint-NO-en_2009-06-05	ParlaMint-NO_2009-06-05.ana.ud205e166	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2008-2009, Sitting day 2009-06-05	2009-06-05	Unicameralism	Term 2005-2009	Session 2008-2009	-	Sitting day 2009-06-05	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.TJ	Jagland, Thorbjørn	M	1950	
ParlaMint-NO-en_2009-06-05	ParlaMint-NO_2009-06-05.ana.ud205e172	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2008-2009, Sitting day 2009-06-05	2009-06-05	Unicameralism	Term 2005-2009	Session 2008-2009	-	Sitting day 2009-06-05	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.TJ	Jagland, Thorbjørn	M	1950	
ParlaMint-NO-en_2009-06-05	ParlaMint-NO_2009-06-05.ana.ud205e194	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2008-2009, Sitting day 2009-06-05	2009-06-05	Unicameralism	Term 2005-2009	Session 2008-2009	-	Sitting day 2009-06-05	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.TJ	Jagland, Thorbjørn	M	1950	
ParlaMint-NO-en_2009-06-05	ParlaMint-NO_2009-06-05.ana.ud205e225	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2008-2009, Sitting day 2009-06-05	2009-06-05	Unicameralism	Term 2005-2009	Session 2008-2009	-	Sitting day 2009-06-05	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.TJ	Jagland, Thorbjørn	M	1950	
