Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NO-en_2009-06-03-lower	ParlaMint-NO_2009-06-03-lower.ana.ud736e41	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2008-2009, Sitting day 2009-06-03	2009-06-03	Lower house	Term 2005-2009	Session 2008-2009	-	Sitting day 2009-06-03	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.BB	Brørby, Berit	F	1950	
ParlaMint-NO-en_2009-06-03-lower	ParlaMint-NO_2009-06-03-lower.ana.ud736e57	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2008-2009, Sitting day 2009-06-03	2009-06-03	Lower house	Term 2005-2009	Session 2008-2009	-	Sitting day 2009-06-03	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.BB	Brørby, Berit	F	1950	
ParlaMint-NO-en_2009-06-03-lower	ParlaMint-NO_2009-06-03-lower.ana.ud736e64	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2008-2009, Sitting day 2009-06-03	2009-06-03	Lower house	Term 2005-2009	Session 2008-2009	-	Sitting day 2009-06-03	-	Reference	English	Regular	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.UEK	Knudsen, Ulf Erik	M	1964	
ParlaMint-NO-en_2009-06-03-lower	ParlaMint-NO_2009-06-03-lower.ana.ud736e79	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2008-2009, Sitting day 2009-06-03	2009-06-03	Lower house	Term 2005-2009	Session 2008-2009	-	Sitting day 2009-06-03	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.BB	Brørby, Berit	F	1950	
ParlaMint-NO-en_2009-06-03-lower	ParlaMint-NO_2009-06-03-lower.ana.ud736e82	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2008-2009, Sitting day 2009-06-03	2009-06-03	Lower house	Term 2005-2009	Session 2008-2009	-	Sitting day 2009-06-03	-	Reference	English	Regular	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.GKG	Gjul, Gunn Karin	F	1967	
ParlaMint-NO-en_2009-06-03-lower	ParlaMint-NO_2009-06-03-lower.ana.ud736e95	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2008-2009, Sitting day 2009-06-03	2009-06-03	Lower house	Term 2005-2009	Session 2008-2009	-	Sitting day 2009-06-03	-	Reference	English	Regular	MP	Minister	A	Arbeiderpartiet	Coalition	Centre-left	person.TG	Giske, Trond	M	1966	
ParlaMint-NO-en_2009-06-03-lower	ParlaMint-NO_2009-06-03-lower.ana.ud736e118	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2008-2009, Sitting day 2009-06-03	2009-06-03	Lower house	Term 2005-2009	Session 2008-2009	-	Sitting day 2009-06-03	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.BB	Brørby, Berit	F	1950	
ParlaMint-NO-en_2009-06-03-lower	ParlaMint-NO_2009-06-03-lower.ana.ud736e126	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2008-2009, Sitting day 2009-06-03	2009-06-03	Lower house	Term 2005-2009	Session 2008-2009	-	Sitting day 2009-06-03	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.BB	Brørby, Berit	F	1950	
ParlaMint-NO-en_2009-06-03-lower	ParlaMint-NO_2009-06-03-lower.ana.ud736e163	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2008-2009, Sitting day 2009-06-03	2009-06-03	Lower house	Term 2005-2009	Session 2008-2009	-	Sitting day 2009-06-03	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.BB	Brørby, Berit	F	1950	
ParlaMint-NO-en_2009-06-03-lower	ParlaMint-NO_2009-06-03-lower.ana.ud736e172	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2008-2009, Sitting day 2009-06-03	2009-06-03	Lower house	Term 2005-2009	Session 2008-2009	-	Sitting day 2009-06-03	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.BB	Brørby, Berit	F	1950	
ParlaMint-NO-en_2009-06-03-lower	ParlaMint-NO_2009-06-03-lower.ana.ud736e287	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2008-2009, Sitting day 2009-06-03	2009-06-03	Lower house	Term 2005-2009	Session 2008-2009	-	Sitting day 2009-06-03	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.BB	Brørby, Berit	F	1950	
