Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NO-en_2009-02-19-lower	ParlaMint-NO_2009-02-19-lower.ana.ud1451e40	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2008-2009, Sitting day 2009-02-19	2009-02-19	Lower house	Term 2005-2009	Session 2008-2009	-	Sitting day 2009-02-19	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.MN	Nybakk, Marit	F	1947	
ParlaMint-NO-en_2009-02-19-lower	ParlaMint-NO_2009-02-19-lower.ana.ud1451e47	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2008-2009, Sitting day 2009-02-19	2009-02-19	Lower house	Term 2005-2009	Session 2008-2009	-	Sitting day 2009-02-19	-	Reference	English	Regular	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.BHI	Hildeng, Britt	F	1943	
ParlaMint-NO-en_2009-02-19-lower	ParlaMint-NO_2009-02-19-lower.ana.ud1451e66	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2008-2009, Sitting day 2009-02-19	2009-02-19	Lower house	Term 2005-2009	Session 2008-2009	-	Sitting day 2009-02-19	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.MN	Nybakk, Marit	F	1947	
ParlaMint-NO-en_2009-02-19-lower	ParlaMint-NO_2009-02-19-lower.ana.ud1451e74	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2008-2009, Sitting day 2009-02-19	2009-02-19	Lower house	Term 2005-2009	Session 2008-2009	-	Sitting day 2009-02-19	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.MN	Nybakk, Marit	F	1947	
ParlaMint-NO-en_2009-02-19-lower	ParlaMint-NO_2009-02-19-lower.ana.ud1451e151	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2008-2009, Sitting day 2009-02-19	2009-02-19	Lower house	Term 2005-2009	Session 2008-2009	-	Sitting day 2009-02-19	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.MN	Nybakk, Marit	F	1947	
ParlaMint-NO-en_2009-02-19-lower	ParlaMint-NO_2009-02-19-lower.ana.ud1451e160	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2008-2009, Sitting day 2009-02-19	2009-02-19	Lower house	Term 2005-2009	Session 2008-2009	-	Sitting day 2009-02-19	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.MN	Nybakk, Marit	F	1947	
ParlaMint-NO-en_2009-02-19-lower	ParlaMint-NO_2009-02-19-lower.ana.ud1451e209	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2008-2009, Sitting day 2009-02-19	2009-02-19	Lower house	Term 2005-2009	Session 2008-2009	-	Sitting day 2009-02-19	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.MN	Nybakk, Marit	F	1947	
