Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NO-en_2009-02-05	ParlaMint-NO_2009-02-05.ana.ud981e26	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2008-2009, Sitting day 2009-02-05	2009-02-05	Unicameralism	Term 2005-2009	Session 2008-2009	-	Sitting day 2009-02-05	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.TJ	Jagland, Thorbjørn	M	1950	
ParlaMint-NO-en_2009-02-05	ParlaMint-NO_2009-02-05.ana.ud981e55	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2008-2009, Sitting day 2009-02-05	2009-02-05	Unicameralism	Term 2005-2009	Session 2008-2009	-	Sitting day 2009-02-05	-	Reference	English	Regular	MP	notMinister	H	Høyre	-	Centre-right	person.FMV	Vallersnes, Finn Martin	M	1945	
ParlaMint-NO-en_2009-02-05	ParlaMint-NO_2009-02-05.ana.ud981e133	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2008-2009, Sitting day 2009-02-05	2009-02-05	Unicameralism	Term 2005-2009	Session 2008-2009	-	Sitting day 2009-02-05	-	Reference	English	Regular	notMP	Minister	A	Arbeiderpartiet	Coalition	Centre-left	person.JGS	Støre, Jonas Gahr	M	1960	
ParlaMint-NO-en_2009-02-05	ParlaMint-NO_2009-02-05.ana.ud981e202	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2008-2009, Sitting day 2009-02-05	2009-02-05	Unicameralism	Term 2005-2009	Session 2008-2009	-	Sitting day 2009-02-05	-	Reference	English	Regular	MP	notMinister	H	Høyre	-	Centre-right	person.FMV	Vallersnes, Finn Martin	M	1945	
ParlaMint-NO-en_2009-02-05	ParlaMint-NO_2009-02-05.ana.ud981e215	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2008-2009, Sitting day 2009-02-05	2009-02-05	Unicameralism	Term 2005-2009	Session 2008-2009	-	Sitting day 2009-02-05	-	Reference	English	Regular	notMP	Minister	A	Arbeiderpartiet	Coalition	Centre-left	person.JGS	Støre, Jonas Gahr	M	1960	
ParlaMint-NO-en_2009-02-05	ParlaMint-NO_2009-02-05.ana.ud981e224	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2008-2009, Sitting day 2009-02-05	2009-02-05	Unicameralism	Term 2005-2009	Session 2008-2009	-	Sitting day 2009-02-05	-	Reference	English	Regular	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.MN	Nybakk, Marit	F	1947	
ParlaMint-NO-en_2009-02-05	ParlaMint-NO_2009-02-05.ana.ud981e252	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2008-2009, Sitting day 2009-02-05	2009-02-05	Unicameralism	Term 2005-2009	Session 2008-2009	-	Sitting day 2009-02-05	-	Reference	English	Regular	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.OVA	Vaksdal, Øyvind	M	1955	
ParlaMint-NO-en_2009-02-05	ParlaMint-NO_2009-02-05.ana.ud981e296	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2008-2009, Sitting day 2009-02-05	2009-02-05	Unicameralism	Term 2005-2009	Session 2008-2009	-	Sitting day 2009-02-05	-	Reference	English	Regular	MP	notMinister	SV	Sosialistisk Venstreparti	Coalition	Left	person.AGV	Valle, Ågot	F	1945	
ParlaMint-NO-en_2009-02-05	ParlaMint-NO_2009-02-05.ana.ud981e322	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2008-2009, Sitting day 2009-02-05	2009-02-05	Unicameralism	Term 2005-2009	Session 2008-2009	-	Sitting day 2009-02-05	-	Reference	English	Regular	MP	notMinister	KrF	Kristelig Folkeparti	-	Centre to centre-right	person.DH	Høybråten, Dagfinn	M	1957	
ParlaMint-NO-en_2009-02-05	ParlaMint-NO_2009-02-05.ana.ud981e345	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2008-2009, Sitting day 2009-02-05	2009-02-05	Unicameralism	Term 2005-2009	Session 2008-2009	-	Sitting day 2009-02-05	-	Reference	English	Regular	MP	notMinister	V	Venstre	-	Centre	person.ANML	Larsen, Anne Margrethe	F	1950	
ParlaMint-NO-en_2009-02-05	ParlaMint-NO_2009-02-05.ana.ud981e365	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2008-2009, Sitting day 2009-02-05	2009-02-05	Unicameralism	Term 2005-2009	Session 2008-2009	-	Sitting day 2009-02-05	-	Reference	English	Regular	MP	notMinister	H	Høyre	-	Centre-right	person.FMV	Vallersnes, Finn Martin	M	1945	
ParlaMint-NO-en_2009-02-05	ParlaMint-NO_2009-02-05.ana.ud981e376	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2008-2009, Sitting day 2009-02-05	2009-02-05	Unicameralism	Term 2005-2009	Session 2008-2009	-	Sitting day 2009-02-05	-	Reference	English	Regular	notMP	Minister	A	Arbeiderpartiet	Coalition	Centre-left	person.JGS	Støre, Jonas Gahr	M	1960	
ParlaMint-NO-en_2009-02-05	ParlaMint-NO_2009-02-05.ana.ud981e393	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2008-2009, Sitting day 2009-02-05	2009-02-05	Unicameralism	Term 2005-2009	Session 2008-2009	-	Sitting day 2009-02-05	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.ESF	Faldet, Eirin	F	1944	
ParlaMint-NO-en_2009-02-05	ParlaMint-NO_2009-02-05.ana.ud981e406	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2008-2009, Sitting day 2009-02-05	2009-02-05	Unicameralism	Term 2005-2009	Session 2008-2009	-	Sitting day 2009-02-05	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.ESF	Faldet, Eirin	F	1944	
