Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NO-en_2009-02-19-upper	ParlaMint-NO_2009-02-19-upper.ana.ud465e68	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2008-2009, Sitting day 2009-02-19	2009-02-19	Upper house	Term 2005-2009	Session 2008-2009	-	Sitting day 2009-02-19	-	Reference	English	Chairperson	MP	notMinister	H	Høyre	-	Centre-right	person.INL	Lønning, Inge	M	1938	
ParlaMint-NO-en_2009-02-19-upper	ParlaMint-NO_2009-02-19-upper.ana.ud465e84	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2008-2009, Sitting day 2009-02-19	2009-02-19	Upper house	Term 2005-2009	Session 2008-2009	-	Sitting day 2009-02-19	-	Reference	English	Chairperson	MP	notMinister	H	Høyre	-	Centre-right	person.INL	Lønning, Inge	M	1938	
ParlaMint-NO-en_2009-02-19-upper	ParlaMint-NO_2009-02-19-upper.ana.ud465e100	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2008-2009, Sitting day 2009-02-19	2009-02-19	Upper house	Term 2005-2009	Session 2008-2009	-	Sitting day 2009-02-19	-	Reference	English	Chairperson	MP	notMinister	H	Høyre	-	Centre-right	person.INL	Lønning, Inge	M	1938	
ParlaMint-NO-en_2009-02-19-upper	ParlaMint-NO_2009-02-19-upper.ana.ud465e116	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2008-2009, Sitting day 2009-02-19	2009-02-19	Upper house	Term 2005-2009	Session 2008-2009	-	Sitting day 2009-02-19	-	Reference	English	Chairperson	MP	notMinister	H	Høyre	-	Centre-right	person.INL	Lønning, Inge	M	1938	
