Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NO-en_2009-03-30	ParlaMint-NO_2009-03-30.ana.ud1551e32	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2008-2009, Sitting day 2009-03-30	2009-03-30	Unicameralism	Term 2005-2009	Session 2008-2009	-	Sitting day 2009-03-30	-	Reference	English	Chairperson	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.CIH	Hagen, Carl I.	M	1944	
ParlaMint-NO-en_2009-03-30	ParlaMint-NO_2009-03-30.ana.ud1551e54	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2008-2009, Sitting day 2009-03-30	2009-03-30	Unicameralism	Term 2005-2009	Session 2008-2009	-	Sitting day 2009-03-30	-	Reference	English	Chairperson	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.CIH	Hagen, Carl I.	M	1944	
ParlaMint-NO-en_2009-03-30	ParlaMint-NO_2009-03-30.ana.ud1551e86	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2008-2009, Sitting day 2009-03-30	2009-03-30	Unicameralism	Term 2005-2009	Session 2008-2009	-	Sitting day 2009-03-30	-	Reference	English	Regular	MP	notMinister	KrF	Kristelig Folkeparti	-	Centre to centre-right	person.LD	Dåvøy, Laila	F	1948	
ParlaMint-NO-en_2009-03-30	ParlaMint-NO_2009-03-30.ana.ud1551e121	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2008-2009, Sitting day 2009-03-30	2009-03-30	Unicameralism	Term 2005-2009	Session 2008-2009	-	Sitting day 2009-03-30	-	Reference	English	Regular	MP	Minister	A	Arbeiderpartiet	Coalition	Centre-left	person.BHH	Hanssen, Bjarne Håkon	M	1962	
ParlaMint-NO-en_2009-03-30	ParlaMint-NO_2009-03-30.ana.ud1551e155	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2008-2009, Sitting day 2009-03-30	2009-03-30	Unicameralism	Term 2005-2009	Session 2008-2009	-	Sitting day 2009-03-30	-	Reference	English	Regular	MP	notMinister	KrF	Kristelig Folkeparti	-	Centre to centre-right	person.LD	Dåvøy, Laila	F	1948	
ParlaMint-NO-en_2009-03-30	ParlaMint-NO_2009-03-30.ana.ud1551e168	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2008-2009, Sitting day 2009-03-30	2009-03-30	Unicameralism	Term 2005-2009	Session 2008-2009	-	Sitting day 2009-03-30	-	Reference	English	Regular	MP	Minister	A	Arbeiderpartiet	Coalition	Centre-left	person.BHH	Hanssen, Bjarne Håkon	M	1962	
ParlaMint-NO-en_2009-03-30	ParlaMint-NO_2009-03-30.ana.ud1551e181	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2008-2009, Sitting day 2009-03-30	2009-03-30	Unicameralism	Term 2005-2009	Session 2008-2009	-	Sitting day 2009-03-30	-	Reference	English	Regular	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.JBO	Bøhler, Jan	M	1952	
ParlaMint-NO-en_2009-03-30	ParlaMint-NO_2009-03-30.ana.ud1551e196	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2008-2009, Sitting day 2009-03-30	2009-03-30	Unicameralism	Term 2005-2009	Session 2008-2009	-	Sitting day 2009-03-30	-	Reference	English	Regular	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.HTN	Nesvik, Harald T.	M	1966	
ParlaMint-NO-en_2009-03-30	ParlaMint-NO_2009-03-30.ana.ud1551e213	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2008-2009, Sitting day 2009-03-30	2009-03-30	Unicameralism	Term 2005-2009	Session 2008-2009	-	Sitting day 2009-03-30	-	Reference	English	Regular	MP	notMinister	H	Høyre	-	Centre-right	person.INL	Lønning, Inge	M	1938	
ParlaMint-NO-en_2009-03-30	ParlaMint-NO_2009-03-30.ana.ud1551e234	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2008-2009, Sitting day 2009-03-30	2009-03-30	Unicameralism	Term 2005-2009	Session 2008-2009	-	Sitting day 2009-03-30	-	Reference	English	Regular	MP	notMinister	V	Venstre	-	Centre	person.GUNL	Ludvigsen, Gunvald	M	1949	
ParlaMint-NO-en_2009-03-30	ParlaMint-NO_2009-03-30.ana.ud1551e251	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2008-2009, Sitting day 2009-03-30	2009-03-30	Unicameralism	Term 2005-2009	Session 2008-2009	-	Sitting day 2009-03-30	-	Reference	English	Regular	MP	notMinister	KrF	Kristelig Folkeparti	-	Centre to centre-right	person.LD	Dåvøy, Laila	F	1948	
ParlaMint-NO-en_2009-03-30	ParlaMint-NO_2009-03-30.ana.ud1551e264	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2008-2009, Sitting day 2009-03-30	2009-03-30	Unicameralism	Term 2005-2009	Session 2008-2009	-	Sitting day 2009-03-30	-	Reference	English	Regular	MP	Minister	A	Arbeiderpartiet	Coalition	Centre-left	person.BHH	Hanssen, Bjarne Håkon	M	1962	
ParlaMint-NO-en_2009-03-30	ParlaMint-NO_2009-03-30.ana.ud1551e278	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2008-2009, Sitting day 2009-03-30	2009-03-30	Unicameralism	Term 2005-2009	Session 2008-2009	-	Sitting day 2009-03-30	-	Reference	English	Chairperson	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.CIH	Hagen, Carl I.	M	1944	
ParlaMint-NO-en_2009-03-30	ParlaMint-NO_2009-03-30.ana.ud1551e292	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2008-2009, Sitting day 2009-03-30	2009-03-30	Unicameralism	Term 2005-2009	Session 2008-2009	-	Sitting day 2009-03-30	-	Reference	English	Chairperson	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.CIH	Hagen, Carl I.	M	1944	
ParlaMint-NO-en_2009-03-30	ParlaMint-NO_2009-03-30.ana.ud1551e302	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2008-2009, Sitting day 2009-03-30	2009-03-30	Unicameralism	Term 2005-2009	Session 2008-2009	-	Sitting day 2009-03-30	-	Reference	English	Chairperson	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.CIH	Hagen, Carl I.	M	1944	
ParlaMint-NO-en_2009-03-30	ParlaMint-NO_2009-03-30.ana.ud1551e312	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2008-2009, Sitting day 2009-03-30	2009-03-30	Unicameralism	Term 2005-2009	Session 2008-2009	-	Sitting day 2009-03-30	-	Reference	English	Chairperson	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.CIH	Hagen, Carl I.	M	1944	
ParlaMint-NO-en_2009-03-30	ParlaMint-NO_2009-03-30.ana.ud1551e379	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2008-2009, Sitting day 2009-03-30	2009-03-30	Unicameralism	Term 2005-2009	Session 2008-2009	-	Sitting day 2009-03-30	-	Reference	English	Chairperson	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.CIH	Hagen, Carl I.	M	1944	
