Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NO-en_2009-05-19-lower	ParlaMint-NO_2009-05-19-lower.ana.ud2426e23	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2008-2009, Sitting day 2009-05-19	2009-05-19	Lower house	Term 2005-2009	Session 2008-2009	-	Sitting day 2009-05-19	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.SOH	Hansen, Sigvald Oppebøen	M	1950	
ParlaMint-NO-en_2009-05-19-lower	ParlaMint-NO_2009-05-19-lower.ana.ud2426e39	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2008-2009, Sitting day 2009-05-19	2009-05-19	Lower house	Term 2005-2009	Session 2008-2009	-	Sitting day 2009-05-19	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.SOH	Hansen, Sigvald Oppebøen	M	1950	
ParlaMint-NO-en_2009-05-19-lower	ParlaMint-NO_2009-05-19-lower.ana.ud2426e48	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2008-2009, Sitting day 2009-05-19	2009-05-19	Lower house	Term 2005-2009	Session 2008-2009	-	Sitting day 2009-05-19	-	Reference	English	Regular	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.TSOL	Olsen, Tom Strømstad	M	1971	
ParlaMint-NO-en_2009-05-19-lower	ParlaMint-NO_2009-05-19-lower.ana.ud2426e67	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2008-2009, Sitting day 2009-05-19	2009-05-19	Lower house	Term 2005-2009	Session 2008-2009	-	Sitting day 2009-05-19	-	Reference	English	Regular	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.IBTH	Thomsen, Ib	M	1961	
ParlaMint-NO-en_2009-05-19-lower	ParlaMint-NO_2009-05-19-lower.ana.ud2426e89	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2008-2009, Sitting day 2009-05-19	2009-05-19	Lower house	Term 2005-2009	Session 2008-2009	-	Sitting day 2009-05-19	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.SOH	Hansen, Sigvald Oppebøen	M	1950	
ParlaMint-NO-en_2009-05-19-lower	ParlaMint-NO_2009-05-19-lower.ana.ud2426e92	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2008-2009, Sitting day 2009-05-19	2009-05-19	Lower house	Term 2005-2009	Session 2008-2009	-	Sitting day 2009-05-19	-	Reference	English	Regular	MP	notMinister	V	Venstre	-	Centre	person.VL	Lysklætt, Vera	F	1954	
ParlaMint-NO-en_2009-05-19-lower	ParlaMint-NO_2009-05-19-lower.ana.ud2426e115	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2008-2009, Sitting day 2009-05-19	2009-05-19	Lower house	Term 2005-2009	Session 2008-2009	-	Sitting day 2009-05-19	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.SOH	Hansen, Sigvald Oppebøen	M	1950	
ParlaMint-NO-en_2009-05-19-lower	ParlaMint-NO_2009-05-19-lower.ana.ud2426e118	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2008-2009, Sitting day 2009-05-19	2009-05-19	Lower house	Term 2005-2009	Session 2008-2009	-	Sitting day 2009-05-19	-	Reference	English	Regular	MP	Minister	Sp	Senterpartiet	Coalition	Centre	person.MMK	Kleppa, Magnhild Meltveit	F	1948	
ParlaMint-NO-en_2009-05-19-lower	ParlaMint-NO_2009-05-19-lower.ana.ud2426e157	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2008-2009, Sitting day 2009-05-19	2009-05-19	Lower house	Term 2005-2009	Session 2008-2009	-	Sitting day 2009-05-19	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.SOH	Hansen, Sigvald Oppebøen	M	1950	
ParlaMint-NO-en_2009-05-19-lower	ParlaMint-NO_2009-05-19-lower.ana.ud2426e160	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2008-2009, Sitting day 2009-05-19	2009-05-19	Lower house	Term 2005-2009	Session 2008-2009	-	Sitting day 2009-05-19	-	Reference	English	Regular	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.IBTH	Thomsen, Ib	M	1961	
ParlaMint-NO-en_2009-05-19-lower	ParlaMint-NO_2009-05-19-lower.ana.ud2426e167	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2008-2009, Sitting day 2009-05-19	2009-05-19	Lower house	Term 2005-2009	Session 2008-2009	-	Sitting day 2009-05-19	-	Reference	English	Regular	MP	Minister	Sp	Senterpartiet	Coalition	Centre	person.MMK	Kleppa, Magnhild Meltveit	F	1948	
