Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-IS-en_2020-09-04-141	ParlaMint-IS_2020-09-04-141.u1	Speeches in the national parliament of Iceland, 23. term, regular meeting 150-141, 04.09.2020.	2020-09-04	Unicameralism	23. kjörtímabil	150. löggjafarþing	Hefðbundinn	-	-	COVID	English	Chairperson	MP	notMinister	Sf	Samfylking	-	Centre-left	GudjonBrjansson	Brjánsson, Guðjón S.	M	1955	
ParlaMint-IS-en_2020-09-04-141	ParlaMint-IS_2020-09-04-141.u2	Speeches in the national parliament of Iceland, 23. term, regular meeting 150-141, 04.09.2020.	2020-09-04	Unicameralism	23. kjörtímabil	150. löggjafarþing	Hefðbundinn	-	-	COVID	English	Regular	MP	Minister	Vg	Vinstrihreyfingin - grænt framboð	Coalition	Centre-left to left	KatrinJakobsdottir	Jakobsdóttir, Katrín	F	1976	
ParlaMint-IS-en_2020-09-04-141	ParlaMint-IS_2020-09-04-141.u3	Speeches in the national parliament of Iceland, 23. term, regular meeting 150-141, 04.09.2020.	2020-09-04	Unicameralism	23. kjörtímabil	150. löggjafarþing	Hefðbundinn	-	-	COVID	English	Chairperson	MP	notMinister	Sf	Samfylking	-	Centre-left	GudjonBrjansson	Brjánsson, Guðjón S.	M	1955	
ParlaMint-IS-en_2020-09-04-141	ParlaMint-IS_2020-09-04-141.u4	Speeches in the national parliament of Iceland, 23. term, regular meeting 150-141, 04.09.2020.	2020-09-04	Unicameralism	23. kjörtímabil	150. löggjafarþing	Hefðbundinn	-	-	COVID	English	Regular	MP	Minister	Vg	Vinstrihreyfingin - grænt framboð	Coalition	Centre-left to left	KatrinJakobsdottir	Jakobsdóttir, Katrín	F	1976	
