Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-IS-en_2020-06-23-123	ParlaMint-IS_2020-06-23-123.u1	Speeches in the national parliament of Iceland, 23. term, regular meeting 150-123, 23.06.2020.	2020-06-23	Unicameralism	23. kjörtímabil	150. löggjafarþing	Hefðbundinn	-	-	COVID	English	Chairperson	MP	notMinister	Vg	Vinstrihreyfingin - grænt framboð	Coalition	Centre-left to left	SteingrimurSigfusson	Sigfússon, Steingrímur J.	M	1955	
ParlaMint-IS-en_2020-06-23-123	ParlaMint-IS_2020-06-23-123.u2	Speeches in the national parliament of Iceland, 23. term, regular meeting 150-123, 23.06.2020.	2020-06-23	Unicameralism	23. kjörtímabil	150. löggjafarþing	Hefðbundinn	-	-	COVID	English	Regular	MP	notMinister	S	Sjálfstæðisflokkur	Coalition	Centre to centre-right	BrynjarNielsson	Níelsson, Brynjar	M	1960	
ParlaMint-IS-en_2020-06-23-123	ParlaMint-IS_2020-06-23-123.u3	Speeches in the national parliament of Iceland, 23. term, regular meeting 150-123, 23.06.2020.	2020-06-23	Unicameralism	23. kjörtímabil	150. löggjafarþing	Hefðbundinn	-	-	COVID	English	Regular	MP	Minister	F	Framsóknarflokkur	Coalition	Centre to centre-right	AsmundurDadason	Daðason, Ásmundur Einar	M	1982	
ParlaMint-IS-en_2020-06-23-123	ParlaMint-IS_2020-06-23-123.u4	Speeches in the national parliament of Iceland, 23. term, regular meeting 150-123, 23.06.2020.	2020-06-23	Unicameralism	23. kjörtímabil	150. löggjafarþing	Hefðbundinn	-	-	COVID	English	Regular	MP	notMinister	M	Miðflokkurinn	-	Centre to centre-right	THorsteinnSaemundsson	Sæmundsson, Þorsteinn	M	1953	
ParlaMint-IS-en_2020-06-23-123	ParlaMint-IS_2020-06-23-123.u5	Speeches in the national parliament of Iceland, 23. term, regular meeting 150-123, 23.06.2020.	2020-06-23	Unicameralism	23. kjörtímabil	150. löggjafarþing	Hefðbundinn	-	-	COVID	English	Regular	MP	notMinister	Sf	Samfylking	-	Centre-left	GudjonBrjansson	Brjánsson, Guðjón S.	M	1955	
ParlaMint-IS-en_2020-06-23-123	ParlaMint-IS_2020-06-23-123.u6	Speeches in the national parliament of Iceland, 23. term, regular meeting 150-123, 23.06.2020.	2020-06-23	Unicameralism	23. kjörtímabil	150. löggjafarþing	Hefðbundinn	-	-	COVID	English	Regular	MP	notMinister	M	Miðflokkurinn	-	Centre to centre-right	GunnarSveinsson	Sveinsson, Gunnar Bragi	M	1968	
ParlaMint-IS-en_2020-06-23-123	ParlaMint-IS_2020-06-23-123.u7	Speeches in the national parliament of Iceland, 23. term, regular meeting 150-123, 23.06.2020.	2020-06-23	Unicameralism	23. kjörtímabil	150. löggjafarþing	Hefðbundinn	-	-	COVID	English	Regular	MP	notMinister	S	Sjálfstæðisflokkur	Coalition	Centre to centre-right	BrynjarNielsson	Níelsson, Brynjar	M	1960	
ParlaMint-IS-en_2020-06-23-123	ParlaMint-IS_2020-06-23-123.u8	Speeches in the national parliament of Iceland, 23. term, regular meeting 150-123, 23.06.2020.	2020-06-23	Unicameralism	23. kjörtímabil	150. löggjafarþing	Hefðbundinn	-	-	COVID	English	Regular	MP	Minister	F	Framsóknarflokkur	Coalition	Centre to centre-right	AsmundurDadason	Daðason, Ásmundur Einar	M	1982	
ParlaMint-IS-en_2020-06-23-123	ParlaMint-IS_2020-06-23-123.u9	Speeches in the national parliament of Iceland, 23. term, regular meeting 150-123, 23.06.2020.	2020-06-23	Unicameralism	23. kjörtímabil	150. löggjafarþing	Hefðbundinn	-	-	COVID	English	Regular	MP	notMinister	M	Miðflokkurinn	-	Centre to centre-right	THorsteinnSaemundsson	Sæmundsson, Þorsteinn	M	1953	
ParlaMint-IS-en_2020-06-23-123	ParlaMint-IS_2020-06-23-123.u10	Speeches in the national parliament of Iceland, 23. term, regular meeting 150-123, 23.06.2020.	2020-06-23	Unicameralism	23. kjörtímabil	150. löggjafarþing	Hefðbundinn	-	-	COVID	English	Regular	MP	Minister	F	Framsóknarflokkur	Coalition	Centre to centre-right	AsmundurDadason	Daðason, Ásmundur Einar	M	1982	
ParlaMint-IS-en_2020-06-23-123	ParlaMint-IS_2020-06-23-123.u11	Speeches in the national parliament of Iceland, 23. term, regular meeting 150-123, 23.06.2020.	2020-06-23	Unicameralism	23. kjörtímabil	150. löggjafarþing	Hefðbundinn	-	-	COVID	English	Regular	MP	notMinister	M	Miðflokkurinn	-	Centre to centre-right	GunnarSveinsson	Sveinsson, Gunnar Bragi	M	1968	
