Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-IS-en_2020-03-13-73	ParlaMint-IS_2020-03-13-73.u1	Speeches in the national parliament of Iceland, 23. term, regular meeting 150-73, 13.03.2020.	2020-03-13	Unicameralism	23. kjörtímabil	150. löggjafarþing	Hefðbundinn	-	-	COVID	English	Chairperson	MP	notMinister	Vg	Vinstrihreyfingin - grænt framboð	Coalition	Centre-left to left	SteingrimurSigfusson	Sigfússon, Steingrímur J.	M	1955	
ParlaMint-IS-en_2020-03-13-73	ParlaMint-IS_2020-03-13-73.u2	Speeches in the national parliament of Iceland, 23. term, regular meeting 150-73, 13.03.2020.	2020-03-13	Unicameralism	23. kjörtímabil	150. löggjafarþing	Hefðbundinn	-	-	COVID	English	Chairperson	MP	notMinister	Vg	Vinstrihreyfingin - grænt framboð	Coalition	Centre-left to left	SteingrimurSigfusson	Sigfússon, Steingrímur J.	M	1955	
ParlaMint-IS-en_2020-03-13-73	ParlaMint-IS_2020-03-13-73.u3	Speeches in the national parliament of Iceland, 23. term, regular meeting 150-73, 13.03.2020.	2020-03-13	Unicameralism	23. kjörtímabil	150. löggjafarþing	Hefðbundinn	-	-	COVID	English	Chairperson	MP	notMinister	Vg	Vinstrihreyfingin - grænt framboð	Coalition	Centre-left to left	SteingrimurSigfusson	Sigfússon, Steingrímur J.	M	1955	
ParlaMint-IS-en_2020-03-13-73	ParlaMint-IS_2020-03-13-73.u4	Speeches in the national parliament of Iceland, 23. term, regular meeting 150-73, 13.03.2020.	2020-03-13	Unicameralism	23. kjörtímabil	150. löggjafarþing	Hefðbundinn	-	-	COVID	English	Regular	MP	Minister	S	Sjálfstæðisflokkur	Coalition	Centre to centre-right	BjarniBenediktsson1970	Benediktsson, Bjarni	M	1970	
ParlaMint-IS-en_2020-03-13-73	ParlaMint-IS_2020-03-13-73.u5	Speeches in the national parliament of Iceland, 23. term, regular meeting 150-73, 13.03.2020.	2020-03-13	Unicameralism	23. kjörtímabil	150. löggjafarþing	Hefðbundinn	-	-	COVID	English	Regular	MP	notMinister	Sf	Samfylking	-	Centre-left	OddnyHardardottir	Harðardóttir, Oddný G.	F	1957	
ParlaMint-IS-en_2020-03-13-73	ParlaMint-IS_2020-03-13-73.u6	Speeches in the national parliament of Iceland, 23. term, regular meeting 150-73, 13.03.2020.	2020-03-13	Unicameralism	23. kjörtímabil	150. löggjafarþing	Hefðbundinn	-	-	COVID	English	Regular	MP	Minister	S	Sjálfstæðisflokkur	Coalition	Centre to centre-right	BjarniBenediktsson1970	Benediktsson, Bjarni	M	1970	
ParlaMint-IS-en_2020-03-13-73	ParlaMint-IS_2020-03-13-73.u7	Speeches in the national parliament of Iceland, 23. term, regular meeting 150-73, 13.03.2020.	2020-03-13	Unicameralism	23. kjörtímabil	150. löggjafarþing	Hefðbundinn	-	-	COVID	English	Regular	MP	notMinister	Sf	Samfylking	-	Centre-left	OddnyHardardottir	Harðardóttir, Oddný G.	F	1957	
ParlaMint-IS-en_2020-03-13-73	ParlaMint-IS_2020-03-13-73.u8	Speeches in the national parliament of Iceland, 23. term, regular meeting 150-73, 13.03.2020.	2020-03-13	Unicameralism	23. kjörtímabil	150. löggjafarþing	Hefðbundinn	-	-	COVID	English	Regular	MP	Minister	S	Sjálfstæðisflokkur	Coalition	Centre to centre-right	BjarniBenediktsson1970	Benediktsson, Bjarni	M	1970	
ParlaMint-IS-en_2020-03-13-73	ParlaMint-IS_2020-03-13-73.u9	Speeches in the national parliament of Iceland, 23. term, regular meeting 150-73, 13.03.2020.	2020-03-13	Unicameralism	23. kjörtímabil	150. löggjafarþing	Hefðbundinn	-	-	COVID	English	Regular	MP	notMinister	V	Viðreisn	-	Centre-right	THorsteinnViglundsson	Víglundsson, Þorsteinn	M	1969	
ParlaMint-IS-en_2020-03-13-73	ParlaMint-IS_2020-03-13-73.u10	Speeches in the national parliament of Iceland, 23. term, regular meeting 150-73, 13.03.2020.	2020-03-13	Unicameralism	23. kjörtímabil	150. löggjafarþing	Hefðbundinn	-	-	COVID	English	Regular	MP	Minister	S	Sjálfstæðisflokkur	Coalition	Centre to centre-right	BjarniBenediktsson1970	Benediktsson, Bjarni	M	1970	
ParlaMint-IS-en_2020-03-13-73	ParlaMint-IS_2020-03-13-73.u11	Speeches in the national parliament of Iceland, 23. term, regular meeting 150-73, 13.03.2020.	2020-03-13	Unicameralism	23. kjörtímabil	150. löggjafarþing	Hefðbundinn	-	-	COVID	English	Regular	MP	notMinister	V	Viðreisn	-	Centre-right	THorsteinnViglundsson	Víglundsson, Þorsteinn	M	1969	
ParlaMint-IS-en_2020-03-13-73	ParlaMint-IS_2020-03-13-73.u12	Speeches in the national parliament of Iceland, 23. term, regular meeting 150-73, 13.03.2020.	2020-03-13	Unicameralism	23. kjörtímabil	150. löggjafarþing	Hefðbundinn	-	-	COVID	English	Regular	MP	Minister	S	Sjálfstæðisflokkur	Coalition	Centre to centre-right	BjarniBenediktsson1970	Benediktsson, Bjarni	M	1970	
ParlaMint-IS-en_2020-03-13-73	ParlaMint-IS_2020-03-13-73.u13	Speeches in the national parliament of Iceland, 23. term, regular meeting 150-73, 13.03.2020.	2020-03-13	Unicameralism	23. kjörtímabil	150. löggjafarþing	Hefðbundinn	-	-	COVID	English	Regular	MP	notMinister	M	Miðflokkurinn	-	Centre to centre-right	BergthorOlason	Ólason, Bergþór	M	1975	
ParlaMint-IS-en_2020-03-13-73	ParlaMint-IS_2020-03-13-73.u14	Speeches in the national parliament of Iceland, 23. term, regular meeting 150-73, 13.03.2020.	2020-03-13	Unicameralism	23. kjörtímabil	150. löggjafarþing	Hefðbundinn	-	-	COVID	English	Regular	MP	Minister	S	Sjálfstæðisflokkur	Coalition	Centre to centre-right	BjarniBenediktsson1970	Benediktsson, Bjarni	M	1970	
ParlaMint-IS-en_2020-03-13-73	ParlaMint-IS_2020-03-13-73.u15	Speeches in the national parliament of Iceland, 23. term, regular meeting 150-73, 13.03.2020.	2020-03-13	Unicameralism	23. kjörtímabil	150. löggjafarþing	Hefðbundinn	-	-	COVID	English	Regular	MP	notMinister	M	Miðflokkurinn	-	Centre to centre-right	BergthorOlason	Ólason, Bergþór	M	1975	
ParlaMint-IS-en_2020-03-13-73	ParlaMint-IS_2020-03-13-73.u16	Speeches in the national parliament of Iceland, 23. term, regular meeting 150-73, 13.03.2020.	2020-03-13	Unicameralism	23. kjörtímabil	150. löggjafarþing	Hefðbundinn	-	-	COVID	English	Regular	MP	Minister	S	Sjálfstæðisflokkur	Coalition	Centre to centre-right	BjarniBenediktsson1970	Benediktsson, Bjarni	M	1970	
ParlaMint-IS-en_2020-03-13-73	ParlaMint-IS_2020-03-13-73.u17	Speeches in the national parliament of Iceland, 23. term, regular meeting 150-73, 13.03.2020.	2020-03-13	Unicameralism	23. kjörtímabil	150. löggjafarþing	Hefðbundinn	-	-	COVID	English	Regular	MP	notMinister	M	Miðflokkurinn	-	Centre to centre-right	BirgirTHorarinsson	Þórarinsson, Birgir	M	1965	
ParlaMint-IS-en_2020-03-13-73	ParlaMint-IS_2020-03-13-73.u18	Speeches in the national parliament of Iceland, 23. term, regular meeting 150-73, 13.03.2020.	2020-03-13	Unicameralism	23. kjörtímabil	150. löggjafarþing	Hefðbundinn	-	-	COVID	English	Regular	MP	Minister	S	Sjálfstæðisflokkur	Coalition	Centre to centre-right	BjarniBenediktsson1970	Benediktsson, Bjarni	M	1970	
ParlaMint-IS-en_2020-03-13-73	ParlaMint-IS_2020-03-13-73.u19	Speeches in the national parliament of Iceland, 23. term, regular meeting 150-73, 13.03.2020.	2020-03-13	Unicameralism	23. kjörtímabil	150. löggjafarþing	Hefðbundinn	-	-	COVID	English	Regular	MP	notMinister	M	Miðflokkurinn	-	Centre to centre-right	BirgirTHorarinsson	Þórarinsson, Birgir	M	1965	
ParlaMint-IS-en_2020-03-13-73	ParlaMint-IS_2020-03-13-73.u20	Speeches in the national parliament of Iceland, 23. term, regular meeting 150-73, 13.03.2020.	2020-03-13	Unicameralism	23. kjörtímabil	150. löggjafarþing	Hefðbundinn	-	-	COVID	English	Regular	MP	notMinister	M	Miðflokkurinn	-	Centre to centre-right	GunnarSveinsson	Sveinsson, Gunnar Bragi	M	1968	
ParlaMint-IS-en_2020-03-13-73	ParlaMint-IS_2020-03-13-73.u21	Speeches in the national parliament of Iceland, 23. term, regular meeting 150-73, 13.03.2020.	2020-03-13	Unicameralism	23. kjörtímabil	150. löggjafarþing	Hefðbundinn	-	-	COVID	English	Chairperson	MP	notMinister	M	Miðflokkurinn	-	Centre to centre-right	THorsteinnSaemundsson	Sæmundsson, Þorsteinn	M	1953	
ParlaMint-IS-en_2020-03-13-73	ParlaMint-IS_2020-03-13-73.u22	Speeches in the national parliament of Iceland, 23. term, regular meeting 150-73, 13.03.2020.	2020-03-13	Unicameralism	23. kjörtímabil	150. löggjafarþing	Hefðbundinn	-	-	COVID	English	Regular	MP	notMinister	Flf	Flokkur fólksins	-	Centre-left	GudmundurKristinsson	Kristinsson, Guðmundur Ingi	M	1955	
