Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-IS-en_2020-03-30-85	ParlaMint-IS_2020-03-30-85.u1	Speeches in the national parliament of Iceland, 23. term, regular meeting 150-85, 30.03.2020.	2020-03-30	Unicameralism	23. kjörtímabil	150. löggjafarþing	Hefðbundinn	-	-	COVID	English	Chairperson	MP	notMinister	Vg	Vinstrihreyfingin - grænt framboð	Coalition	Centre-left to left	SteingrimurSigfusson	Sigfússon, Steingrímur J.	M	1955	
ParlaMint-IS-en_2020-03-30-85	ParlaMint-IS_2020-03-30-85.u2	Speeches in the national parliament of Iceland, 23. term, regular meeting 150-85, 30.03.2020.	2020-03-30	Unicameralism	23. kjörtímabil	150. löggjafarþing	Hefðbundinn	-	-	COVID	English	Regular	MP	Minister	F	Framsóknarflokkur	Coalition	Centre to centre-right	SigurdurJohannsson	Jóhannsson, Sigurður Ingi	M	1962	
ParlaMint-IS-en_2020-03-30-85	ParlaMint-IS_2020-03-30-85.u3	Speeches in the national parliament of Iceland, 23. term, regular meeting 150-85, 30.03.2020.	2020-03-30	Unicameralism	23. kjörtímabil	150. löggjafarþing	Hefðbundinn	-	-	COVID	English	Regular	MP	notMinister	Sf	Samfylking	-	Centre-left	AgustAgustsson	Ágústsson, Ágúst Ólafur	M	1977	
ParlaMint-IS-en_2020-03-30-85	ParlaMint-IS_2020-03-30-85.u4	Speeches in the national parliament of Iceland, 23. term, regular meeting 150-85, 30.03.2020.	2020-03-30	Unicameralism	23. kjörtímabil	150. löggjafarþing	Hefðbundinn	-	-	COVID	English	Regular	MP	notMinister	M	Miðflokkurinn	-	Centre to centre-right	BirgirTHorarinsson	Þórarinsson, Birgir	M	1965	
ParlaMint-IS-en_2020-03-30-85	ParlaMint-IS_2020-03-30-85.u5	Speeches in the national parliament of Iceland, 23. term, regular meeting 150-85, 30.03.2020.	2020-03-30	Unicameralism	23. kjörtímabil	150. löggjafarþing	Hefðbundinn	-	-	COVID	English	Regular	MP	notMinister	-	-	-	-	AndresJonsson	Jónsson, Andrés Ingi	M	1979	
ParlaMint-IS-en_2020-03-30-85	ParlaMint-IS_2020-03-30-85.u6	Speeches in the national parliament of Iceland, 23. term, regular meeting 150-85, 30.03.2020.	2020-03-30	Unicameralism	23. kjörtímabil	150. löggjafarþing	Hefðbundinn	-	-	COVID	English	Chairperson	MP	notMinister	Vg	Vinstrihreyfingin - grænt framboð	Coalition	Centre-left to left	SteingrimurSigfusson	Sigfússon, Steingrímur J.	M	1955	
