Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-IS-en_2020-10-01-1	ParlaMint-IS_2020-10-01-1.u1	Speeches in the national parliament of Iceland, 23. term, regular meeting 151-1, 01.10.2020.	2020-10-01	Unicameralism	23. kjörtímabil	151. löggjafarþing	Hefðbundinn	-	-	COVID	English	Chairperson	MP	notMinister	Vg	Vinstrihreyfingin - grænt framboð	Coalition	Centre-left to left	SteingrimurSigfusson	Sigfússon, Steingrímur J.	M	1955	
ParlaMint-IS-en_2020-10-01-1	ParlaMint-IS_2020-10-01-1.u2	Speeches in the national parliament of Iceland, 23. term, regular meeting 151-1, 01.10.2020.	2020-10-01	Unicameralism	23. kjörtímabil	151. löggjafarþing	Hefðbundinn	-	-	COVID	English	Chairperson	MP	notMinister	Vg	Vinstrihreyfingin - grænt framboð	Coalition	Centre-left to left	SteingrimurSigfusson	Sigfússon, Steingrímur J.	M	1955	
ParlaMint-IS-en_2020-10-01-1	ParlaMint-IS_2020-10-01-1.u3	Speeches in the national parliament of Iceland, 23. term, regular meeting 151-1, 01.10.2020.	2020-10-01	Unicameralism	23. kjörtímabil	151. löggjafarþing	Hefðbundinn	-	-	COVID	English	Chairperson	MP	notMinister	Vg	Vinstrihreyfingin - grænt framboð	Coalition	Centre-left to left	SteingrimurSigfusson	Sigfússon, Steingrímur J.	M	1955	
ParlaMint-IS-en_2020-10-01-1	ParlaMint-IS_2020-10-01-1.u4	Speeches in the national parliament of Iceland, 23. term, regular meeting 151-1, 01.10.2020.	2020-10-01	Unicameralism	23. kjörtímabil	151. löggjafarþing	Hefðbundinn	-	-	COVID	English	Chairperson	MP	notMinister	Vg	Vinstrihreyfingin - grænt framboð	Coalition	Centre-left to left	SteingrimurSigfusson	Sigfússon, Steingrímur J.	M	1955	
ParlaMint-IS-en_2020-10-01-1	ParlaMint-IS_2020-10-01-1.u5	Speeches in the national parliament of Iceland, 23. term, regular meeting 151-1, 01.10.2020.	2020-10-01	Unicameralism	23. kjörtímabil	151. löggjafarþing	Hefðbundinn	-	-	COVID	English	Chairperson	MP	notMinister	Vg	Vinstrihreyfingin - grænt framboð	Coalition	Centre-left to left	SteingrimurSigfusson	Sigfússon, Steingrímur J.	M	1955	
ParlaMint-IS-en_2020-10-01-1	ParlaMint-IS_2020-10-01-1.u6	Speeches in the national parliament of Iceland, 23. term, regular meeting 151-1, 01.10.2020.	2020-10-01	Unicameralism	23. kjörtímabil	151. löggjafarþing	Hefðbundinn	-	-	COVID	English	Chairperson	MP	notMinister	Vg	Vinstrihreyfingin - grænt framboð	Coalition	Centre-left to left	SteingrimurSigfusson	Sigfússon, Steingrímur J.	M	1955	
ParlaMint-IS-en_2020-10-01-1	ParlaMint-IS_2020-10-01-1.u7	Speeches in the national parliament of Iceland, 23. term, regular meeting 151-1, 01.10.2020.	2020-10-01	Unicameralism	23. kjörtímabil	151. löggjafarþing	Hefðbundinn	-	-	COVID	English	Chairperson	MP	notMinister	Vg	Vinstrihreyfingin - grænt framboð	Coalition	Centre-left to left	SteingrimurSigfusson	Sigfússon, Steingrímur J.	M	1955	
ParlaMint-IS-en_2020-10-01-1	ParlaMint-IS_2020-10-01-1.u8	Speeches in the national parliament of Iceland, 23. term, regular meeting 151-1, 01.10.2020.	2020-10-01	Unicameralism	23. kjörtímabil	151. löggjafarþing	Hefðbundinn	-	-	COVID	English	Chairperson	MP	notMinister	Vg	Vinstrihreyfingin - grænt framboð	Coalition	Centre-left to left	SteingrimurSigfusson	Sigfússon, Steingrímur J.	M	1955	
