Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-IS-en_2020-11-27-28	ParlaMint-IS_2020-11-27-28.u1	Speeches in the national parliament of Iceland, 23. term, regular meeting 151-28, 27.11.2020.	2020-11-27	Unicameralism	23. kjörtímabil	151. löggjafarþing	Hefðbundinn	-	-	COVID	English	Regular	MP	notMinister	S	Sjálfstæðisflokkur	Coalition	Centre to centre-right	PallMagnusson	Magnússon, Páll	M	1954	
ParlaMint-IS-en_2020-11-27-28	ParlaMint-IS_2020-11-27-28.u2	Speeches in the national parliament of Iceland, 23. term, regular meeting 151-28, 27.11.2020.	2020-11-27	Unicameralism	23. kjörtímabil	151. löggjafarþing	Hefðbundinn	-	-	COVID	English	Regular	MP	notMinister	P	Píratar	-	Pirate Party	THorhildurAEvarsdottir	Ævarsdóttir, Þórhildur Sunna	F	1987	
ParlaMint-IS-en_2020-11-27-28	ParlaMint-IS_2020-11-27-28.u3	Speeches in the national parliament of Iceland, 23. term, regular meeting 151-28, 27.11.2020.	2020-11-27	Unicameralism	23. kjörtímabil	151. löggjafarþing	Hefðbundinn	-	-	COVID	English	Regular	MP	notMinister	Vg	Vinstrihreyfingin - grænt framboð	Coalition	Centre-left to left	BjarkeyGunnarsdottir	Gunnarsdóttir, Bjarkey Olsen	F	1965	
ParlaMint-IS-en_2020-11-27-28	ParlaMint-IS_2020-11-27-28.u4	Speeches in the national parliament of Iceland, 23. term, regular meeting 151-28, 27.11.2020.	2020-11-27	Unicameralism	23. kjörtímabil	151. löggjafarþing	Hefðbundinn	-	-	COVID	English	Regular	MP	notMinister	Sf	Samfylking	-	Centre-left	GudmundurThorsson	Thorsson, Guðmundur Andri	M	1957	
ParlaMint-IS-en_2020-11-27-28	ParlaMint-IS_2020-11-27-28.u5	Speeches in the national parliament of Iceland, 23. term, regular meeting 151-28, 27.11.2020.	2020-11-27	Unicameralism	23. kjörtímabil	151. löggjafarþing	Hefðbundinn	-	-	COVID	English	Regular	MP	notMinister	V	Viðreisn	-	Centre-right	THorbjorgGunnlaugsdottir	Gunnlaugsdóttir, Þorbjörg Sigríður	F	1978	
ParlaMint-IS-en_2020-11-27-28	ParlaMint-IS_2020-11-27-28.u6	Speeches in the national parliament of Iceland, 23. term, regular meeting 151-28, 27.11.2020.	2020-11-27	Unicameralism	23. kjörtímabil	151. löggjafarþing	Hefðbundinn	-	-	COVID	English	Regular	MP	notMinister	Flf	Flokkur fólksins	-	Centre-left	GudmundurKristinsson	Kristinsson, Guðmundur Ingi	M	1955	
ParlaMint-IS-en_2020-11-27-28	ParlaMint-IS_2020-11-27-28.u7	Speeches in the national parliament of Iceland, 23. term, regular meeting 151-28, 27.11.2020.	2020-11-27	Unicameralism	23. kjörtímabil	151. löggjafarþing	Hefðbundinn	-	-	COVID	English	Regular	MP	notMinister	Vg	Vinstrihreyfingin - grænt framboð	Coalition	Centre-left to left	SteinunnArnadottir	Árnadóttir, Steinunn Þóra	F	1977	
ParlaMint-IS-en_2020-11-27-28	ParlaMint-IS_2020-11-27-28.u8	Speeches in the national parliament of Iceland, 23. term, regular meeting 151-28, 27.11.2020.	2020-11-27	Unicameralism	23. kjörtímabil	151. löggjafarþing	Hefðbundinn	-	-	COVID	English	Regular	MP	notMinister	M	Miðflokkurinn	-	Centre to centre-right	GunnarSveinsson	Sveinsson, Gunnar Bragi	M	1968	
ParlaMint-IS-en_2020-11-27-28	ParlaMint-IS_2020-11-27-28.u9	Speeches in the national parliament of Iceland, 23. term, regular meeting 151-28, 27.11.2020.	2020-11-27	Unicameralism	23. kjörtímabil	151. löggjafarþing	Hefðbundinn	-	-	COVID	English	Regular	MP	notMinister	P	Píratar	-	Pirate Party	THorhildurAEvarsdottir	Ævarsdóttir, Þórhildur Sunna	F	1987	
ParlaMint-IS-en_2020-11-27-28	ParlaMint-IS_2020-11-27-28.u10	Speeches in the national parliament of Iceland, 23. term, regular meeting 151-28, 27.11.2020.	2020-11-27	Unicameralism	23. kjörtímabil	151. löggjafarþing	Hefðbundinn	-	-	COVID	English	Regular	MP	notMinister	P	Píratar	-	Pirate Party	BjornGunnarsson	Gunnarsson, Björn Leví	M	1976	
ParlaMint-IS-en_2020-11-27-28	ParlaMint-IS_2020-11-27-28.u11	Speeches in the national parliament of Iceland, 23. term, regular meeting 151-28, 27.11.2020.	2020-11-27	Unicameralism	23. kjörtímabil	151. löggjafarþing	Hefðbundinn	-	-	COVID	English	Regular	MP	notMinister	Sf	Samfylking	-	Centre-left	OddnyHardardottir	Harðardóttir, Oddný G.	F	1957	
ParlaMint-IS-en_2020-11-27-28	ParlaMint-IS_2020-11-27-28.u12	Speeches in the national parliament of Iceland, 23. term, regular meeting 151-28, 27.11.2020.	2020-11-27	Unicameralism	23. kjörtímabil	151. löggjafarþing	Hefðbundinn	-	-	COVID	English	Regular	MP	notMinister	V	Viðreisn	-	Centre-right	HannaFridriksson	Friðriksson, Hanna Katrín	F	1964	
ParlaMint-IS-en_2020-11-27-28	ParlaMint-IS_2020-11-27-28.u13	Speeches in the national parliament of Iceland, 23. term, regular meeting 151-28, 27.11.2020.	2020-11-27	Unicameralism	23. kjörtímabil	151. löggjafarþing	Hefðbundinn	-	-	COVID	English	Regular	MP	notMinister	F	Framsóknarflokkur	Coalition	Centre to centre-right	SiljaGunnarsdottir	Gunnarsdóttir, Silja Dögg	F	1973	
ParlaMint-IS-en_2020-11-27-28	ParlaMint-IS_2020-11-27-28.u14	Speeches in the national parliament of Iceland, 23. term, regular meeting 151-28, 27.11.2020.	2020-11-27	Unicameralism	23. kjörtímabil	151. löggjafarþing	Hefðbundinn	-	-	COVID	English	Regular	MP	Minister	S	Sjálfstæðisflokkur	Coalition	Centre to centre-right	AslaugSigurbjornsdottir	Sigurbjörnsdóttir, Áslaug Arna	F	1990	
ParlaMint-IS-en_2020-11-27-28	ParlaMint-IS_2020-11-27-28.u15	Speeches in the national parliament of Iceland, 23. term, regular meeting 151-28, 27.11.2020.	2020-11-27	Unicameralism	23. kjörtímabil	151. löggjafarþing	Hefðbundinn	-	-	COVID	English	Regular	notMP	notMinister	P	Píratar	-	Pirate Party	SaraTHordardottir	Þórðardóttir, Sara Elísa	F	1981	
ParlaMint-IS-en_2020-11-27-28	ParlaMint-IS_2020-11-27-28.u16	Speeches in the national parliament of Iceland, 23. term, regular meeting 151-28, 27.11.2020.	2020-11-27	Unicameralism	23. kjörtímabil	151. löggjafarþing	Hefðbundinn	-	-	COVID	English	Regular	MP	Minister	Vg	Vinstrihreyfingin - grænt framboð	Coalition	Centre-left to left	KatrinJakobsdottir	Jakobsdóttir, Katrín	F	1976	
ParlaMint-IS-en_2020-11-27-28	ParlaMint-IS_2020-11-27-28.u17	Speeches in the national parliament of Iceland, 23. term, regular meeting 151-28, 27.11.2020.	2020-11-27	Unicameralism	23. kjörtímabil	151. löggjafarþing	Hefðbundinn	-	-	COVID	English	Regular	MP	notMinister	P	Píratar	-	Pirate Party	THorhildurAEvarsdottir	Ævarsdóttir, Þórhildur Sunna	F	1987	
ParlaMint-IS-en_2020-11-27-28	ParlaMint-IS_2020-11-27-28.u18	Speeches in the national parliament of Iceland, 23. term, regular meeting 151-28, 27.11.2020.	2020-11-27	Unicameralism	23. kjörtímabil	151. löggjafarþing	Hefðbundinn	-	-	COVID	English	Regular	MP	Minister	Vg	Vinstrihreyfingin - grænt framboð	Coalition	Centre-left to left	KatrinJakobsdottir	Jakobsdóttir, Katrín	F	1976	
ParlaMint-IS-en_2020-11-27-28	ParlaMint-IS_2020-11-27-28.u19	Speeches in the national parliament of Iceland, 23. term, regular meeting 151-28, 27.11.2020.	2020-11-27	Unicameralism	23. kjörtímabil	151. löggjafarþing	Hefðbundinn	-	-	COVID	English	Regular	MP	notMinister	-	-	-	-	RosaBrynjolfsdottir	Brynjólfsdóttir, Rósa Björk	F	1975	
