Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-IS-en_2020-03-17-77	ParlaMint-IS_2020-03-17-77.u1	Speeches in the national parliament of Iceland, 23. term, regular meeting 150-77, 17.03.2020.	2020-03-17	Unicameralism	23. kjörtímabil	150. löggjafarþing	Hefðbundinn	-	-	COVID	English	Regular	MP	notMinister	F	Framsóknarflokkur	Coalition	Centre to centre-right	LineikSaevarsdottir	Sævarsdóttir, Líneik Anna	F	1964	
ParlaMint-IS-en_2020-03-17-77	ParlaMint-IS_2020-03-17-77.u2	Speeches in the national parliament of Iceland, 23. term, regular meeting 150-77, 17.03.2020.	2020-03-17	Unicameralism	23. kjörtímabil	150. löggjafarþing	Hefðbundinn	-	-	COVID	English	Regular	MP	notMinister	P	Píratar	-	Pirate Party	BjornGunnarsson	Gunnarsson, Björn Leví	M	1976	
ParlaMint-IS-en_2020-03-17-77	ParlaMint-IS_2020-03-17-77.u3	Speeches in the national parliament of Iceland, 23. term, regular meeting 150-77, 17.03.2020.	2020-03-17	Unicameralism	23. kjörtímabil	150. löggjafarþing	Hefðbundinn	-	-	COVID	English	Regular	MP	notMinister	P	Píratar	-	Pirate Party	JonOlafsson1977	Ólafsson, Jón Þór	M	1977	
