Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-IS-en_2020-02-24-63	ParlaMint-IS_2020-02-24-63.u1	Speeches in the national parliament of Iceland, 23. term, regular meeting 150-63, 24.02.2020.	2020-02-24	Unicameralism	23. kjörtímabil	150. löggjafarþing	Hefðbundinn	-	-	COVID	English	Regular	MP	notMinister	Vg	Vinstrihreyfingin - grænt framboð	Coalition	Centre-left to left	SteinunnArnadottir	Árnadóttir, Steinunn Þóra	F	1977	
ParlaMint-IS-en_2020-02-24-63	ParlaMint-IS_2020-02-24-63.u2	Speeches in the national parliament of Iceland, 23. term, regular meeting 150-63, 24.02.2020.	2020-02-24	Unicameralism	23. kjörtímabil	150. löggjafarþing	Hefðbundinn	-	-	COVID	English	Regular	MP	Minister	S	Sjálfstæðisflokkur	Coalition	Centre to centre-right	AslaugSigurbjornsdottir	Sigurbjörnsdóttir, Áslaug Arna	F	1990	
ParlaMint-IS-en_2020-02-24-63	ParlaMint-IS_2020-02-24-63.u3	Speeches in the national parliament of Iceland, 23. term, regular meeting 150-63, 24.02.2020.	2020-02-24	Unicameralism	23. kjörtímabil	150. löggjafarþing	Hefðbundinn	-	-	COVID	English	Regular	MP	notMinister	P	Píratar	-	Pirate Party	THorhildurAEvarsdottir	Ævarsdóttir, Þórhildur Sunna	F	1987	
ParlaMint-IS-en_2020-02-24-63	ParlaMint-IS_2020-02-24-63.u4	Speeches in the national parliament of Iceland, 23. term, regular meeting 150-63, 24.02.2020.	2020-02-24	Unicameralism	23. kjörtímabil	150. löggjafarþing	Hefðbundinn	-	-	COVID	English	Regular	MP	notMinister	Vg	Vinstrihreyfingin - grænt framboð	Coalition	Centre-left to left	KolbeinnProppe	Proppé, Kolbeinn Óttarsson	M	1972	
ParlaMint-IS-en_2020-02-24-63	ParlaMint-IS_2020-02-24-63.u5	Speeches in the national parliament of Iceland, 23. term, regular meeting 150-63, 24.02.2020.	2020-02-24	Unicameralism	23. kjörtímabil	150. löggjafarþing	Hefðbundinn	-	-	COVID	English	Regular	MP	notMinister	Vg	Vinstrihreyfingin - grænt framboð	Coalition	Centre-left to left	SteinunnArnadottir	Árnadóttir, Steinunn Þóra	F	1977	
ParlaMint-IS-en_2020-02-24-63	ParlaMint-IS_2020-02-24-63.u6	Speeches in the national parliament of Iceland, 23. term, regular meeting 150-63, 24.02.2020.	2020-02-24	Unicameralism	23. kjörtímabil	150. löggjafarþing	Hefðbundinn	-	-	COVID	English	Regular	MP	Minister	S	Sjálfstæðisflokkur	Coalition	Centre to centre-right	AslaugSigurbjornsdottir	Sigurbjörnsdóttir, Áslaug Arna	F	1990	
ParlaMint-IS-en_2020-02-24-63	ParlaMint-IS_2020-02-24-63.u7	Speeches in the national parliament of Iceland, 23. term, regular meeting 150-63, 24.02.2020.	2020-02-24	Unicameralism	23. kjörtímabil	150. löggjafarþing	Hefðbundinn	-	-	COVID	English	Regular	MP	notMinister	P	Píratar	-	Pirate Party	THorhildurAEvarsdottir	Ævarsdóttir, Þórhildur Sunna	F	1987	
ParlaMint-IS-en_2020-02-24-63	ParlaMint-IS_2020-02-24-63.u8	Speeches in the national parliament of Iceland, 23. term, regular meeting 150-63, 24.02.2020.	2020-02-24	Unicameralism	23. kjörtímabil	150. löggjafarþing	Hefðbundinn	-	-	COVID	English	Regular	MP	Minister	F	Framsóknarflokkur	Coalition	Centre to centre-right	AsmundurDadason	Daðason, Ásmundur Einar	M	1982	
ParlaMint-IS-en_2020-02-24-63	ParlaMint-IS_2020-02-24-63.u9	Speeches in the national parliament of Iceland, 23. term, regular meeting 150-63, 24.02.2020.	2020-02-24	Unicameralism	23. kjörtímabil	150. löggjafarþing	Hefðbundinn	-	-	COVID	English	Regular	MP	notMinister	P	Píratar	-	Pirate Party	THorhildurAEvarsdottir	Ævarsdóttir, Þórhildur Sunna	F	1987	
ParlaMint-IS-en_2020-02-24-63	ParlaMint-IS_2020-02-24-63.u10	Speeches in the national parliament of Iceland, 23. term, regular meeting 150-63, 24.02.2020.	2020-02-24	Unicameralism	23. kjörtímabil	150. löggjafarþing	Hefðbundinn	-	-	COVID	English	Regular	MP	Minister	F	Framsóknarflokkur	Coalition	Centre to centre-right	AsmundurDadason	Daðason, Ásmundur Einar	M	1982	
ParlaMint-IS-en_2020-02-24-63	ParlaMint-IS_2020-02-24-63.u11	Speeches in the national parliament of Iceland, 23. term, regular meeting 150-63, 24.02.2020.	2020-02-24	Unicameralism	23. kjörtímabil	150. löggjafarþing	Hefðbundinn	-	-	COVID	English	Regular	MP	notMinister	Sf	Samfylking	-	Centre-left	GudjonBrjansson	Brjánsson, Guðjón S.	M	1955	
