Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-SE-en_2022-02-28-prot-202122--75	i-Bx8FN4VgxpzaeiGcGcsQvW	Swedish parliamentary corpus ParlaMint-SE-en, 2021/22 nr. 75	2022-02-28	Unicameralism	2021/22	-	-	2021/22--75	-	COVID,War	English	Regular	MP	notMinister	V	Vänsterpartiet	-	Left	Q57168756	Gunnarsson, Hanna	F	-	
ParlaMint-SE-en_2022-02-28-prot-202122--75	i-PUyS97qegTXaJ9uVX9Bt4s	Swedish parliamentary corpus ParlaMint-SE-en, 2021/22 nr. 75	2022-02-28	Unicameralism	2021/22	-	-	2021/22--75	-	COVID,War	English	Regular	MP	notMinister	S	Socialdemokraterna	Coalition	Centre-left	Q269859	Westlund, Åsa	F	-	
ParlaMint-SE-en_2022-02-28-prot-202122--75	i-AaBb1eEVb9LmoGumtB861d	Swedish parliamentary corpus ParlaMint-SE-en, 2021/22 nr. 75	2022-02-28	Unicameralism	2021/22	-	-	2021/22--75	-	COVID,War	English	Regular	MP	notMinister	V	Vänsterpartiet	-	Left	Q57168756	Gunnarsson, Hanna	F	-	
ParlaMint-SE-en_2022-02-28-prot-202122--75	i-6cYzmR7zs47hxTH5PfUA43	Swedish parliamentary corpus ParlaMint-SE-en, 2021/22 nr. 75	2022-02-28	Unicameralism	2021/22	-	-	2021/22--75	-	COVID,War	English	Regular	MP	notMinister	M	Moderaterna	-	Centre-right	Q1780398	Kristersson, Ulf	M	-	
ParlaMint-SE-en_2022-02-28-prot-202122--75	i-FrmxhPk79HCdbwNEv3uxLQ	Swedish parliamentary corpus ParlaMint-SE-en, 2021/22 nr. 75	2022-02-28	Unicameralism	2021/22	-	-	2021/22--75	-	COVID,War	English	Regular	MP	notMinister	M	Moderaterna	-	Centre-right	Q1780398	Kristersson, Ulf	M	-	
ParlaMint-SE-en_2022-02-28-prot-202122--75	i-JFhLXXwQucdFdzfAWcFbEN	Swedish parliamentary corpus ParlaMint-SE-en, 2021/22 nr. 75	2022-02-28	Unicameralism	2021/22	-	-	2021/22--75	-	COVID,War	English	Regular	MP	notMinister	SD	Sverigedemokraterna	-	Right to far-right	Q518776	Åkesson, Jimmie	M	-	
ParlaMint-SE-en_2022-02-28-prot-202122--75	i-RadtQhyo4dFvMQ2cbTdf1r	Swedish parliamentary corpus ParlaMint-SE-en, 2021/22 nr. 75	2022-02-28	Unicameralism	2021/22	-	-	2021/22--75	-	COVID,War	English	Regular	MP	notMinister	C	Centerpartiet	-	Centre to centre-right	Q439393	Lööf, Annie	F	-	
ParlaMint-SE-en_2022-02-28-prot-202122--75	i-XRhGTKfQDMSJL5QrXFSbjM	Swedish parliamentary corpus ParlaMint-SE-en, 2021/22 nr. 75	2022-02-28	Unicameralism	2021/22	-	-	2021/22--75	-	COVID,War	English	Regular	MP	notMinister	C	Centerpartiet	-	Centre to centre-right	Q439393	Lööf, Annie	F	-	
ParlaMint-SE-en_2022-02-28-prot-202122--75	i-4KGEkRvscTtZWwp21x7LRx	Swedish parliamentary corpus ParlaMint-SE-en, 2021/22 nr. 75	2022-02-28	Unicameralism	2021/22	-	-	2021/22--75	-	COVID,War	English	Regular	MP	notMinister	KD	Kristdemokraterna	-	Centre-right to right	Q4941329	Busch, Ebba	F	-	
ParlaMint-SE-en_2022-02-28-prot-202122--75	i-PVpyycRh5jkN4vHxfKbJAp	Swedish parliamentary corpus ParlaMint-SE-en, 2021/22 nr. 75	2022-02-28	Unicameralism	2021/22	-	-	2021/22--75	-	COVID,War	English	Regular	MP	notMinister	L	Liberalerna	-	Centre-right	Q4731041	Widman, Allan	M	-	
ParlaMint-SE-en_2022-02-28-prot-202122--75	i-2DsEu9Y3cfxqfjjGom5x3G	Swedish parliamentary corpus ParlaMint-SE-en, 2021/22 nr. 75	2022-02-28	Unicameralism	2021/22	-	-	2021/22--75	-	COVID,War	English	Regular	MP	notMinister	MP	Miljöpartiet	-	Centre-left	Q5581337	Bolund, Per	M	-	
ParlaMint-SE-en_2022-02-28-prot-202122--75	i-RDZ3bf3bNatoX9Lf3wcS9G	Swedish parliamentary corpus ParlaMint-SE-en, 2021/22 nr. 75	2022-02-28	Unicameralism	2021/22	-	-	2021/22--75	-	COVID,War	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q3370162	Hultqvist, Peter	M	-	
ParlaMint-SE-en_2022-02-28-prot-202122--75	i-TdTc1cyyE2A1VgjT6ejYzU	Swedish parliamentary corpus ParlaMint-SE-en, 2021/22 nr. 75	2022-02-28	Unicameralism	2021/22	-	-	2021/22--75	-	COVID,War	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q3370162	Hultqvist, Peter	M	-	
ParlaMint-SE-en_2022-02-28-prot-202122--75	i-QbB8xJsu4WTJFFKktHa2HP	Swedish parliamentary corpus ParlaMint-SE-en, 2021/22 nr. 75	2022-02-28	Unicameralism	2021/22	-	-	2021/22--75	-	COVID,War	English	Regular	MP	notMinister	KD	Kristdemokraterna	-	Centre-right to right	Q4941329	Busch, Ebba	F	-	
ParlaMint-SE-en_2022-02-28-prot-202122--75	i-LBNB9A9proy2fSXV4nfmRA	Swedish parliamentary corpus ParlaMint-SE-en, 2021/22 nr. 75	2022-02-28	Unicameralism	2021/22	-	-	2021/22--75	-	COVID,War	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q3370162	Hultqvist, Peter	M	-	
ParlaMint-SE-en_2022-02-28-prot-202122--75	i-YYY5HxG1zdsS7A6yZVXTwv	Swedish parliamentary corpus ParlaMint-SE-en, 2021/22 nr. 75	2022-02-28	Unicameralism	2021/22	-	-	2021/22--75	-	COVID,War	English	Regular	MP	notMinister	KD	Kristdemokraterna	-	Centre-right to right	Q4941329	Busch, Ebba	F	-	
ParlaMint-SE-en_2022-02-28-prot-202122--75	i-8tHoipzPBBYmfuKL2wQC4V	Swedish parliamentary corpus ParlaMint-SE-en, 2021/22 nr. 75	2022-02-28	Unicameralism	2021/22	-	-	2021/22--75	-	COVID,War	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q3370162	Hultqvist, Peter	M	-	
ParlaMint-SE-en_2022-02-28-prot-202122--75	i-QwcYTn2cQYkaPETCbi6uxN	Swedish parliamentary corpus ParlaMint-SE-en, 2021/22 nr. 75	2022-02-28	Unicameralism	2021/22	-	-	2021/22--75	-	COVID,War	English	Regular	MP	notMinister	-	-	-	-	Q3675519	Kakabaveh, Amineh	F	-	
