Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-RS-en_2004-07-11-0	ParlaMint-RS_2004-07-11-0.u5069	Term 6, Meeting -	2004-07-11	Unicameralism	6. mandat	-	Zasedanje -	2004-07-11	-	Reference	English	Chairperson	MP	notMinister	G17	G17 Plus	Coalition	Centre-right	MarkovićPredrag	Marković, Predrag	M	1955	
ParlaMint-RS-en_2004-07-11-0	ParlaMint-RS_2004-07-11-0.u5070	Term 6, Meeting -	2004-07-11	Unicameralism	6. mandat	-	Zasedanje -	2004-07-11	-	Reference	English	Regular	notMP	notMinister	-	-	-	-	TadićBoris	Tadić, Boris	U	-	
ParlaMint-RS-en_2004-07-11-0	ParlaMint-RS_2004-07-11-0.u5071	Term 6, Meeting -	2004-07-11	Unicameralism	6. mandat	-	Zasedanje -	2004-07-11	-	Reference	English	Chairperson	MP	notMinister	G17	G17 Plus	Coalition	Centre-right	MarkovićPredrag	Marković, Predrag	M	1955	
ParlaMint-RS-en_2004-07-11-0	ParlaMint-RS_2004-07-11-0.u5072	Term 6, Meeting -	2004-07-11	Unicameralism	6. mandat	-	Zasedanje -	2004-07-11	-	Reference	English	Regular	notMP	notMinister	-	-	-	-	TadićBoris	Tadić, Boris	U	-	
ParlaMint-RS-en_2004-07-11-0	ParlaMint-RS_2004-07-11-0.u5073	Term 6, Meeting -	2004-07-11	Unicameralism	6. mandat	-	Zasedanje -	2004-07-11	-	Reference	English	Chairperson	MP	notMinister	G17	G17 Plus	Coalition	Centre-right	MarkovićPredrag	Marković, Predrag	M	1955	
