Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-RS-en_2004-08-24-0	ParlaMint-RS_2004-08-24-0.u6438	Term 6, Meeting v10	2004-08-24	Unicameralism	6. mandat	-	Zasedanje v10	2005-08-30	-	Reference	English	Regular	-	-	-	-	-	-	-	-	-	-
ParlaMint-RS-en_2004-08-24-0	ParlaMint-RS_2004-08-24-0.u6439	Term 6, Meeting v10	2004-08-24	Unicameralism	6. mandat	-	Zasedanje v10	2005-08-30	-	Reference	English	Chairperson	MP	notMinister	G17	G17 Plus	Coalition	Centre-right	MarkovićPredrag	Marković, Predrag	M	1955	
ParlaMint-RS-en_2004-08-24-0	ParlaMint-RS_2004-08-24-0.u6440	Term 6, Meeting v10	2004-08-24	Unicameralism	6. mandat	-	Zasedanje v10	2005-08-30	-	Reference	English	Regular	MP	notMinister	SPS	Socijalistička partija Srbije	Opposition	Centre-left	ObradovićŽarko	Obradović, Žarko	M	1960	
ParlaMint-RS-en_2004-08-24-0	ParlaMint-RS_2004-08-24-0.u6441	Term 6, Meeting v10	2004-08-24	Unicameralism	6. mandat	-	Zasedanje v10	2005-08-30	-	Reference	English	Chairperson	MP	notMinister	G17	G17 Plus	Coalition	Centre-right	MarkovićPredrag	Marković, Predrag	M	1955	
ParlaMint-RS-en_2004-08-24-0	ParlaMint-RS_2004-08-24-0.u6442	Term 6, Meeting v10	2004-08-24	Unicameralism	6. mandat	-	Zasedanje v10	2005-08-30	-	Reference	English	Regular	MP	notMinister	SRS	Srpska radikalna stranka	Opposition	Far-right	NikolićTomislav	Nikolić, Tomislav	M	1952	
ParlaMint-RS-en_2004-08-24-0	ParlaMint-RS_2004-08-24-0.u6443	Term 6, Meeting v10	2004-08-24	Unicameralism	6. mandat	-	Zasedanje v10	2005-08-30	-	Reference	English	Chairperson	MP	notMinister	G17	G17 Plus	Coalition	Centre-right	MarkovićPredrag	Marković, Predrag	M	1955	
ParlaMint-RS-en_2004-08-24-0	ParlaMint-RS_2004-08-24-0.u6444	Term 6, Meeting v10	2004-08-24	Unicameralism	6. mandat	-	Zasedanje v10	2005-08-30	-	Reference	English	Regular	MP	notMinister	SPO	Srpski pokret obnove	Coalition	Centre-right	StevanovićVeroljub	Stevanović, Veroljub	M	1946	
ParlaMint-RS-en_2004-08-24-0	ParlaMint-RS_2004-08-24-0.u6445	Term 6, Meeting v10	2004-08-24	Unicameralism	6. mandat	-	Zasedanje v10	2005-08-30	-	Reference	English	Chairperson	MP	notMinister	G17	G17 Plus	Coalition	Centre-right	MarkovićPredrag	Marković, Predrag	M	1955	
ParlaMint-RS-en_2004-08-24-0	ParlaMint-RS_2004-08-24-0.u6446	Term 6, Meeting v10	2004-08-24	Unicameralism	6. mandat	-	Zasedanje v10	2005-08-30	-	Reference	English	Regular	MP	notMinister	SRS	Srpska radikalna stranka	Opposition	Far-right	NikolićTomislav	Nikolić, Tomislav	M	1952	
ParlaMint-RS-en_2004-08-24-0	ParlaMint-RS_2004-08-24-0.u6447	Term 6, Meeting v10	2004-08-24	Unicameralism	6. mandat	-	Zasedanje v10	2005-08-30	-	Reference	English	Chairperson	MP	notMinister	SPO	Srpski pokret obnove	Coalition	Centre-right	MihailovićVojislav	Mihailović, Vojislav	M	1951	
ParlaMint-RS-en_2004-08-24-0	ParlaMint-RS_2004-08-24-0.u6448	Term 6, Meeting v10	2004-08-24	Unicameralism	6. mandat	-	Zasedanje v10	2005-08-30	-	Reference	English	Regular	MP	notMinister	SPO	Srpski pokret obnove	Coalition	Centre-right	StevanovićVeroljub	Stevanović, Veroljub	M	1946	
ParlaMint-RS-en_2004-08-24-0	ParlaMint-RS_2004-08-24-0.u6449	Term 6, Meeting v10	2004-08-24	Unicameralism	6. mandat	-	Zasedanje v10	2005-08-30	-	Reference	English	Chairperson	MP	notMinister	SPO	Srpski pokret obnove	Coalition	Centre-right	MihailovićVojislav	Mihailović, Vojislav	M	1951	
ParlaMint-RS-en_2004-08-24-0	ParlaMint-RS_2004-08-24-0.u6450	Term 6, Meeting v10	2004-08-24	Unicameralism	6. mandat	-	Zasedanje v10	2005-08-30	-	Reference	English	Regular	MP	notMinister	SPS	Socijalistička partija Srbije	Opposition	Centre-left	ObradovićŽarko	Obradović, Žarko	M	1960	
ParlaMint-RS-en_2004-08-24-0	ParlaMint-RS_2004-08-24-0.u6451	Term 6, Meeting v10	2004-08-24	Unicameralism	6. mandat	-	Zasedanje v10	2005-08-30	-	Reference	English	Chairperson	MP	notMinister	SPO	Srpski pokret obnove	Coalition	Centre-right	MihailovićVojislav	Mihailović, Vojislav	M	1951	
ParlaMint-RS-en_2004-08-24-0	ParlaMint-RS_2004-08-24-0.u6452	Term 6, Meeting v10	2004-08-24	Unicameralism	6. mandat	-	Zasedanje v10	2005-08-30	-	Reference	English	Regular	MP	notMinister	DSS	Demokratska stranka Srbije	Opposition	Right	AligrudićMiloš	Aligrudić, Miloš	M	1964	
ParlaMint-RS-en_2004-08-24-0	ParlaMint-RS_2004-08-24-0.u6453	Term 6, Meeting v10	2004-08-24	Unicameralism	6. mandat	-	Zasedanje v10	2005-08-30	-	Reference	English	Chairperson	MP	notMinister	SPO	Srpski pokret obnove	Coalition	Centre-right	MihailovićVojislav	Mihailović, Vojislav	M	1951	
ParlaMint-RS-en_2004-08-24-0	ParlaMint-RS_2004-08-24-0.u6454	Term 6, Meeting v10	2004-08-24	Unicameralism	6. mandat	-	Zasedanje v10	2005-08-30	-	Reference	English	Regular	MP	notMinister	SRS	Srpska radikalna stranka	Opposition	Far-right	NikolićTomislav	Nikolić, Tomislav	M	1952	
ParlaMint-RS-en_2004-08-24-0	ParlaMint-RS_2004-08-24-0.u6455	Term 6, Meeting v10	2004-08-24	Unicameralism	6. mandat	-	Zasedanje v10	2005-08-30	-	Reference	English	Chairperson	MP	notMinister	SPO	Srpski pokret obnove	Coalition	Centre-right	MihailovićVojislav	Mihailović, Vojislav	M	1951	
ParlaMint-RS-en_2004-08-24-0	ParlaMint-RS_2004-08-24-0.u6456	Term 6, Meeting v10	2004-08-24	Unicameralism	6. mandat	-	Zasedanje v10	2005-08-30	-	Reference	English	Regular	MP	notMinister	DSS	Demokratska stranka Srbije	Opposition	Right	AligrudićMiloš	Aligrudić, Miloš	M	1964	
ParlaMint-RS-en_2004-08-24-0	ParlaMint-RS_2004-08-24-0.u6457	Term 6, Meeting v10	2004-08-24	Unicameralism	6. mandat	-	Zasedanje v10	2005-08-30	-	Reference	English	Chairperson	MP	notMinister	SPO	Srpski pokret obnove	Coalition	Centre-right	MihailovićVojislav	Mihailović, Vojislav	M	1951	
ParlaMint-RS-en_2004-08-24-0	ParlaMint-RS_2004-08-24-0.u6458	Term 6, Meeting v10	2004-08-24	Unicameralism	6. mandat	-	Zasedanje v10	2005-08-30	-	Reference	English	Regular	MP	notMinister	GSS	Građanski savez Srbije	Coalition	Centre	SvilanovićGoran	Svilanović, Goran	M	1963	
ParlaMint-RS-en_2004-08-24-0	ParlaMint-RS_2004-08-24-0.u6459	Term 6, Meeting v10	2004-08-24	Unicameralism	6. mandat	-	Zasedanje v10	2005-08-30	-	Reference	English	Chairperson	MP	notMinister	SPO	Srpski pokret obnove	Coalition	Centre-right	MihailovićVojislav	Mihailović, Vojislav	M	1951	
ParlaMint-RS-en_2004-08-24-0	ParlaMint-RS_2004-08-24-0.u6460	Term 6, Meeting v10	2004-08-24	Unicameralism	6. mandat	-	Zasedanje v10	2005-08-30	-	Reference	English	Regular	MP	notMinister	DSS	Demokratska stranka Srbije	Opposition	Right	AligrudićMiloš	Aligrudić, Miloš	M	1964	
ParlaMint-RS-en_2004-08-24-0	ParlaMint-RS_2004-08-24-0.u6461	Term 6, Meeting v10	2004-08-24	Unicameralism	6. mandat	-	Zasedanje v10	2005-08-30	-	Reference	English	Chairperson	MP	notMinister	SPO	Srpski pokret obnove	Coalition	Centre-right	MihailovićVojislav	Mihailović, Vojislav	M	1951	
ParlaMint-RS-en_2004-08-24-0	ParlaMint-RS_2004-08-24-0.u6462	Term 6, Meeting v10	2004-08-24	Unicameralism	6. mandat	-	Zasedanje v10	2005-08-30	-	Reference	English	Regular	MP	notMinister	SPO	Srpski pokret obnove	Coalition	Centre-right	StevanovićVeroljub	Stevanović, Veroljub	M	1946	
ParlaMint-RS-en_2004-08-24-0	ParlaMint-RS_2004-08-24-0.u6463	Term 6, Meeting v10	2004-08-24	Unicameralism	6. mandat	-	Zasedanje v10	2005-08-30	-	Reference	English	Chairperson	notMP	notMinister	-	-	-	-	KrstićEmilija	Krstić, Emilija	F	1964	
ParlaMint-RS-en_2004-08-24-0	ParlaMint-RS_2004-08-24-0.u6464	Term 6, Meeting v10	2004-08-24	Unicameralism	6. mandat	-	Zasedanje v10	2005-08-30	-	Reference	English	Regular	MP	notMinister	SRS	Srpska radikalna stranka	Opposition	Far-right	NikolićTomislav	Nikolić, Tomislav	M	1952	
ParlaMint-RS-en_2004-08-24-0	ParlaMint-RS_2004-08-24-0.u6465	Term 6, Meeting v10	2004-08-24	Unicameralism	6. mandat	-	Zasedanje v10	2005-08-30	-	Reference	English	Chairperson	notMP	notMinister	-	-	-	-	KrstićEmilija	Krstić, Emilija	F	1964	
ParlaMint-RS-en_2004-08-24-0	ParlaMint-RS_2004-08-24-0.u6466	Term 6, Meeting v10	2004-08-24	Unicameralism	6. mandat	-	Zasedanje v10	2005-08-30	-	Reference	English	Regular	MP	notMinister	SPO	Srpski pokret obnove	Coalition	Centre-right	StevanovićVeroljub	Stevanović, Veroljub	M	1946	
