Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-RS-en_2004-04-20-0	ParlaMint-RS_2004-04-20-0.u2348	Term 6, Meeting 8	2004-04-20	Unicameralism	6. mandat	-	Zasedanje 8	2005-12-22	-	Reference	English	Regular	-	-	-	-	-	-	-	-	-	-
ParlaMint-RS-en_2004-04-20-0	ParlaMint-RS_2004-04-20-0.u2349	Term 6, Meeting 8	2004-04-20	Unicameralism	6. mandat	-	Zasedanje 8	2005-12-22	-	Reference	English	Chairperson	MP	notMinister	G17	G17 Plus	Coalition	Centre-right	MarkovićPredrag	Marković, Predrag	M	1955	
ParlaMint-RS-en_2004-04-20-0	ParlaMint-RS_2004-04-20-0.u2350	Term 6, Meeting 8	2004-04-20	Unicameralism	6. mandat	-	Zasedanje 8	2005-12-22	-	Reference	English	Regular	MP	notMinister	DS	Demokratska stranka	Coalition	Centre-left	RistićBoško	Ristić, Boško	M	1961	
ParlaMint-RS-en_2004-04-20-0	ParlaMint-RS_2004-04-20-0.u2351	Term 6, Meeting 8	2004-04-20	Unicameralism	6. mandat	-	Zasedanje 8	2005-12-22	-	Reference	English	Chairperson	MP	notMinister	G17	G17 Plus	Coalition	Centre-right	MarkovićPredrag	Marković, Predrag	M	1955	
ParlaMint-RS-en_2004-04-20-0	ParlaMint-RS_2004-04-20-0.u2352	Term 6, Meeting 8	2004-04-20	Unicameralism	6. mandat	-	Zasedanje 8	2005-12-22	-	Reference	English	Regular	notMP	notMinister	-	-	-	-	StojkovićZoran	Stojković, Zoran	U	-	
ParlaMint-RS-en_2004-04-20-0	ParlaMint-RS_2004-04-20-0.u2353	Term 6, Meeting 8	2004-04-20	Unicameralism	6. mandat	-	Zasedanje 8	2005-12-22	-	Reference	English	Chairperson	MP	notMinister	G17	G17 Plus	Coalition	Centre-right	MarkovićPredrag	Marković, Predrag	M	1955	
ParlaMint-RS-en_2004-04-20-0	ParlaMint-RS_2004-04-20-0.u2354	Term 6, Meeting 8	2004-04-20	Unicameralism	6. mandat	-	Zasedanje 8	2005-12-22	-	Reference	English	Regular	MP	notMinister	DS	Demokratska stranka	Coalition	Centre-left	RistićBoško	Ristić, Boško	M	1961	
ParlaMint-RS-en_2004-04-20-0	ParlaMint-RS_2004-04-20-0.u2355	Term 6, Meeting 8	2004-04-20	Unicameralism	6. mandat	-	Zasedanje 8	2005-12-22	-	Reference	English	Chairperson	MP	notMinister	G17	G17 Plus	Coalition	Centre-right	MarkovićPredrag	Marković, Predrag	M	1955	
ParlaMint-RS-en_2004-04-20-0	ParlaMint-RS_2004-04-20-0.u2356	Term 6, Meeting 8	2004-04-20	Unicameralism	6. mandat	-	Zasedanje 8	2005-12-22	-	Reference	English	Regular	MP	notMinister	DS	Demokratska stranka	Coalition	Centre-left	RistićBoško	Ristić, Boško	M	1961	
ParlaMint-RS-en_2004-04-20-0	ParlaMint-RS_2004-04-20-0.u2357	Term 6, Meeting 8	2004-04-20	Unicameralism	6. mandat	-	Zasedanje 8	2005-12-22	-	Reference	English	Chairperson	MP	notMinister	G17	G17 Plus	Coalition	Centre-right	MarkovićPredrag	Marković, Predrag	M	1955	
ParlaMint-RS-en_2004-04-20-0	ParlaMint-RS_2004-04-20-0.u2358	Term 6, Meeting 8	2004-04-20	Unicameralism	6. mandat	-	Zasedanje 8	2005-12-22	-	Reference	English	Regular	notMP	notMinister	-	-	-	-	StojkovićZoran	Stojković, Zoran	U	-	
ParlaMint-RS-en_2004-04-20-0	ParlaMint-RS_2004-04-20-0.u2359	Term 6, Meeting 8	2004-04-20	Unicameralism	6. mandat	-	Zasedanje 8	2005-12-22	-	Reference	English	Chairperson	notMP	notMinister	-	-	-	-	KrstićEmilija	Krstić, Emilija	F	1964	
ParlaMint-RS-en_2004-04-20-0	ParlaMint-RS_2004-04-20-0.u2360	Term 6, Meeting 8	2004-04-20	Unicameralism	6. mandat	-	Zasedanje 8	2005-12-22	-	Reference	English	Regular	MP	notMinister	DS	Demokratska stranka	Coalition	Centre-left	RistićBoško	Ristić, Boško	M	1961	
ParlaMint-RS-en_2004-04-20-0	ParlaMint-RS_2004-04-20-0.u2361	Term 6, Meeting 8	2004-04-20	Unicameralism	6. mandat	-	Zasedanje 8	2005-12-22	-	Reference	English	Chairperson	notMP	notMinister	-	-	-	-	KrstićEmilija	Krstić, Emilija	F	1964	
ParlaMint-RS-en_2004-04-20-0	ParlaMint-RS_2004-04-20-0.u2362	Term 6, Meeting 8	2004-04-20	Unicameralism	6. mandat	-	Zasedanje 8	2005-12-22	-	Reference	English	Regular	MP	notMinister	SPS	Socijalistička partija Srbije	Opposition	Centre-left	DačićIvica	Dačić, Ivica	M	1966	
ParlaMint-RS-en_2004-04-20-0	ParlaMint-RS_2004-04-20-0.u2363	Term 6, Meeting 8	2004-04-20	Unicameralism	6. mandat	-	Zasedanje 8	2005-12-22	-	Reference	English	Chairperson	notMP	notMinister	-	-	-	-	KrstićEmilija	Krstić, Emilija	F	1964	
ParlaMint-RS-en_2004-04-20-0	ParlaMint-RS_2004-04-20-0.u2364	Term 6, Meeting 8	2004-04-20	Unicameralism	6. mandat	-	Zasedanje 8	2005-12-22	-	Reference	English	Regular	MP	notMinister	SPS	Socijalistička partija Srbije	Opposition	Centre-left	ObradovićŽarko	Obradović, Žarko	M	1960	
ParlaMint-RS-en_2004-04-20-0	ParlaMint-RS_2004-04-20-0.u2365	Term 6, Meeting 8	2004-04-20	Unicameralism	6. mandat	-	Zasedanje 8	2005-12-22	-	Reference	English	Chairperson	notMP	notMinister	-	-	-	-	KrstićEmilija	Krstić, Emilija	F	1964	
ParlaMint-RS-en_2004-04-20-0	ParlaMint-RS_2004-04-20-0.u2366	Term 6, Meeting 8	2004-04-20	Unicameralism	6. mandat	-	Zasedanje 8	2005-12-22	-	Reference	English	Regular	MP	notMinister	DS	Demokratska stranka	Coalition	Centre-left	PetrovićDušan	Petrović, Dušan	M	1966	
ParlaMint-RS-en_2004-04-20-0	ParlaMint-RS_2004-04-20-0.u2367	Term 6, Meeting 8	2004-04-20	Unicameralism	6. mandat	-	Zasedanje 8	2005-12-22	-	Reference	English	Chairperson	notMP	notMinister	-	-	-	-	KrstićEmilija	Krstić, Emilija	F	1964	
ParlaMint-RS-en_2004-04-20-0	ParlaMint-RS_2004-04-20-0.u2368	Term 6, Meeting 8	2004-04-20	Unicameralism	6. mandat	-	Zasedanje 8	2005-12-22	-	Reference	English	Regular	MP	notMinister	SRS	Srpska radikalna stranka	Opposition	Far-right	RadetaVjerica	Radeta, Vjerica	F	1955	
