Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-AT-en_2006-03-02-022-XXII-NRSITZ-00141	ParlaMint-AT_2006-03-02-022-XXII-NRSITZ-00141_d7e356	Sitting Number 141, Legislative period XXII, Thursday, 2. March 2006	2006-03-02	Lower house	Legislative period XXII	-	-	Sitting 141	-	Reference	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	-	Centre-right to right	PAD_00799	Khol, Andreas	M	1941	
ParlaMint-AT-en_2006-03-02-022-XXII-NRSITZ-00141	ParlaMint-AT_2006-03-02-022-XXII-NRSITZ-00141_d7e390	Sitting Number 141, Legislative period XXII, Thursday, 2. March 2006	2006-03-02	Lower house	Legislative period XXII	-	-	Sitting 141	-	Reference	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	-	Centre-right to right	PAD_00799	Khol, Andreas	M	1941	
ParlaMint-AT-en_2006-03-02-022-XXII-NRSITZ-00141	ParlaMint-AT_2006-03-02-022-XXII-NRSITZ-00141_d7e509	Sitting Number 141, Legislative period XXII, Thursday, 2. March 2006	2006-03-02	Lower house	Legislative period XXII	-	-	Sitting 141	-	Reference	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	-	Centre-right to right	PAD_00799	Khol, Andreas	M	1941	
