Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-AT-en_2006-11-29-023-XXIII-NRSITZ-00005	ParlaMint-AT_2006-11-29-023-XXIII-NRSITZ-00005_d7e361	Sitting Number 5, Legislative period XXIII, Wednesday, 29. November 2006	2006-11-29	Lower house	Legislative period XXIII	-	-	Sitting 5	-	Reference	English	Chairperson	MP	notMinister	Grüne	parliamentary group of The Greens – The Green Alternative	-	Centre-left to left	PAD_08240	Glawischnig-Piesczek, Eva	F	1969	
ParlaMint-AT-en_2006-11-29-023-XXIII-NRSITZ-00005	ParlaMint-AT_2006-11-29-023-XXIII-NRSITZ-00005_d7e392	Sitting Number 5, Legislative period XXIII, Wednesday, 29. November 2006	2006-11-29	Lower house	Legislative period XXIII	-	-	Sitting 5	-	Reference	English	Chairperson	MP	notMinister	Grüne	parliamentary group of The Greens – The Green Alternative	-	Centre-left to left	PAD_08240	Glawischnig-Piesczek, Eva	F	1969	
ParlaMint-AT-en_2006-11-29-023-XXIII-NRSITZ-00005	ParlaMint-AT_2006-11-29-023-XXIII-NRSITZ-00005_d7e829	Sitting Number 5, Legislative period XXIII, Wednesday, 29. November 2006	2006-11-29	Lower house	Legislative period XXIII	-	-	Sitting 5	-	Reference	English	Chairperson	MP	notMinister	Grüne	parliamentary group of The Greens – The Green Alternative	-	Centre-left to left	PAD_08240	Glawischnig-Piesczek, Eva	F	1969	
