Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-AT-en_2006-04-27-022-XXII-NRSITZ-00147	ParlaMint-AT_2006-04-27-022-XXII-NRSITZ-00147_d7e403	Sitting Number 147, Legislative period XXII, Thursday, 27. April 2006	2006-04-27	Lower house	Legislative period XXII	-	-	Sitting 147	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Opposition	Centre-left	PAD_04476	Prammer, Barbara	F	1954	
ParlaMint-AT-en_2006-04-27-022-XXII-NRSITZ-00147	ParlaMint-AT_2006-04-27-022-XXII-NRSITZ-00147_d7e434	Sitting Number 147, Legislative period XXII, Thursday, 27. April 2006	2006-04-27	Lower house	Legislative period XXII	-	-	Sitting 147	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Opposition	Centre-left	PAD_04476	Prammer, Barbara	F	1954	
ParlaMint-AT-en_2006-04-27-022-XXII-NRSITZ-00147	ParlaMint-AT_2006-04-27-022-XXII-NRSITZ-00147_d7e535	Sitting Number 147, Legislative period XXII, Thursday, 27. April 2006	2006-04-27	Lower house	Legislative period XXII	-	-	Sitting 147	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Opposition	Centre-left	PAD_04476	Prammer, Barbara	F	1954	
