Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-AT-en_2006-12-14-023-XXIII-NRSITZ-00007	ParlaMint-AT_2006-12-14-023-XXIII-NRSITZ-00007_d7e346	Sitting Number 7, Legislative period XXIII, Thursday, 14. December 2006	2006-12-14	Lower house	Legislative period XXIII	-	-	Sitting 7	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Opposition	Centre-left	PAD_04476	Prammer, Barbara	F	1954	
ParlaMint-AT-en_2006-12-14-023-XXIII-NRSITZ-00007	ParlaMint-AT_2006-12-14-023-XXIII-NRSITZ-00007_d7e377	Sitting Number 7, Legislative period XXIII, Thursday, 14. December 2006	2006-12-14	Lower house	Legislative period XXIII	-	-	Sitting 7	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Opposition	Centre-left	PAD_04476	Prammer, Barbara	F	1954	
ParlaMint-AT-en_2006-12-14-023-XXIII-NRSITZ-00007	ParlaMint-AT_2006-12-14-023-XXIII-NRSITZ-00007_d7e661	Sitting Number 7, Legislative period XXIII, Thursday, 14. December 2006	2006-12-14	Lower house	Legislative period XXIII	-	-	Sitting 7	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Opposition	Centre-left	PAD_04476	Prammer, Barbara	F	1954	
