Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-AT-en_2006-07-12-022-XXII-NRSITZ-00159	ParlaMint-AT_2006-07-12-022-XXII-NRSITZ-00159_d7e449	Sitting Number 159, Legislative period XXII, Wednesday, 12. July 2006	2006-07-12	Lower house	Legislative period XXII	-	-	Sitting 159	-	Reference	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	-	Centre-right to right	PAD_00799	Khol, Andreas	M	1941	
ParlaMint-AT-en_2006-07-12-022-XXII-NRSITZ-00159	ParlaMint-AT_2006-07-12-022-XXII-NRSITZ-00159_d7e480	Sitting Number 159, Legislative period XXII, Wednesday, 12. July 2006	2006-07-12	Lower house	Legislative period XXII	-	-	Sitting 159	-	Reference	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	-	Centre-right to right	PAD_00799	Khol, Andreas	M	1941	
ParlaMint-AT-en_2006-07-12-022-XXII-NRSITZ-00159	ParlaMint-AT_2006-07-12-022-XXII-NRSITZ-00159_d7e608	Sitting Number 159, Legislative period XXII, Wednesday, 12. July 2006	2006-07-12	Lower house	Legislative period XXII	-	-	Sitting 159	-	Reference	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	-	Centre-right to right	PAD_00799	Khol, Andreas	M	1941	
