Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-AT-en_2006-03-30-022-XXII-NRSITZ-00143	ParlaMint-AT_2006-03-30-022-XXII-NRSITZ-00143_d7e418	Sitting Number 143, Legislative period XXII, Thursday, 30. March 2006	2006-03-30	Lower house	Legislative period XXII	-	-	Sitting 143	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Opposition	Centre-left	PAD_04476	Prammer, Barbara	F	1954	
ParlaMint-AT-en_2006-03-30-022-XXII-NRSITZ-00143	ParlaMint-AT_2006-03-30-022-XXII-NRSITZ-00143_d7e449	Sitting Number 143, Legislative period XXII, Thursday, 30. March 2006	2006-03-30	Lower house	Legislative period XXII	-	-	Sitting 143	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Opposition	Centre-left	PAD_04476	Prammer, Barbara	F	1954	
ParlaMint-AT-en_2006-03-30-022-XXII-NRSITZ-00143	ParlaMint-AT_2006-03-30-022-XXII-NRSITZ-00143_d7e703	Sitting Number 143, Legislative period XXII, Thursday, 30. March 2006	2006-03-30	Lower house	Legislative period XXII	-	-	Sitting 143	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Opposition	Centre-left	PAD_04476	Prammer, Barbara	F	1954	
