Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-AT-en_2006-01-25-022-XXII-NRSITZ-00136	ParlaMint-AT_2006-01-25-022-XXII-NRSITZ-00136_d7e414	Sitting Number 136, Legislative period XXII, Wednesday, 25. January 2006	2006-01-25	Lower house	Legislative period XXII	-	-	Sitting 136	-	Reference	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	-	Centre-right to right	PAD_00799	Khol, Andreas	M	1941	
ParlaMint-AT-en_2006-01-25-022-XXII-NRSITZ-00136	ParlaMint-AT_2006-01-25-022-XXII-NRSITZ-00136_d7e442	Sitting Number 136, Legislative period XXII, Wednesday, 25. January 2006	2006-01-25	Lower house	Legislative period XXII	-	-	Sitting 136	-	Reference	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	-	Centre-right to right	PAD_00799	Khol, Andreas	M	1941	
ParlaMint-AT-en_2006-01-25-022-XXII-NRSITZ-00136	ParlaMint-AT_2006-01-25-022-XXII-NRSITZ-00136_d7e738	Sitting Number 136, Legislative period XXII, Wednesday, 25. January 2006	2006-01-25	Lower house	Legislative period XXII	-	-	Sitting 136	-	Reference	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	-	Centre-right to right	PAD_00799	Khol, Andreas	M	1941	
