Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-AT-en_2006-05-23-022-XXII-NRSITZ-00151	ParlaMint-AT_2006-05-23-022-XXII-NRSITZ-00151_d7e403	Sitting Number 151, Legislative period XXII, Tuesday, 23. May 2006	2006-05-23	Lower house	Legislative period XXII	-	-	Sitting 151	-	Reference	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	-	Centre-right to right	PAD_00799	Khol, Andreas	M	1941	
ParlaMint-AT-en_2006-05-23-022-XXII-NRSITZ-00151	ParlaMint-AT_2006-05-23-022-XXII-NRSITZ-00151_d7e434	Sitting Number 151, Legislative period XXII, Tuesday, 23. May 2006	2006-05-23	Lower house	Legislative period XXII	-	-	Sitting 151	-	Reference	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	-	Centre-right to right	PAD_00799	Khol, Andreas	M	1941	
ParlaMint-AT-en_2006-05-23-022-XXII-NRSITZ-00151	ParlaMint-AT_2006-05-23-022-XXII-NRSITZ-00151_d7e495	Sitting Number 151, Legislative period XXII, Tuesday, 23. May 2006	2006-05-23	Lower house	Legislative period XXII	-	-	Sitting 151	-	Reference	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	-	Centre-right to right	PAD_00799	Khol, Andreas	M	1941	
