Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-AT-en_2006-11-17-023-XXIII-NRSITZ-00003	ParlaMint-AT_2006-11-17-023-XXIII-NRSITZ-00003_d7e333	Sitting Number 3, Legislative period XXIII, Friday, 17. November 2006	2006-11-17	Lower house	Legislative period XXIII	-	-	Sitting 3	-	Reference	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	Coalition	Centre-right to right	PAD_01817	Spindelegger, Michael	M	1959	
ParlaMint-AT-en_2006-11-17-023-XXIII-NRSITZ-00003	ParlaMint-AT_2006-11-17-023-XXIII-NRSITZ-00003_d7e367	Sitting Number 3, Legislative period XXIII, Friday, 17. November 2006	2006-11-17	Lower house	Legislative period XXIII	-	-	Sitting 3	-	Reference	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	Coalition	Centre-right to right	PAD_01817	Spindelegger, Michael	M	1959	
ParlaMint-AT-en_2006-11-17-023-XXIII-NRSITZ-00003	ParlaMint-AT_2006-11-17-023-XXIII-NRSITZ-00003_d7e470	Sitting Number 3, Legislative period XXIII, Friday, 17. November 2006	2006-11-17	Lower house	Legislative period XXIII	-	-	Sitting 3	-	Reference	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	Coalition	Centre-right to right	PAD_01817	Spindelegger, Michael	M	1959	
