Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-FI-en_2021-12-10-ps-149	ParlaMint-FI_2021-12-10-ps-149.u1	Minutes of the Finnish Parliament's plenary session 149/2021, 2021-12-10	2021-12-10	Unicameralism	Vaalikausi 2019	Valtiopäivät 2021	Täysistunto 149	2021-12-10	-	COVID	English	Chairperson	MP	notMinister	KESK	Centre Party	Coalition	Centre	AnuVehviläinen	Vehviläinen, Anu	F	1963	
ParlaMint-FI-en_2021-12-10-ps-149	ParlaMint-FI_2021-12-10-ps-149.u2	Minutes of the Finnish Parliament's plenary session 149/2021, 2021-12-10	2021-12-10	Unicameralism	Vaalikausi 2019	Valtiopäivät 2021	Täysistunto 149	2021-12-10	-	COVID	English	Regular	MP	notMinister	KESK	Centre Party	Coalition	Centre	PekkaAittakumpu	Aittakumpu, Pekka	M	1981	
ParlaMint-FI-en_2021-12-10-ps-149	ParlaMint-FI_2021-12-10-ps-149.u3	Minutes of the Finnish Parliament's plenary session 149/2021, 2021-12-10	2021-12-10	Unicameralism	Vaalikausi 2019	Valtiopäivät 2021	Täysistunto 149	2021-12-10	-	COVID	English	Chairperson	MP	notMinister	KESK	Centre Party	Coalition	Centre	AnuVehviläinen	Vehviläinen, Anu	F	1963	
ParlaMint-FI-en_2021-12-10-ps-149	ParlaMint-FI_2021-12-10-ps-149.u4	Minutes of the Finnish Parliament's plenary session 149/2021, 2021-12-10	2021-12-10	Unicameralism	Vaalikausi 2019	Valtiopäivät 2021	Täysistunto 149	2021-12-10	-	COVID	English	Regular	MP	notMinister	KOK	National Coalition Party	Opposition	Centre-right	TimoHeinonen	Heinonen, Timo	M	1975	
ParlaMint-FI-en_2021-12-10-ps-149	ParlaMint-FI_2021-12-10-ps-149.u5	Minutes of the Finnish Parliament's plenary session 149/2021, 2021-12-10	2021-12-10	Unicameralism	Vaalikausi 2019	Valtiopäivät 2021	Täysistunto 149	2021-12-10	-	COVID	English	Chairperson	MP	notMinister	KESK	Centre Party	Coalition	Centre	AnuVehviläinen	Vehviläinen, Anu	F	1963	
ParlaMint-FI-en_2021-12-10-ps-149	ParlaMint-FI_2021-12-10-ps-149.u6	Minutes of the Finnish Parliament's plenary session 149/2021, 2021-12-10	2021-12-10	Unicameralism	Vaalikausi 2019	Valtiopäivät 2021	Täysistunto 149	2021-12-10	-	COVID	English	Regular	MP	notMinister	SDP	Social Democratic Party of Finland	Coalition	Centre-left	KimmoKiljunen	Kiljunen, Kimmo	M	1951	
ParlaMint-FI-en_2021-12-10-ps-149	ParlaMint-FI_2021-12-10-ps-149.u7	Minutes of the Finnish Parliament's plenary session 149/2021, 2021-12-10	2021-12-10	Unicameralism	Vaalikausi 2019	Valtiopäivät 2021	Täysistunto 149	2021-12-10	-	COVID	English	Chairperson	MP	notMinister	KESK	Centre Party	Coalition	Centre	AnuVehviläinen	Vehviläinen, Anu	F	1963	
ParlaMint-FI-en_2021-12-10-ps-149	ParlaMint-FI_2021-12-10-ps-149.u8	Minutes of the Finnish Parliament's plenary session 149/2021, 2021-12-10	2021-12-10	Unicameralism	Vaalikausi 2019	Valtiopäivät 2021	Täysistunto 149	2021-12-10	-	COVID	English	Regular	MP	notMinister	KESK	Centre Party	Coalition	Centre	HilkkaKemppi	Kemppi, Hilkka	F	1988	
ParlaMint-FI-en_2021-12-10-ps-149	ParlaMint-FI_2021-12-10-ps-149.u9	Minutes of the Finnish Parliament's plenary session 149/2021, 2021-12-10	2021-12-10	Unicameralism	Vaalikausi 2019	Valtiopäivät 2021	Täysistunto 149	2021-12-10	-	COVID	English	Chairperson	MP	notMinister	KESK	Centre Party	Coalition	Centre	AnuVehviläinen	Vehviläinen, Anu	F	1963	
ParlaMint-FI-en_2021-12-10-ps-149	ParlaMint-FI_2021-12-10-ps-149.u10	Minutes of the Finnish Parliament's plenary session 149/2021, 2021-12-10	2021-12-10	Unicameralism	Vaalikausi 2019	Valtiopäivät 2021	Täysistunto 149	2021-12-10	-	COVID	English	Regular	MP	notMinister	SDP	Social Democratic Party of Finland	Coalition	Centre-left	KimmoKiljunen	Kiljunen, Kimmo	M	1951	
ParlaMint-FI-en_2021-12-10-ps-149	ParlaMint-FI_2021-12-10-ps-149.u11	Minutes of the Finnish Parliament's plenary session 149/2021, 2021-12-10	2021-12-10	Unicameralism	Vaalikausi 2019	Valtiopäivät 2021	Täysistunto 149	2021-12-10	-	COVID	English	Chairperson	MP	notMinister	KESK	Centre Party	Coalition	Centre	AnuVehviläinen	Vehviläinen, Anu	F	1963	
