Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-FI-en_2021-07-02-ps-88	ParlaMint-FI_2021-07-02-ps-88.u1	Minutes of the Finnish Parliament's plenary session 88/2021, 2021-07-02	2021-07-02	Unicameralism	Vaalikausi 2019	Valtiopäivät 2021	Täysistunto 88	2021-07-02	-	COVID	English	Chairperson	MP	notMinister	KESK	Centre Party	Coalition	Centre	AnuVehviläinen	Vehviläinen, Anu	F	1963	
ParlaMint-FI-en_2021-07-02-ps-88	ParlaMint-FI_2021-07-02-ps-88.u2	Minutes of the Finnish Parliament's plenary session 88/2021, 2021-07-02	2021-07-02	Unicameralism	Vaalikausi 2019	Valtiopäivät 2021	Täysistunto 88	2021-07-02	-	COVID	English	Regular	notMP	notMinister	-	-	-	-	AnoTurtiainen	Turtiainen, Ano	M	1967	
ParlaMint-FI-en_2021-07-02-ps-88	ParlaMint-FI_2021-07-02-ps-88.u3	Minutes of the Finnish Parliament's plenary session 88/2021, 2021-07-02	2021-07-02	Unicameralism	Vaalikausi 2019	Valtiopäivät 2021	Täysistunto 88	2021-07-02	-	COVID	English	Regular	MP	notMinister	VAS	Left Alliance	Coalition	Left	PaavoArhinmäki	Arhinmäki, Paavo	M	1976	
ParlaMint-FI-en_2021-07-02-ps-88	ParlaMint-FI_2021-07-02-ps-88.u4	Minutes of the Finnish Parliament's plenary session 88/2021, 2021-07-02	2021-07-02	Unicameralism	Vaalikausi 2019	Valtiopäivät 2021	Täysistunto 88	2021-07-02	-	COVID	English	Regular	notMP	notMinister	-	-	-	-	AnoTurtiainen	Turtiainen, Ano	M	1967	
ParlaMint-FI-en_2021-07-02-ps-88	ParlaMint-FI_2021-07-02-ps-88.u5	Minutes of the Finnish Parliament's plenary session 88/2021, 2021-07-02	2021-07-02	Unicameralism	Vaalikausi 2019	Valtiopäivät 2021	Täysistunto 88	2021-07-02	-	COVID	English	Chairperson	MP	notMinister	KESK	Centre Party	Coalition	Centre	AnuVehviläinen	Vehviläinen, Anu	F	1963	
ParlaMint-FI-en_2021-07-02-ps-88	ParlaMint-FI_2021-07-02-ps-88.u6	Minutes of the Finnish Parliament's plenary session 88/2021, 2021-07-02	2021-07-02	Unicameralism	Vaalikausi 2019	Valtiopäivät 2021	Täysistunto 88	2021-07-02	-	COVID	English	Regular	MP	notMinister	KD	Christian Democrats	Opposition	Centre-right	AnteroLaukkanen	Laukkanen, Antero	M	1958	
ParlaMint-FI-en_2021-07-02-ps-88	ParlaMint-FI_2021-07-02-ps-88.u7	Minutes of the Finnish Parliament's plenary session 88/2021, 2021-07-02	2021-07-02	Unicameralism	Vaalikausi 2019	Valtiopäivät 2021	Täysistunto 88	2021-07-02	-	COVID	English	Regular	MP	notMinister	VAS	Left Alliance	Coalition	Left	PaavoArhinmäki	Arhinmäki, Paavo	M	1976	
ParlaMint-FI-en_2021-07-02-ps-88	ParlaMint-FI_2021-07-02-ps-88.u8	Minutes of the Finnish Parliament's plenary session 88/2021, 2021-07-02	2021-07-02	Unicameralism	Vaalikausi 2019	Valtiopäivät 2021	Täysistunto 88	2021-07-02	-	COVID	English	Regular	MP	notMinister	KD	Christian Democrats	Opposition	Centre-right	AnteroLaukkanen	Laukkanen, Antero	M	1958	
ParlaMint-FI-en_2021-07-02-ps-88	ParlaMint-FI_2021-07-02-ps-88.u9	Minutes of the Finnish Parliament's plenary session 88/2021, 2021-07-02	2021-07-02	Unicameralism	Vaalikausi 2019	Valtiopäivät 2021	Täysistunto 88	2021-07-02	-	COVID	English	Chairperson	MP	notMinister	KESK	Centre Party	Coalition	Centre	AnuVehviläinen	Vehviläinen, Anu	F	1963	
ParlaMint-FI-en_2021-07-02-ps-88	ParlaMint-FI_2021-07-02-ps-88.u10	Minutes of the Finnish Parliament's plenary session 88/2021, 2021-07-02	2021-07-02	Unicameralism	Vaalikausi 2019	Valtiopäivät 2021	Täysistunto 88	2021-07-02	-	COVID	English	Regular	MP	notMinister	KOK	National Coalition Party	Opposition	Centre-right	TimoHeinonen	Heinonen, Timo	M	1975	
ParlaMint-FI-en_2021-07-02-ps-88	ParlaMint-FI_2021-07-02-ps-88.u11	Minutes of the Finnish Parliament's plenary session 88/2021, 2021-07-02	2021-07-02	Unicameralism	Vaalikausi 2019	Valtiopäivät 2021	Täysistunto 88	2021-07-02	-	COVID	English	Chairperson	MP	notMinister	KESK	Centre Party	Coalition	Centre	AnuVehviläinen	Vehviläinen, Anu	F	1963	
