Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-FI-en_2021-05-07-ps-54	ParlaMint-FI_2021-05-07-ps-54.u1	Minutes of the Finnish Parliament's plenary session 54/2021, 2021-05-07	2021-05-07	Unicameralism	Vaalikausi 2019	Valtiopäivät 2021	Täysistunto 54	2021-05-07	-	COVID	English	Chairperson	MP	notMinister	KESK	Centre Party	Coalition	Centre	AnuVehviläinen	Vehviläinen, Anu	F	1963	
ParlaMint-FI-en_2021-05-07-ps-54	ParlaMint-FI_2021-05-07-ps-54.u2	Minutes of the Finnish Parliament's plenary session 54/2021, 2021-05-07	2021-05-07	Unicameralism	Vaalikausi 2019	Valtiopäivät 2021	Täysistunto 54	2021-05-07	-	COVID	English	Regular	MP	notMinister	KOK	National Coalition Party	Opposition	Centre-right	JaanaPelkonen	Pelkonen, Jaana	F	1977	
ParlaMint-FI-en_2021-05-07-ps-54	ParlaMint-FI_2021-05-07-ps-54.u3	Minutes of the Finnish Parliament's plenary session 54/2021, 2021-05-07	2021-05-07	Unicameralism	Vaalikausi 2019	Valtiopäivät 2021	Täysistunto 54	2021-05-07	-	COVID	English	Chairperson	MP	notMinister	KESK	Centre Party	Coalition	Centre	AnuVehviläinen	Vehviläinen, Anu	F	1963	
ParlaMint-FI-en_2021-05-07-ps-54	ParlaMint-FI_2021-05-07-ps-54.u4	Minutes of the Finnish Parliament's plenary session 54/2021, 2021-05-07	2021-05-07	Unicameralism	Vaalikausi 2019	Valtiopäivät 2021	Täysistunto 54	2021-05-07	-	COVID	English	Regular	MP	notMinister	KESK	Centre Party	Coalition	Centre	AnttiKurvinen	Kurvinen, Antti	M	1986	
ParlaMint-FI-en_2021-05-07-ps-54	ParlaMint-FI_2021-05-07-ps-54.u5	Minutes of the Finnish Parliament's plenary session 54/2021, 2021-05-07	2021-05-07	Unicameralism	Vaalikausi 2019	Valtiopäivät 2021	Täysistunto 54	2021-05-07	-	COVID	English	Chairperson	MP	notMinister	KESK	Centre Party	Coalition	Centre	AnuVehviläinen	Vehviläinen, Anu	F	1963	
ParlaMint-FI-en_2021-05-07-ps-54	ParlaMint-FI_2021-05-07-ps-54.u6	Minutes of the Finnish Parliament's plenary session 54/2021, 2021-05-07	2021-05-07	Unicameralism	Vaalikausi 2019	Valtiopäivät 2021	Täysistunto 54	2021-05-07	-	COVID	English	Regular	MP	notMinister	KOK	National Coalition Party	Opposition	Centre-right	HeikkiAutto	Autto, Heikki	M	1984	
ParlaMint-FI-en_2021-05-07-ps-54	ParlaMint-FI_2021-05-07-ps-54.u7	Minutes of the Finnish Parliament's plenary session 54/2021, 2021-05-07	2021-05-07	Unicameralism	Vaalikausi 2019	Valtiopäivät 2021	Täysistunto 54	2021-05-07	-	COVID	English	Chairperson	MP	notMinister	KESK	Centre Party	Coalition	Centre	AnuVehviläinen	Vehviläinen, Anu	F	1963	
ParlaMint-FI-en_2021-05-07-ps-54	ParlaMint-FI_2021-05-07-ps-54.u8	Minutes of the Finnish Parliament's plenary session 54/2021, 2021-05-07	2021-05-07	Unicameralism	Vaalikausi 2019	Valtiopäivät 2021	Täysistunto 54	2021-05-07	-	COVID	English	Regular	MP	notMinister	KD	Christian Democrats	Opposition	Centre-right	PäiviRäsänen	Räsänen, Päivi	F	1959	
ParlaMint-FI-en_2021-05-07-ps-54	ParlaMint-FI_2021-05-07-ps-54.u9	Minutes of the Finnish Parliament's plenary session 54/2021, 2021-05-07	2021-05-07	Unicameralism	Vaalikausi 2019	Valtiopäivät 2021	Täysistunto 54	2021-05-07	-	COVID	English	Chairperson	MP	notMinister	KESK	Centre Party	Coalition	Centre	AnuVehviläinen	Vehviläinen, Anu	F	1963	
ParlaMint-FI-en_2021-05-07-ps-54	ParlaMint-FI_2021-05-07-ps-54.u10	Minutes of the Finnish Parliament's plenary session 54/2021, 2021-05-07	2021-05-07	Unicameralism	Vaalikausi 2019	Valtiopäivät 2021	Täysistunto 54	2021-05-07	-	COVID	English	Regular	MP	notMinister	KESK	Centre Party	Coalition	Centre	AnttiKurvinen	Kurvinen, Antti	M	1986	
ParlaMint-FI-en_2021-05-07-ps-54	ParlaMint-FI_2021-05-07-ps-54.u11	Minutes of the Finnish Parliament's plenary session 54/2021, 2021-05-07	2021-05-07	Unicameralism	Vaalikausi 2019	Valtiopäivät 2021	Täysistunto 54	2021-05-07	-	COVID	English	Chairperson	MP	notMinister	KESK	Centre Party	Coalition	Centre	AnuVehviläinen	Vehviläinen, Anu	F	1963	
ParlaMint-FI-en_2021-05-07-ps-54	ParlaMint-FI_2021-05-07-ps-54.u12	Minutes of the Finnish Parliament's plenary session 54/2021, 2021-05-07	2021-05-07	Unicameralism	Vaalikausi 2019	Valtiopäivät 2021	Täysistunto 54	2021-05-07	-	COVID	English	Regular	MP	notMinister	PS	Finns Party	Opposition	Right to far-right	SakariPuisto	Puisto, Sakari	M	1976	
ParlaMint-FI-en_2021-05-07-ps-54	ParlaMint-FI_2021-05-07-ps-54.u13	Minutes of the Finnish Parliament's plenary session 54/2021, 2021-05-07	2021-05-07	Unicameralism	Vaalikausi 2019	Valtiopäivät 2021	Täysistunto 54	2021-05-07	-	COVID	English	Chairperson	MP	notMinister	KESK	Centre Party	Coalition	Centre	AnuVehviläinen	Vehviläinen, Anu	F	1963	
ParlaMint-FI-en_2021-05-07-ps-54	ParlaMint-FI_2021-05-07-ps-54.u14	Minutes of the Finnish Parliament's plenary session 54/2021, 2021-05-07	2021-05-07	Unicameralism	Vaalikausi 2019	Valtiopäivät 2021	Täysistunto 54	2021-05-07	-	COVID	English	Regular	MP	notMinister	KOK	National Coalition Party	Opposition	Centre-right	HeikkiAutto	Autto, Heikki	M	1984	
