Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-EE-en_2011-05-19	ParlaMint-EE_2011-05-19_U1	XII Parliament term, I Session, Plenary Assembly regular meeting on Thursday, 19.05.2011, 10:00	2011-05-19	Unicameralism	XII Riigikogu	I regular session	-	2011-05-19	-	Reference	English	Chairperson	MP	notMinister	KE	Keskerakond	-	Centre-left	j_ratas_19780702	Ratas, Jüri	M	1978	
ParlaMint-EE-en_2011-05-19	ParlaMint-EE_2011-05-19_U2	XII Parliament term, I Session, Plenary Assembly regular meeting on Thursday, 19.05.2011, 10:00	2011-05-19	Unicameralism	XII Riigikogu	I regular session	-	2011-05-19	-	Reference	English	Regular	MP	notMinister	KE	Keskerakond	-	Centre-left	m_tuus_laul_19510512	Tuus, Marika	F	1951	
ParlaMint-EE-en_2011-05-19	ParlaMint-EE_2011-05-19_U3	XII Parliament term, I Session, Plenary Assembly regular meeting on Thursday, 19.05.2011, 10:00	2011-05-19	Unicameralism	XII Riigikogu	I regular session	-	2011-05-19	-	Reference	English	Chairperson	MP	notMinister	KE	Keskerakond	-	Centre-left	j_ratas_19780702	Ratas, Jüri	M	1978	
ParlaMint-EE-en_2011-05-19	ParlaMint-EE_2011-05-19_U4	XII Parliament term, I Session, Plenary Assembly regular meeting on Thursday, 19.05.2011, 10:00	2011-05-19	Unicameralism	XII Riigikogu	I regular session	-	2011-05-19	-	Reference	English	Regular	MP	notMinister	KE	Keskerakond	-	Centre-left	p_toobal_19831101	Toobal, Priit	M	1983	
ParlaMint-EE-en_2011-05-19	ParlaMint-EE_2011-05-19_U5	XII Parliament term, I Session, Plenary Assembly regular meeting on Thursday, 19.05.2011, 10:00	2011-05-19	Unicameralism	XII Riigikogu	I regular session	-	2011-05-19	-	Reference	English	Chairperson	MP	notMinister	KE	Keskerakond	-	Centre-left	j_ratas_19780702	Ratas, Jüri	M	1978	
ParlaMint-EE-en_2011-05-19	ParlaMint-EE_2011-05-19_U6	XII Parliament term, I Session, Plenary Assembly regular meeting on Thursday, 19.05.2011, 10:00	2011-05-19	Unicameralism	XII Riigikogu	I regular session	-	2011-05-19	-	Reference	English	Regular	MP	notMinister	KE	Keskerakond	-	Centre-left	o_sõtnik_19801202	Sõtnik, Olga	F	1980	
ParlaMint-EE-en_2011-05-19	ParlaMint-EE_2011-05-19_U7	XII Parliament term, I Session, Plenary Assembly regular meeting on Thursday, 19.05.2011, 10:00	2011-05-19	Unicameralism	XII Riigikogu	I regular session	-	2011-05-19	-	Reference	English	Chairperson	MP	notMinister	KE	Keskerakond	-	Centre-left	j_ratas_19780702	Ratas, Jüri	M	1978	
ParlaMint-EE-en_2011-05-19	ParlaMint-EE_2011-05-19_U8	XII Parliament term, I Session, Plenary Assembly regular meeting on Thursday, 19.05.2011, 10:00	2011-05-19	Unicameralism	XII Riigikogu	I regular session	-	2011-05-19	-	Reference	English	Chairperson	MP	notMinister	KE	Keskerakond	-	Centre-left	j_ratas_19780702	Ratas, Jüri	M	1978	
ParlaMint-EE-en_2011-05-19	ParlaMint-EE_2011-05-19_U9	XII Parliament term, I Session, Plenary Assembly regular meeting on Thursday, 19.05.2011, 10:00	2011-05-19	Unicameralism	XII Riigikogu	I regular session	-	2011-05-19	-	Reference	English	Regular	MP	notMinister	ISA	Isamaa	Coalition	Centre-right to right	s_sester_19690714	Sester, Sven	M	1969	
ParlaMint-EE-en_2011-05-19	ParlaMint-EE_2011-05-19_U10	XII Parliament term, I Session, Plenary Assembly regular meeting on Thursday, 19.05.2011, 10:00	2011-05-19	Unicameralism	XII Riigikogu	I regular session	-	2011-05-19	-	Reference	English	Chairperson	MP	notMinister	KE	Keskerakond	-	Centre-left	j_ratas_19780702	Ratas, Jüri	M	1978	
ParlaMint-EE-en_2011-05-19	ParlaMint-EE_2011-05-19_U11	XII Parliament term, I Session, Plenary Assembly regular meeting on Thursday, 19.05.2011, 10:00	2011-05-19	Unicameralism	XII Riigikogu	I regular session	-	2011-05-19	-	Reference	English	Regular	MP	notMinister	SDE	Sotsiaaldemokraatlik erakond	-	Centre-left	j_allik_19461008	Allik, Jaak	M	1946	
ParlaMint-EE-en_2011-05-19	ParlaMint-EE_2011-05-19_U12	XII Parliament term, I Session, Plenary Assembly regular meeting on Thursday, 19.05.2011, 10:00	2011-05-19	Unicameralism	XII Riigikogu	I regular session	-	2011-05-19	-	Reference	English	Regular	MP	notMinister	ISA	Isamaa	Coalition	Centre-right to right	s_sester_19690714	Sester, Sven	M	1969	
ParlaMint-EE-en_2011-05-19	ParlaMint-EE_2011-05-19_U13	XII Parliament term, I Session, Plenary Assembly regular meeting on Thursday, 19.05.2011, 10:00	2011-05-19	Unicameralism	XII Riigikogu	I regular session	-	2011-05-19	-	Reference	English	Chairperson	MP	notMinister	KE	Keskerakond	-	Centre-left	j_ratas_19780702	Ratas, Jüri	M	1978	
ParlaMint-EE-en_2011-05-19	ParlaMint-EE_2011-05-19_U14	XII Parliament term, I Session, Plenary Assembly regular meeting on Thursday, 19.05.2011, 10:00	2011-05-19	Unicameralism	XII Riigikogu	I regular session	-	2011-05-19	-	Reference	English	Regular	MP	notMinister	SDE	Sotsiaaldemokraatlik erakond	-	Centre-left	e_nestor_19530905	Nestor, Eiki	M	1953	
ParlaMint-EE-en_2011-05-19	ParlaMint-EE_2011-05-19_U15	XII Parliament term, I Session, Plenary Assembly regular meeting on Thursday, 19.05.2011, 10:00	2011-05-19	Unicameralism	XII Riigikogu	I regular session	-	2011-05-19	-	Reference	English	Regular	MP	notMinister	ISA	Isamaa	Coalition	Centre-right to right	s_sester_19690714	Sester, Sven	M	1969	
ParlaMint-EE-en_2011-05-19	ParlaMint-EE_2011-05-19_U16	XII Parliament term, I Session, Plenary Assembly regular meeting on Thursday, 19.05.2011, 10:00	2011-05-19	Unicameralism	XII Riigikogu	I regular session	-	2011-05-19	-	Reference	English	Chairperson	MP	notMinister	KE	Keskerakond	-	Centre-left	j_ratas_19780702	Ratas, Jüri	M	1978	
