Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-EE-en_2011-04-07	ParlaMint-EE_2011-04-07_U1	XII Parliament term, I Session, Plenary Assembly regular meeting on Thursday, 07.04.2011, 10:00	2011-04-07	Unicameralism	XII Riigikogu	I regular session	-	2011-04-07	-	Reference	English	Chairperson	MP	notMinister	KE	Keskerakond	-	Centre-left	j_ratas_19780702	Ratas, Jüri	M	1978	
ParlaMint-EE-en_2011-04-07	ParlaMint-EE_2011-04-07_U2	XII Parliament term, I Session, Plenary Assembly regular meeting on Thursday, 07.04.2011, 10:00	2011-04-07	Unicameralism	XII Riigikogu	I regular session	-	2011-04-07	-	Reference	English	Chairperson	MP	notMinister	KE	Keskerakond	-	Centre-left	j_ratas_19780702	Ratas, Jüri	M	1978	
ParlaMint-EE-en_2011-04-07	ParlaMint-EE_2011-04-07_U3	XII Parliament term, I Session, Plenary Assembly regular meeting on Thursday, 07.04.2011, 10:00	2011-04-07	Unicameralism	XII Riigikogu	I regular session	-	2011-04-07	-	Reference	English	Regular	MP	notMinister	RE	Reformierakond	Coalition	Centre-right	m_maripuu_19740716	Maripuu, Maret	F	1974	
ParlaMint-EE-en_2011-04-07	ParlaMint-EE_2011-04-07_U4	XII Parliament term, I Session, Plenary Assembly regular meeting on Thursday, 07.04.2011, 10:00	2011-04-07	Unicameralism	XII Riigikogu	I regular session	-	2011-04-07	-	Reference	English	Chairperson	MP	notMinister	KE	Keskerakond	-	Centre-left	j_ratas_19780702	Ratas, Jüri	M	1978	
ParlaMint-EE-en_2011-04-07	ParlaMint-EE_2011-04-07_U5	XII Parliament term, I Session, Plenary Assembly regular meeting on Thursday, 07.04.2011, 10:00	2011-04-07	Unicameralism	XII Riigikogu	I regular session	-	2011-04-07	-	Reference	English	Regular	MP	notMinister	RE	Reformierakond	Coalition	Centre-right	pe_rummo_19420119	Rummo, Paul-Eerik	M	1942	
ParlaMint-EE-en_2011-04-07	ParlaMint-EE_2011-04-07_U6	XII Parliament term, I Session, Plenary Assembly regular meeting on Thursday, 07.04.2011, 10:00	2011-04-07	Unicameralism	XII Riigikogu	I regular session	-	2011-04-07	-	Reference	English	Chairperson	MP	notMinister	KE	Keskerakond	-	Centre-left	j_ratas_19780702	Ratas, Jüri	M	1978	
ParlaMint-EE-en_2011-04-07	ParlaMint-EE_2011-04-07_U7	XII Parliament term, I Session, Plenary Assembly regular meeting on Thursday, 07.04.2011, 10:00	2011-04-07	Unicameralism	XII Riigikogu	I regular session	-	2011-04-07	-	Reference	English	Regular	MP	notMinister	SDE	Sotsiaaldemokraatlik erakond	-	Centre-left	s_mikser_19731108	Mikser, Sven	M	1973	
ParlaMint-EE-en_2011-04-07	ParlaMint-EE_2011-04-07_U8	XII Parliament term, I Session, Plenary Assembly regular meeting on Thursday, 07.04.2011, 10:00	2011-04-07	Unicameralism	XII Riigikogu	I regular session	-	2011-04-07	-	Reference	English	Chairperson	MP	notMinister	KE	Keskerakond	-	Centre-left	j_ratas_19780702	Ratas, Jüri	M	1978	
ParlaMint-EE-en_2011-04-07	ParlaMint-EE_2011-04-07_U9	XII Parliament term, I Session, Plenary Assembly regular meeting on Thursday, 07.04.2011, 10:00	2011-04-07	Unicameralism	XII Riigikogu	I regular session	-	2011-04-07	-	Reference	English	Regular	MP	notMinister	ISA	Isamaa	Coalition	Centre-right to right	u_reinsalu_19750622	Reinsalu, Urmas	M	1975	
ParlaMint-EE-en_2011-04-07	ParlaMint-EE_2011-04-07_U10	XII Parliament term, I Session, Plenary Assembly regular meeting on Thursday, 07.04.2011, 10:00	2011-04-07	Unicameralism	XII Riigikogu	I regular session	-	2011-04-07	-	Reference	English	Chairperson	MP	notMinister	KE	Keskerakond	-	Centre-left	j_ratas_19780702	Ratas, Jüri	M	1978	
ParlaMint-EE-en_2011-04-07	ParlaMint-EE_2011-04-07_U11	XII Parliament term, I Session, Plenary Assembly regular meeting on Thursday, 07.04.2011, 10:00	2011-04-07	Unicameralism	XII Riigikogu	I regular session	-	2011-04-07	-	Reference	English	Regular	MP	notMinister	RE	Reformierakond	Coalition	Centre-right	j_tamkivi_19591117	Tamkivi, Jaanus	M	1959	
ParlaMint-EE-en_2011-04-07	ParlaMint-EE_2011-04-07_U12	XII Parliament term, I Session, Plenary Assembly regular meeting on Thursday, 07.04.2011, 10:00	2011-04-07	Unicameralism	XII Riigikogu	I regular session	-	2011-04-07	-	Reference	English	Chairperson	MP	notMinister	KE	Keskerakond	-	Centre-left	j_ratas_19780702	Ratas, Jüri	M	1978	
