Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-EE-en_2011-05-05	ParlaMint-EE_2011-05-05_U1	XII Parliament term, I Session, Plenary Assembly regular meeting on Thursday, 05.05.2011, 10:00	2011-05-05	Unicameralism	XII Riigikogu	I regular session	-	2011-05-05	-	Reference	English	Chairperson	MP	notMinister	KE	Keskerakond	-	Centre-left	j_ratas_19780702	Ratas, Jüri	M	1978	
ParlaMint-EE-en_2011-05-05	ParlaMint-EE_2011-05-05_U2	XII Parliament term, I Session, Plenary Assembly regular meeting on Thursday, 05.05.2011, 10:00	2011-05-05	Unicameralism	XII Riigikogu	I regular session	-	2011-05-05	-	Reference	English	Regular	MP	notMinister	KE	Keskerakond	-	Centre-left	l_kaljuvee_19521229	Kaljuvee, Lembit	M	1952	
ParlaMint-EE-en_2011-05-05	ParlaMint-EE_2011-05-05_U3	XII Parliament term, I Session, Plenary Assembly regular meeting on Thursday, 05.05.2011, 10:00	2011-05-05	Unicameralism	XII Riigikogu	I regular session	-	2011-05-05	-	Reference	English	Chairperson	MP	notMinister	KE	Keskerakond	-	Centre-left	j_ratas_19780702	Ratas, Jüri	M	1978	
ParlaMint-EE-en_2011-05-05	ParlaMint-EE_2011-05-05_U4	XII Parliament term, I Session, Plenary Assembly regular meeting on Thursday, 05.05.2011, 10:00	2011-05-05	Unicameralism	XII Riigikogu	I regular session	-	2011-05-05	-	Reference	English	Regular	MP	notMinister	SDE	Sotsiaaldemokraatlik erakond	-	Centre-left	k_kotkas_19600410	Kotkas, Kalev	M	1960	
ParlaMint-EE-en_2011-05-05	ParlaMint-EE_2011-05-05_U5	XII Parliament term, I Session, Plenary Assembly regular meeting on Thursday, 05.05.2011, 10:00	2011-05-05	Unicameralism	XII Riigikogu	I regular session	-	2011-05-05	-	Reference	English	Chairperson	MP	notMinister	KE	Keskerakond	-	Centre-left	j_ratas_19780702	Ratas, Jüri	M	1978	
ParlaMint-EE-en_2011-05-05	ParlaMint-EE_2011-05-05_U6	XII Parliament term, I Session, Plenary Assembly regular meeting on Thursday, 05.05.2011, 10:00	2011-05-05	Unicameralism	XII Riigikogu	I regular session	-	2011-05-05	-	Reference	English	Chairperson	MP	notMinister	KE	Keskerakond	-	Centre-left	j_ratas_19780702	Ratas, Jüri	M	1978	
ParlaMint-EE-en_2011-05-05	ParlaMint-EE_2011-05-05_U7	XII Parliament term, I Session, Plenary Assembly regular meeting on Thursday, 05.05.2011, 10:00	2011-05-05	Unicameralism	XII Riigikogu	I regular session	-	2011-05-05	-	Reference	English	Regular	MP	notMinister	RE	Reformierakond	Coalition	Centre-right	v_linde_19590131	Linde, Väino	M	1959	
ParlaMint-EE-en_2011-05-05	ParlaMint-EE_2011-05-05_U8	XII Parliament term, I Session, Plenary Assembly regular meeting on Thursday, 05.05.2011, 10:00	2011-05-05	Unicameralism	XII Riigikogu	I regular session	-	2011-05-05	-	Reference	English	Chairperson	MP	notMinister	KE	Keskerakond	-	Centre-left	j_ratas_19780702	Ratas, Jüri	M	1978	
ParlaMint-EE-en_2011-05-05	ParlaMint-EE_2011-05-05_U9	XII Parliament term, I Session, Plenary Assembly regular meeting on Thursday, 05.05.2011, 10:00	2011-05-05	Unicameralism	XII Riigikogu	I regular session	-	2011-05-05	-	Reference	English	Chairperson	MP	notMinister	KE	Keskerakond	-	Centre-left	j_ratas_19780702	Ratas, Jüri	M	1978	
ParlaMint-EE-en_2011-05-05	ParlaMint-EE_2011-05-05_U10	XII Parliament term, I Session, Plenary Assembly regular meeting on Thursday, 05.05.2011, 10:00	2011-05-05	Unicameralism	XII Riigikogu	I regular session	-	2011-05-05	-	Reference	English	Regular	MP	notMinister	KE	Keskerakond	-	Centre-left	d_boroditš_19791101	Boroditš, Deniss	M	1979	
ParlaMint-EE-en_2011-05-05	ParlaMint-EE_2011-05-05_U11	XII Parliament term, I Session, Plenary Assembly regular meeting on Thursday, 05.05.2011, 10:00	2011-05-05	Unicameralism	XII Riigikogu	I regular session	-	2011-05-05	-	Reference	English	Chairperson	MP	notMinister	KE	Keskerakond	-	Centre-left	j_ratas_19780702	Ratas, Jüri	M	1978	
ParlaMint-EE-en_2011-05-05	ParlaMint-EE_2011-05-05_U12	XII Parliament term, I Session, Plenary Assembly regular meeting on Thursday, 05.05.2011, 10:00	2011-05-05	Unicameralism	XII Riigikogu	I regular session	-	2011-05-05	-	Reference	English	Chairperson	MP	notMinister	KE	Keskerakond	-	Centre-left	j_ratas_19780702	Ratas, Jüri	M	1978	
ParlaMint-EE-en_2011-05-05	ParlaMint-EE_2011-05-05_U13	XII Parliament term, I Session, Plenary Assembly regular meeting on Thursday, 05.05.2011, 10:00	2011-05-05	Unicameralism	XII Riigikogu	I regular session	-	2011-05-05	-	Reference	English	Regular	MP	notMinister	RE	Reformierakond	Coalition	Centre-right	r_maruste_19530927	Maruste, Rait	M	1953	
ParlaMint-EE-en_2011-05-05	ParlaMint-EE_2011-05-05_U14	XII Parliament term, I Session, Plenary Assembly regular meeting on Thursday, 05.05.2011, 10:00	2011-05-05	Unicameralism	XII Riigikogu	I regular session	-	2011-05-05	-	Reference	English	Chairperson	MP	notMinister	KE	Keskerakond	-	Centre-left	j_ratas_19780702	Ratas, Jüri	M	1978	
