Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-BA-en_2000-03-02-0	ParlaMint-BA_2000-03-02-0.u385	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 2, Session 13	2000-03-02	Unicameralism	2. mandat	-	Sjednica 13	2000-03-02	-	Reference	English	Chairperson	MP	notMinister	SBiH	Stranka za Bosnu i Hercegovinu	-	Centre	ŽigićIzet	Žigić, Izet	M	1956	
ParlaMint-BA-en_2000-03-02-0	ParlaMint-BA_2000-03-02-0.u387	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 2, Session 13	2000-03-02	Unicameralism	2. mandat	-	Sjednica 13	2000-03-02	-	Reference	English	Regular	notMP	notMinister	-	-	-	-	KurtovićMirsad	Kurtović, Mirsad	U	-	
ParlaMint-BA-en_2000-03-02-0	ParlaMint-BA_2000-03-02-0.u388	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 2, Session 13	2000-03-02	Unicameralism	2. mandat	-	Sjednica 13	2000-03-02	-	Reference	English	Chairperson	MP	notMinister	SBiH	Stranka za Bosnu i Hercegovinu	-	Centre	ŽigićIzet	Žigić, Izet	M	1956	
ParlaMint-BA-en_2000-03-02-0	ParlaMint-BA_2000-03-02-0.u389	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 2, Session 13	2000-03-02	Unicameralism	2. mandat	-	Sjednica 13	2000-03-02	-	Reference	English	Regular	notMP	notMinister	-	-	-	-	KurtovićMirsad	Kurtović, Mirsad	U	-	
ParlaMint-BA-en_2000-03-02-0	ParlaMint-BA_2000-03-02-0.u390	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 2, Session 13	2000-03-02	Unicameralism	2. mandat	-	Sjednica 13	2000-03-02	-	Reference	English	Chairperson	MP	notMinister	SBiH	Stranka za Bosnu i Hercegovinu	-	Centre	ŽigićIzet	Žigić, Izet	M	1956	
ParlaMint-BA-en_2000-03-02-0	ParlaMint-BA_2000-03-02-0.u391	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 2, Session 13	2000-03-02	Unicameralism	2. mandat	-	Sjednica 13	2000-03-02	-	Reference	English	Regular	MP	notMinister	SNS	Srpski narodni savez	-	Centre-right	LjubičićDrago	Ljubičić, Drago	M	1949	
