Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NO-en_2015-10-20	ParlaMint-NO_2015-10-20.ana.ud1969e35	Hansard from meeting in the Norwegian Parliament, term 2013-2017, Session 2015-2016, Sitting day 2015-10-20	2015-10-20	Unicameralism	Term 2013-2017	Session 2015-2016	-	Sitting day 2015-10-20	-	Reference	English	Chairperson	MP	notMinister	H	Høyre	Coalition	Centre-right	person.OLET	Thommessen, Olemic	M	1956	
ParlaMint-NO-en_2015-10-20	ParlaMint-NO_2015-10-20.ana.ud1969e61	Hansard from meeting in the Norwegian Parliament, term 2013-2017, Session 2015-2016, Sitting day 2015-10-20	2015-10-20	Unicameralism	Term 2013-2017	Session 2015-2016	-	Sitting day 2015-10-20	-	Reference	English	Chairperson	MP	notMinister	H	Høyre	Coalition	Centre-right	person.OLET	Thommessen, Olemic	M	1956	
ParlaMint-NO-en_2015-10-20	ParlaMint-NO_2015-10-20.ana.ud1969e105	Hansard from meeting in the Norwegian Parliament, term 2013-2017, Session 2015-2016, Sitting day 2015-10-20	2015-10-20	Unicameralism	Term 2013-2017	Session 2015-2016	-	Sitting day 2015-10-20	-	Reference	English	Chairperson	MP	notMinister	H	Høyre	Coalition	Centre-right	person.OLET	Thommessen, Olemic	M	1956	
ParlaMint-NO-en_2015-10-20	ParlaMint-NO_2015-10-20.ana.ud1969e121	Hansard from meeting in the Norwegian Parliament, term 2013-2017, Session 2015-2016, Sitting day 2015-10-20	2015-10-20	Unicameralism	Term 2013-2017	Session 2015-2016	-	Sitting day 2015-10-20	-	Reference	English	Regular	MP	notMinister	FrP	Fremskrittspartiet	Coalition	Right	person.HNJ	Njåstad, Helge André	M	1980	
ParlaMint-NO-en_2015-10-20	ParlaMint-NO_2015-10-20.ana.ud1969e159	Hansard from meeting in the Norwegian Parliament, term 2013-2017, Session 2015-2016, Sitting day 2015-10-20	2015-10-20	Unicameralism	Term 2013-2017	Session 2015-2016	-	Sitting day 2015-10-20	-	Reference	English	Regular	MP	Minister	H	Høyre	Coalition	Centre-right	person.JTS	Sanner, Jan Tore	M	1965	
ParlaMint-NO-en_2015-10-20	ParlaMint-NO_2015-10-20.ana.ud1969e228	Hansard from meeting in the Norwegian Parliament, term 2013-2017, Session 2015-2016, Sitting day 2015-10-20	2015-10-20	Unicameralism	Term 2013-2017	Session 2015-2016	-	Sitting day 2015-10-20	-	Reference	English	Regular	MP	notMinister	FrP	Fremskrittspartiet	Coalition	Right	person.HNJ	Njåstad, Helge André	M	1980	
ParlaMint-NO-en_2015-10-20	ParlaMint-NO_2015-10-20.ana.ud1969e239	Hansard from meeting in the Norwegian Parliament, term 2013-2017, Session 2015-2016, Sitting day 2015-10-20	2015-10-20	Unicameralism	Term 2013-2017	Session 2015-2016	-	Sitting day 2015-10-20	-	Reference	English	Regular	MP	Minister	H	Høyre	Coalition	Centre-right	person.JTS	Sanner, Jan Tore	M	1965	
ParlaMint-NO-en_2015-10-20	ParlaMint-NO_2015-10-20.ana.ud1969e252	Hansard from meeting in the Norwegian Parliament, term 2013-2017, Session 2015-2016, Sitting day 2015-10-20	2015-10-20	Unicameralism	Term 2013-2017	Session 2015-2016	-	Sitting day 2015-10-20	-	Reference	English	Regular	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.MAKO	Kolberg, Martin	M	1949	
ParlaMint-NO-en_2015-10-20	ParlaMint-NO_2015-10-20.ana.ud1969e271	Hansard from meeting in the Norwegian Parliament, term 2013-2017, Session 2015-2016, Sitting day 2015-10-20	2015-10-20	Unicameralism	Term 2013-2017	Session 2015-2016	-	Sitting day 2015-10-20	-	Reference	English	Regular	MP	notMinister	H	Høyre	Coalition	Centre-right	person.SVES	Stensland, Sveinung	M	1972	
ParlaMint-NO-en_2015-10-20	ParlaMint-NO_2015-10-20.ana.ud1969e297	Hansard from meeting in the Norwegian Parliament, term 2013-2017, Session 2015-2016, Sitting day 2015-10-20	2015-10-20	Unicameralism	Term 2013-2017	Session 2015-2016	-	Sitting day 2015-10-20	-	Reference	English	Regular	MP	notMinister	Sp	Senterpartiet	-	Centre	person.HEIG	Greni, Heidi	F	1962	
ParlaMint-NO-en_2015-10-20	ParlaMint-NO_2015-10-20.ana.ud1969e327	Hansard from meeting in the Norwegian Parliament, term 2013-2017, Session 2015-2016, Sitting day 2015-10-20	2015-10-20	Unicameralism	Term 2013-2017	Session 2015-2016	-	Sitting day 2015-10-20	-	Reference	English	Regular	MP	notMinister	V	Venstre	-	Centre	person.SVR	Rotevatn, Sveinung	M	1987	
