Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-GR-en_2018-10-31-S1-commons	ParlaMint-GR_2018-10-31-S1-commons.u1	Minutes of the assembly of the greek parliament, Term 17, session 4, sitting 19, 2018-10-31	2018-10-31	Unicameralism	17	4	-	19	-	Reference	English	Chairperson	MP	notMinister	T.P.	The River	Opposition	Centre to centre-left	ΛΥΚΟΥΔΗΣ_ΔΙΟΝΥΣΙΟΥ_ΣΠΥΡΙΔΩΝ	Lykoydīs, Spyridōn	M	-	
ParlaMint-GR-en_2018-10-31-S1-commons	ParlaMint-GR_2018-10-31-S1-commons.u2	Minutes of the assembly of the greek parliament, Term 17, session 4, sitting 19, 2018-10-31	2018-10-31	Unicameralism	17	4	-	19	-	Reference	English	Chairperson	MP	notMinister	T.P.	The River	Opposition	Centre to centre-left	ΛΥΚΟΥΔΗΣ_ΔΙΟΝΥΣΙΟΥ_ΣΠΥΡΙΔΩΝ	Lykoydīs, Spyridōn	M	-	
ParlaMint-GR-en_2018-10-31-S1-commons	ParlaMint-GR_2018-10-31-S1-commons.u3	Minutes of the assembly of the greek parliament, Term 17, session 4, sitting 19, 2018-10-31	2018-10-31	Unicameralism	17	4	-	19	-	Reference	English	Chairperson	MP	notMinister	T.P.	The River	Opposition	Centre to centre-left	ΛΥΚΟΥΔΗΣ_ΔΙΟΝΥΣΙΟΥ_ΣΠΥΡΙΔΩΝ	Lykoydīs, Spyridōn	M	-	
ParlaMint-GR-en_2018-10-31-S1-commons	ParlaMint-GR_2018-10-31-S1-commons.u4	Minutes of the assembly of the greek parliament, Term 17, session 4, sitting 19, 2018-10-31	2018-10-31	Unicameralism	17	4	-	19	-	Reference	English	Regular	MP	notMinister	SY.RIZ.A.	Coalition of the Radical Left – Progressive Alliance	Coalition	Centre-left to left	ΣΤΑΜΑΤΑΚΗ_ΠΑΝΑΓΙΩΤΗ_ΕΛΕΝΗ	Stamatakī, Elenī	F	-	
ParlaMint-GR-en_2018-10-31-S1-commons	ParlaMint-GR_2018-10-31-S1-commons.u5	Minutes of the assembly of the greek parliament, Term 17, session 4, sitting 19, 2018-10-31	2018-10-31	Unicameralism	17	4	-	19	-	Reference	English	Chairperson	MP	notMinister	T.P.	The River	Opposition	Centre to centre-left	ΛΥΚΟΥΔΗΣ_ΔΙΟΝΥΣΙΟΥ_ΣΠΥΡΙΔΩΝ	Lykoydīs, Spyridōn	M	-	
ParlaMint-GR-en_2018-10-31-S1-commons	ParlaMint-GR_2018-10-31-S1-commons.u6	Minutes of the assembly of the greek parliament, Term 17, session 4, sitting 19, 2018-10-31	2018-10-31	Unicameralism	17	4	-	19	-	Reference	English	Regular	MP	notMinister	Ch.A.	Popular Association – Golden Dawn	Opposition	Far-right	ΓΕΡΜΕΝΗΣ_ΣΠΥΡΙΔΩΝΟΣ_ΓΕΩΡΓΙΟΣ	Germenīs, Geōrgios	M	-	
ParlaMint-GR-en_2018-10-31-S1-commons	ParlaMint-GR_2018-10-31-S1-commons.u7	Minutes of the assembly of the greek parliament, Term 17, session 4, sitting 19, 2018-10-31	2018-10-31	Unicameralism	17	4	-	19	-	Reference	English	Chairperson	MP	notMinister	T.P.	The River	Opposition	Centre to centre-left	ΛΥΚΟΥΔΗΣ_ΔΙΟΝΥΣΙΟΥ_ΣΠΥΡΙΔΩΝ	Lykoydīs, Spyridōn	M	-	
ParlaMint-GR-en_2018-10-31-S1-commons	ParlaMint-GR_2018-10-31-S1-commons.u8	Minutes of the assembly of the greek parliament, Term 17, session 4, sitting 19, 2018-10-31	2018-10-31	Unicameralism	17	4	-	19	-	Reference	English	Regular	MP	notMinister	Ch.A.	Popular Association – Golden Dawn	Opposition	Far-right	ΓΕΡΜΕΝΗΣ_ΣΠΥΡΙΔΩΝΟΣ_ΓΕΩΡΓΙΟΣ	Germenīs, Geōrgios	M	-	
ParlaMint-GR-en_2018-10-31-S1-commons	ParlaMint-GR_2018-10-31-S1-commons.u9	Minutes of the assembly of the greek parliament, Term 17, session 4, sitting 19, 2018-10-31	2018-10-31	Unicameralism	17	4	-	19	-	Reference	English	Chairperson	MP	notMinister	T.P.	The River	Opposition	Centre to centre-left	ΛΥΚΟΥΔΗΣ_ΔΙΟΝΥΣΙΟΥ_ΣΠΥΡΙΔΩΝ	Lykoydīs, Spyridōn	M	-	
ParlaMint-GR-en_2018-10-31-S1-commons	ParlaMint-GR_2018-10-31-S1-commons.u10	Minutes of the assembly of the greek parliament, Term 17, session 4, sitting 19, 2018-10-31	2018-10-31	Unicameralism	17	4	-	19	-	Reference	English	Regular	MP	notMinister	K.K.E.	Communist Party of Greece	Opposition	Far-left	ΒΑΡΔΑΛΗΣ_ΔΗΜΗΤΡΙΟΥ_ΑΘΑΝΑΣΙΟΣ	Vardalīs, Athanasios	M	-	
ParlaMint-GR-en_2018-10-31-S1-commons	ParlaMint-GR_2018-10-31-S1-commons.u11	Minutes of the assembly of the greek parliament, Term 17, session 4, sitting 19, 2018-10-31	2018-10-31	Unicameralism	17	4	-	19	-	Reference	English	Chairperson	MP	notMinister	T.P.	The River	Opposition	Centre to centre-left	ΛΥΚΟΥΔΗΣ_ΔΙΟΝΥΣΙΟΥ_ΣΠΥΡΙΔΩΝ	Lykoydīs, Spyridōn	M	-	
ParlaMint-GR-en_2018-10-31-S1-commons	ParlaMint-GR_2018-10-31-S1-commons.u12	Minutes of the assembly of the greek parliament, Term 17, session 4, sitting 19, 2018-10-31	2018-10-31	Unicameralism	17	4	-	19	-	Reference	English	Regular	MP	notMinister	N.D.	New Democracy	Opposition	Centre-right	ΤΑΣΟΥΛΑΣ_ΑΝΑΣΤΑΣΙΟΥ_ΚΩΝΣΤΑΝΤΙΝΟΣ	Tasoylas, Kōnstantinos	M	-	
ParlaMint-GR-en_2018-10-31-S1-commons	ParlaMint-GR_2018-10-31-S1-commons.u13	Minutes of the assembly of the greek parliament, Term 17, session 4, sitting 19, 2018-10-31	2018-10-31	Unicameralism	17	4	-	19	-	Reference	English	Chairperson	MP	notMinister	T.P.	The River	Opposition	Centre to centre-left	ΛΥΚΟΥΔΗΣ_ΔΙΟΝΥΣΙΟΥ_ΣΠΥΡΙΔΩΝ	Lykoydīs, Spyridōn	M	-	
ParlaMint-GR-en_2018-10-31-S1-commons	ParlaMint-GR_2018-10-31-S1-commons.u14	Minutes of the assembly of the greek parliament, Term 17, session 4, sitting 19, 2018-10-31	2018-10-31	Unicameralism	17	4	-	19	-	Reference	English	Regular	MP	notMinister	Ch.A.	Popular Association – Golden Dawn	Opposition	Far-right	ΓΕΡΜΕΝΗΣ_ΣΠΥΡΙΔΩΝΟΣ_ΓΕΩΡΓΙΟΣ	Germenīs, Geōrgios	M	-	
ParlaMint-GR-en_2018-10-31-S1-commons	ParlaMint-GR_2018-10-31-S1-commons.u15	Minutes of the assembly of the greek parliament, Term 17, session 4, sitting 19, 2018-10-31	2018-10-31	Unicameralism	17	4	-	19	-	Reference	English	Chairperson	MP	notMinister	T.P.	The River	Opposition	Centre to centre-left	ΛΥΚΟΥΔΗΣ_ΔΙΟΝΥΣΙΟΥ_ΣΠΥΡΙΔΩΝ	Lykoydīs, Spyridōn	M	-	
ParlaMint-GR-en_2018-10-31-S1-commons	ParlaMint-GR_2018-10-31-S1-commons.u16	Minutes of the assembly of the greek parliament, Term 17, session 4, sitting 19, 2018-10-31	2018-10-31	Unicameralism	17	4	-	19	-	Reference	English	Regular	notMP	Minister	-	-	-	-	ΑΛΕΞΑΝΔΡΟΣ_ΧΑΡΙΤΣΗΣ	Charitsīs, Alexandros	M	-	
ParlaMint-GR-en_2018-10-31-S1-commons	ParlaMint-GR_2018-10-31-S1-commons.u17	Minutes of the assembly of the greek parliament, Term 17, session 4, sitting 19, 2018-10-31	2018-10-31	Unicameralism	17	4	-	19	-	Reference	English	Chairperson	MP	notMinister	T.P.	The River	Opposition	Centre to centre-left	ΛΥΚΟΥΔΗΣ_ΔΙΟΝΥΣΙΟΥ_ΣΠΥΡΙΔΩΝ	Lykoydīs, Spyridōn	M	-	
ParlaMint-GR-en_2018-10-31-S1-commons	ParlaMint-GR_2018-10-31-S1-commons.u18	Minutes of the assembly of the greek parliament, Term 17, session 4, sitting 19, 2018-10-31	2018-10-31	Unicameralism	17	4	-	19	-	Reference	English	Chairperson	MP	notMinister	T.P.	The River	Opposition	Centre to centre-left	ΛΥΚΟΥΔΗΣ_ΔΙΟΝΥΣΙΟΥ_ΣΠΥΡΙΔΩΝ	Lykoydīs, Spyridōn	M	-	
ParlaMint-GR-en_2018-10-31-S1-commons	ParlaMint-GR_2018-10-31-S1-commons.u19	Minutes of the assembly of the greek parliament, Term 17, session 4, sitting 19, 2018-10-31	2018-10-31	Unicameralism	17	4	-	19	-	Reference	English	Chairperson	MP	notMinister	T.P.	The River	Opposition	Centre to centre-left	ΛΥΚΟΥΔΗΣ_ΔΙΟΝΥΣΙΟΥ_ΣΠΥΡΙΔΩΝ	Lykoydīs, Spyridōn	M	-	
ParlaMint-GR-en_2018-10-31-S1-commons	ParlaMint-GR_2018-10-31-S1-commons.u20	Minutes of the assembly of the greek parliament, Term 17, session 4, sitting 19, 2018-10-31	2018-10-31	Unicameralism	17	4	-	19	-	Reference	English	Chairperson	MP	notMinister	T.P.	The River	Opposition	Centre to centre-left	ΛΥΚΟΥΔΗΣ_ΔΙΟΝΥΣΙΟΥ_ΣΠΥΡΙΔΩΝ	Lykoydīs, Spyridōn	M	-	
ParlaMint-GR-en_2018-10-31-S1-commons	ParlaMint-GR_2018-10-31-S1-commons.u21	Minutes of the assembly of the greek parliament, Term 17, session 4, sitting 19, 2018-10-31	2018-10-31	Unicameralism	17	4	-	19	-	Reference	English	Chairperson	MP	notMinister	T.P.	The River	Opposition	Centre to centre-left	ΛΥΚΟΥΔΗΣ_ΔΙΟΝΥΣΙΟΥ_ΣΠΥΡΙΔΩΝ	Lykoydīs, Spyridōn	M	-	
ParlaMint-GR-en_2018-10-31-S1-commons	ParlaMint-GR_2018-10-31-S1-commons.u22	Minutes of the assembly of the greek parliament, Term 17, session 4, sitting 19, 2018-10-31	2018-10-31	Unicameralism	17	4	-	19	-	Reference	English	Chairperson	MP	notMinister	T.P.	The River	Opposition	Centre to centre-left	ΛΥΚΟΥΔΗΣ_ΔΙΟΝΥΣΙΟΥ_ΣΠΥΡΙΔΩΝ	Lykoydīs, Spyridōn	M	-	
