Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-GR-en_2018-04-26-S2-commons	ParlaMint-GR_2018-04-26-S2-commons.u1	Minutes of the assembly of the greek parliament, Term 17, session 3, sitting 105, 2018-04-26	2018-04-26	Unicameralism	17	3	-	105	-	Reference	English	Chairperson	MP	notMinister	SY.RIZ.A.	Coalition of the Radical Left – Progressive Alliance	Coalition	Centre-left to left	ΒΑΡΕΜΕΝΟΣ_ΒΑΣΙΛΕΙΟΥ_ΓΕΩΡΓΙΟΣ	Varemenos, Geōrgios	M	-	
ParlaMint-GR-en_2018-04-26-S2-commons	ParlaMint-GR_2018-04-26-S2-commons.u2	Minutes of the assembly of the greek parliament, Term 17, session 3, sitting 105, 2018-04-26	2018-04-26	Unicameralism	17	3	-	105	-	Reference	English	Chairperson	MP	notMinister	SY.RIZ.A.	Coalition of the Radical Left – Progressive Alliance	Coalition	Centre-left to left	ΒΑΡΕΜΕΝΟΣ_ΒΑΣΙΛΕΙΟΥ_ΓΕΩΡΓΙΟΣ	Varemenos, Geōrgios	M	-	
ParlaMint-GR-en_2018-04-26-S2-commons	ParlaMint-GR_2018-04-26-S2-commons.u3	Minutes of the assembly of the greek parliament, Term 17, session 3, sitting 105, 2018-04-26	2018-04-26	Unicameralism	17	3	-	105	-	Reference	English	Chairperson	MP	notMinister	SY.RIZ.A.	Coalition of the Radical Left – Progressive Alliance	Coalition	Centre-left to left	ΒΟΥΤΣΗΣ_ΓΕΩΡΓΙΟΥ_ΝΙΚΟΛΑΟΣ	Voytsīs, Nikolaos	M	-	
ParlaMint-GR-en_2018-04-26-S2-commons	ParlaMint-GR_2018-04-26-S2-commons.u4	Minutes of the assembly of the greek parliament, Term 17, session 3, sitting 105, 2018-04-26	2018-04-26	Unicameralism	17	3	-	105	-	Reference	English	Guest	notMP	notMinister	-	-	-	-	ΖΑΝ-ΚΛΟΝΤ_ΓΙΟΥΝΚΕΡ	Gioynker, Zan Klont	M	-	
ParlaMint-GR-en_2018-04-26-S2-commons	ParlaMint-GR_2018-04-26-S2-commons.u5	Minutes of the assembly of the greek parliament, Term 17, session 3, sitting 105, 2018-04-26	2018-04-26	Unicameralism	17	3	-	105	-	Reference	English	Chairperson	MP	notMinister	SY.RIZ.A.	Coalition of the Radical Left – Progressive Alliance	Coalition	Centre-left to left	ΒΟΥΤΣΗΣ_ΓΕΩΡΓΙΟΥ_ΝΙΚΟΛΑΟΣ	Voytsīs, Nikolaos	M	-	
ParlaMint-GR-en_2018-04-26-S2-commons	ParlaMint-GR_2018-04-26-S2-commons.u6	Minutes of the assembly of the greek parliament, Term 17, session 3, sitting 105, 2018-04-26	2018-04-26	Unicameralism	17	3	-	105	-	Reference	English	Chairperson	MP	notMinister	SY.RIZ.A.	Coalition of the Radical Left – Progressive Alliance	Coalition	Centre-left to left	ΒΑΡΕΜΕΝΟΣ_ΒΑΣΙΛΕΙΟΥ_ΓΕΩΡΓΙΟΣ	Varemenos, Geōrgios	M	-	
ParlaMint-GR-en_2018-04-26-S2-commons	ParlaMint-GR_2018-04-26-S2-commons.u7	Minutes of the assembly of the greek parliament, Term 17, session 3, sitting 105, 2018-04-26	2018-04-26	Unicameralism	17	3	-	105	-	Reference	English	Chairperson	MP	notMinister	SY.RIZ.A.	Coalition of the Radical Left – Progressive Alliance	Coalition	Centre-left to left	ΒΑΡΕΜΕΝΟΣ_ΒΑΣΙΛΕΙΟΥ_ΓΕΩΡΓΙΟΣ	Varemenos, Geōrgios	M	-	
