Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-GR-en_2018-11-26-S1-commons	ParlaMint-GR_2018-11-26-S1-commons.u1	Minutes of the assembly of the greek parliament, Term 17, session 4, sitting 33, 2018-11-26	2018-11-26	Unicameralism	17	4	-	33	-	Reference	English	Chairperson	MP	notMinister	K.K.E.	Communist Party of Greece	Opposition	Far-left	ΛΑΜΠΡΟΥΛΗΣ_ΑΡΙΣΤΕΙΔΗ_ΓΕΩΡΓΙΟΣ	Lamproylīs, Geōrgios	M	-	
ParlaMint-GR-en_2018-11-26-S1-commons	ParlaMint-GR_2018-11-26-S1-commons.u2	Minutes of the assembly of the greek parliament, Term 17, session 4, sitting 33, 2018-11-26	2018-11-26	Unicameralism	17	4	-	33	-	Reference	English	Regular	MP	notMinister	SY.RIZ.A.	Coalition of the Radical Left – Progressive Alliance	Coalition	Centre-left to left	ΘΕΟΦΥΛΑΚΤΟΣ_ΓΑΒΡΙΗΛ_ΙΩΑΝΝΗΣ	Theofylaktos, Iōannīs	M	-	
ParlaMint-GR-en_2018-11-26-S1-commons	ParlaMint-GR_2018-11-26-S1-commons.u3	Minutes of the assembly of the greek parliament, Term 17, session 4, sitting 33, 2018-11-26	2018-11-26	Unicameralism	17	4	-	33	-	Reference	English	Chairperson	MP	notMinister	K.K.E.	Communist Party of Greece	Opposition	Far-left	ΛΑΜΠΡΟΥΛΗΣ_ΑΡΙΣΤΕΙΔΗ_ΓΕΩΡΓΙΟΣ	Lamproylīs, Geōrgios	M	-	
ParlaMint-GR-en_2018-11-26-S1-commons	ParlaMint-GR_2018-11-26-S1-commons.u4	Minutes of the assembly of the greek parliament, Term 17, session 4, sitting 33, 2018-11-26	2018-11-26	Unicameralism	17	4	-	33	-	Reference	English	Regular	notMP	notMinister	-	-	-	-	ΠΑΝΑΓΙΩΤΗΣ_ΡΗΓΑΣ	Rīgas, Panagiōtīs	M	-	
ParlaMint-GR-en_2018-11-26-S1-commons	ParlaMint-GR_2018-11-26-S1-commons.u5	Minutes of the assembly of the greek parliament, Term 17, session 4, sitting 33, 2018-11-26	2018-11-26	Unicameralism	17	4	-	33	-	Reference	English	Chairperson	MP	notMinister	K.K.E.	Communist Party of Greece	Opposition	Far-left	ΛΑΜΠΡΟΥΛΗΣ_ΑΡΙΣΤΕΙΔΗ_ΓΕΩΡΓΙΟΣ	Lamproylīs, Geōrgios	M	-	
ParlaMint-GR-en_2018-11-26-S1-commons	ParlaMint-GR_2018-11-26-S1-commons.u6	Minutes of the assembly of the greek parliament, Term 17, session 4, sitting 33, 2018-11-26	2018-11-26	Unicameralism	17	4	-	33	-	Reference	English	Regular	MP	notMinister	SY.RIZ.A.	Coalition of the Radical Left – Progressive Alliance	Coalition	Centre-left to left	ΘΕΟΦΥΛΑΚΤΟΣ_ΓΑΒΡΙΗΛ_ΙΩΑΝΝΗΣ	Theofylaktos, Iōannīs	M	-	
ParlaMint-GR-en_2018-11-26-S1-commons	ParlaMint-GR_2018-11-26-S1-commons.u7	Minutes of the assembly of the greek parliament, Term 17, session 4, sitting 33, 2018-11-26	2018-11-26	Unicameralism	17	4	-	33	-	Reference	English	Chairperson	MP	notMinister	K.K.E.	Communist Party of Greece	Opposition	Far-left	ΛΑΜΠΡΟΥΛΗΣ_ΑΡΙΣΤΕΙΔΗ_ΓΕΩΡΓΙΟΣ	Lamproylīs, Geōrgios	M	-	
ParlaMint-GR-en_2018-11-26-S1-commons	ParlaMint-GR_2018-11-26-S1-commons.u8	Minutes of the assembly of the greek parliament, Term 17, session 4, sitting 33, 2018-11-26	2018-11-26	Unicameralism	17	4	-	33	-	Reference	English	Regular	notMP	notMinister	-	-	-	-	ΠΑΝΑΓΙΩΤΗΣ_ΡΗΓΑΣ	Rīgas, Panagiōtīs	M	-	
ParlaMint-GR-en_2018-11-26-S1-commons	ParlaMint-GR_2018-11-26-S1-commons.u9	Minutes of the assembly of the greek parliament, Term 17, session 4, sitting 33, 2018-11-26	2018-11-26	Unicameralism	17	4	-	33	-	Reference	English	Chairperson	MP	notMinister	K.K.E.	Communist Party of Greece	Opposition	Far-left	ΛΑΜΠΡΟΥΛΗΣ_ΑΡΙΣΤΕΙΔΗ_ΓΕΩΡΓΙΟΣ	Lamproylīs, Geōrgios	M	-	
ParlaMint-GR-en_2018-11-26-S1-commons	ParlaMint-GR_2018-11-26-S1-commons.u10	Minutes of the assembly of the greek parliament, Term 17, session 4, sitting 33, 2018-11-26	2018-11-26	Unicameralism	17	4	-	33	-	Reference	English	Chairperson	MP	notMinister	K.K.E.	Communist Party of Greece	Opposition	Far-left	ΛΑΜΠΡΟΥΛΗΣ_ΑΡΙΣΤΕΙΔΗ_ΓΕΩΡΓΙΟΣ	Lamproylīs, Geōrgios	M	-	
