Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-GR-en_2018-11-05-S1-commons	ParlaMint-GR_2018-11-05-S1-commons.u1	Minutes of the assembly of the greek parliament, Term 17, session 4, sitting 22, 2018-11-05	2018-11-05	Unicameralism	17	4	-	22	-	Reference	English	Chairperson	MP	notMinister	E.K.	Union of Centrists	Opposition	Centre	ΓΕΩΡΓΙΑΔΗΣ_ΝΙΚΟΛΑΟΥ_ΜΑΡΙΟΣ	Geōrgiadīs, Marios	M	-	
ParlaMint-GR-en_2018-11-05-S1-commons	ParlaMint-GR_2018-11-05-S1-commons.u2	Minutes of the assembly of the greek parliament, Term 17, session 4, sitting 22, 2018-11-05	2018-11-05	Unicameralism	17	4	-	22	-	Reference	English	Chairperson	MP	notMinister	E.K.	Union of Centrists	Opposition	Centre	ΓΕΩΡΓΙΑΔΗΣ_ΝΙΚΟΛΑΟΥ_ΜΑΡΙΟΣ	Geōrgiadīs, Marios	M	-	
ParlaMint-GR-en_2018-11-05-S1-commons	ParlaMint-GR_2018-11-05-S1-commons.u3	Minutes of the assembly of the greek parliament, Term 17, session 4, sitting 22, 2018-11-05	2018-11-05	Unicameralism	17	4	-	22	-	Reference	English	Chairperson	MP	notMinister	E.K.	Union of Centrists	Opposition	Centre	ΓΕΩΡΓΙΑΔΗΣ_ΝΙΚΟΛΑΟΥ_ΜΑΡΙΟΣ	Geōrgiadīs, Marios	M	-	
