Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-FI-en_2018-02-23-ps-12	ParlaMint-FI_2018-02-23-ps-12.u1	Minutes of the Finnish Parliament's plenary session 12/2018, 2018-02-23	2018-02-23	Unicameralism	Vaalikausi 2015	Valtiopäivät 2018	Täysistunto 12	2018-02-23	-	Reference	English	Chairperson	MP	notMinister	KOK	National Coalition Party	Coalition	Centre-right	PaulaRisikko	Risikko, Paula	F	1960	
ParlaMint-FI-en_2018-02-23-ps-12	ParlaMint-FI_2018-02-23-ps-12.u2	Minutes of the Finnish Parliament's plenary session 12/2018, 2018-02-23	2018-02-23	Unicameralism	Vaalikausi 2015	Valtiopäivät 2018	Täysistunto 12	2018-02-23	-	Reference	English	Chairperson	MP	notMinister	KOK	National Coalition Party	Coalition	Centre-right	PaulaRisikko	Risikko, Paula	F	1960	
ParlaMint-FI-en_2018-02-23-ps-12	ParlaMint-FI_2018-02-23-ps-12.u3	Minutes of the Finnish Parliament's plenary session 12/2018, 2018-02-23	2018-02-23	Unicameralism	Vaalikausi 2015	Valtiopäivät 2018	Täysistunto 12	2018-02-23	-	Reference	English	Regular	MP	notMinister	KD	Christian Democrats	Opposition	Centre-right	PäiviRäsänen	Räsänen, Päivi	F	1959	
ParlaMint-FI-en_2018-02-23-ps-12	ParlaMint-FI_2018-02-23-ps-12.u4	Minutes of the Finnish Parliament's plenary session 12/2018, 2018-02-23	2018-02-23	Unicameralism	Vaalikausi 2015	Valtiopäivät 2018	Täysistunto 12	2018-02-23	-	Reference	English	Regular	MP	notMinister	SDP	Social Democratic Party of Finland	Opposition	Centre-left	EeroHeinäluoma	Heinäluoma, Eero	M	1955	
ParlaMint-FI-en_2018-02-23-ps-12	ParlaMint-FI_2018-02-23-ps-12.u5	Minutes of the Finnish Parliament's plenary session 12/2018, 2018-02-23	2018-02-23	Unicameralism	Vaalikausi 2015	Valtiopäivät 2018	Täysistunto 12	2018-02-23	-	Reference	English	Chairperson	MP	notMinister	KOK	National Coalition Party	Coalition	Centre-right	PaulaRisikko	Risikko, Paula	F	1960	
ParlaMint-FI-en_2018-02-23-ps-12	ParlaMint-FI_2018-02-23-ps-12.u6	Minutes of the Finnish Parliament's plenary session 12/2018, 2018-02-23	2018-02-23	Unicameralism	Vaalikausi 2015	Valtiopäivät 2018	Täysistunto 12	2018-02-23	-	Reference	English	Chairperson	MP	notMinister	KOK	National Coalition Party	Coalition	Centre-right	PaulaRisikko	Risikko, Paula	F	1960	
ParlaMint-FI-en_2018-02-23-ps-12	ParlaMint-FI_2018-02-23-ps-12.u7	Minutes of the Finnish Parliament's plenary session 12/2018, 2018-02-23	2018-02-23	Unicameralism	Vaalikausi 2015	Valtiopäivät 2018	Täysistunto 12	2018-02-23	-	Reference	English	Chairperson	MP	notMinister	KOK	National Coalition Party	Coalition	Centre-right	PaulaRisikko	Risikko, Paula	F	1960	
ParlaMint-FI-en_2018-02-23-ps-12	ParlaMint-FI_2018-02-23-ps-12.u8	Minutes of the Finnish Parliament's plenary session 12/2018, 2018-02-23	2018-02-23	Unicameralism	Vaalikausi 2015	Valtiopäivät 2018	Täysistunto 12	2018-02-23	-	Reference	English	Regular	MP	notMinister	PS	Finns Party	Opposition	Right to far-right	LeenaMeri	Meri, Leena	F	1968	
ParlaMint-FI-en_2018-02-23-ps-12	ParlaMint-FI_2018-02-23-ps-12.u9	Minutes of the Finnish Parliament's plenary session 12/2018, 2018-02-23	2018-02-23	Unicameralism	Vaalikausi 2015	Valtiopäivät 2018	Täysistunto 12	2018-02-23	-	Reference	English	Regular	MP	notMinister	PS	Finns Party	Opposition	Right to far-right	MikaNiikko	Niikko, Mika	M	1967	
ParlaMint-FI-en_2018-02-23-ps-12	ParlaMint-FI_2018-02-23-ps-12.u10	Minutes of the Finnish Parliament's plenary session 12/2018, 2018-02-23	2018-02-23	Unicameralism	Vaalikausi 2015	Valtiopäivät 2018	Täysistunto 12	2018-02-23	-	Reference	English	Chairperson	MP	notMinister	KOK	National Coalition Party	Coalition	Centre-right	PaulaRisikko	Risikko, Paula	F	1960	
ParlaMint-FI-en_2018-02-23-ps-12	ParlaMint-FI_2018-02-23-ps-12.u11	Minutes of the Finnish Parliament's plenary session 12/2018, 2018-02-23	2018-02-23	Unicameralism	Vaalikausi 2015	Valtiopäivät 2018	Täysistunto 12	2018-02-23	-	Reference	English	Regular	MP	notMinister	PS	Finns Party	Opposition	Right to far-right	OlliImmonen	Immonen, Olli	M	1986	
