Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-UA-en_2007-11-23-m0	ParlaMint-UA_2007-11-23-m0.u1	Ukrainian parliamentary corpus ParlaMint-UA-en, term 6, session 1, sitting day 2007-11-23, n0	2007-11-23	Unicameralism	6	1	-	2007-11-23	-	Reference	English	Chairperson	MP	notMinister	SPU	Socialist Party of Ukraine	-	Left	ОлександрОлександровичМороз.1944	Moroz, Oleksandr Oleksandrovyč	M	1944	
ParlaMint-UA-en_2007-11-23-m0	ParlaMint-UA_2007-11-23-m0.u2	Ukrainian parliamentary corpus ParlaMint-UA-en, term 6, session 1, sitting day 2007-11-23, n0	2007-11-23	Unicameralism	6	1	-	2007-11-23	-	Reference	English	Regular	MP	notMinister	frCPU	Communist Party Faction	-	Far-left	ІванОлександровичГерасимов.1921	Herasymov, Ivan Oleksandrovyč	M	1921	
ParlaMint-UA-en_2007-11-23-m0	ParlaMint-UA_2007-11-23-m0.u3	Ukrainian parliamentary corpus ParlaMint-UA-en, term 6, session 1, sitting day 2007-11-23, n0	2007-11-23	Unicameralism	6	1	-	2007-11-23	-	Reference	English	Chairperson	MP	notMinister	SPU	Socialist Party of Ukraine	-	Left	ОлександрОлександровичМороз.1944	Moroz, Oleksandr Oleksandrovyč	M	1944	
