Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-AT-en_2019-07-02-026-XXVI-NRSITZ-00085	ParlaMint-AT_2019-07-02-026-XXVI-NRSITZ-00085_d7e480	Sitting Number 85, Legislative period XXVI, Tuesday, 2. July 2019	2019-07-02	Lower house	Legislative period XXVI	-	-	Sitting 85	-	Reference	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	Coalition	Centre-right to right	PAD_88386	Sobotka, Wolfgang	M	1956	
ParlaMint-AT-en_2019-07-02-026-XXVI-NRSITZ-00085	ParlaMint-AT_2019-07-02-026-XXVI-NRSITZ-00085_d7e516	Sitting Number 85, Legislative period XXVI, Tuesday, 2. July 2019	2019-07-02	Lower house	Legislative period XXVI	-	-	Sitting 85	-	Reference	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	Coalition	Centre-right to right	PAD_88386	Sobotka, Wolfgang	M	1956	
ParlaMint-AT-en_2019-07-02-026-XXVI-NRSITZ-00085	ParlaMint-AT_2019-07-02-026-XXVI-NRSITZ-00085_d7e983	Sitting Number 85, Legislative period XXVI, Tuesday, 2. July 2019	2019-07-02	Lower house	Legislative period XXVI	-	-	Sitting 85	-	Reference	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	Coalition	Centre-right to right	PAD_88386	Sobotka, Wolfgang	M	1956	
ParlaMint-AT-en_2019-07-02-026-XXVI-NRSITZ-00085	ParlaMint-AT_2019-07-02-026-XXVI-NRSITZ-00085_d7e1017	Sitting Number 85, Legislative period XXVI, Tuesday, 2. July 2019	2019-07-02	Lower house	Legislative period XXVI	-	-	Sitting 85	-	Reference	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	Coalition	Centre-right to right	PAD_88386	Sobotka, Wolfgang	M	1956	
ParlaMint-AT-en_2019-07-02-026-XXVI-NRSITZ-00085	ParlaMint-AT_2019-07-02-026-XXVI-NRSITZ-00085_d7e1053	Sitting Number 85, Legislative period XXVI, Tuesday, 2. July 2019	2019-07-02	Lower house	Legislative period XXVI	-	-	Sitting 85	-	Reference	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	Coalition	Centre-right to right	PAD_88386	Sobotka, Wolfgang	M	1956	
