Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-AT-en_2019-07-03-026-XXVI-NRSITZ-00087	ParlaMint-AT_2019-07-03-026-XXVI-NRSITZ-00087_d7e1106	Sitting Number 87, Legislative period XXVI, Wednesday, 3. July 2019	2019-07-03	Lower house	Legislative period XXVI	-	-	Sitting 87	-	Reference	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	Coalition	Centre-right to right	PAD_88386	Sobotka, Wolfgang	M	1956	
ParlaMint-AT-en_2019-07-03-026-XXVI-NRSITZ-00087	ParlaMint-AT_2019-07-03-026-XXVI-NRSITZ-00087_d7e1145	Sitting Number 87, Legislative period XXVI, Wednesday, 3. July 2019	2019-07-03	Lower house	Legislative period XXVI	-	-	Sitting 87	-	Reference	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	Coalition	Centre-right to right	PAD_88386	Sobotka, Wolfgang	M	1956	
ParlaMint-AT-en_2019-07-03-026-XXVI-NRSITZ-00087	ParlaMint-AT_2019-07-03-026-XXVI-NRSITZ-00087_d7e1387	Sitting Number 87, Legislative period XXVI, Wednesday, 3. July 2019	2019-07-03	Lower house	Legislative period XXVI	-	-	Sitting 87	-	Reference	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	Coalition	Centre-right to right	PAD_88386	Sobotka, Wolfgang	M	1956	
ParlaMint-AT-en_2019-07-03-026-XXVI-NRSITZ-00087	ParlaMint-AT_2019-07-03-026-XXVI-NRSITZ-00087_d7e1415	Sitting Number 87, Legislative period XXVI, Wednesday, 3. July 2019	2019-07-03	Lower house	Legislative period XXVI	-	-	Sitting 87	-	Reference	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	Coalition	Centre-right to right	PAD_88386	Sobotka, Wolfgang	M	1956	
ParlaMint-AT-en_2019-07-03-026-XXVI-NRSITZ-00087	ParlaMint-AT_2019-07-03-026-XXVI-NRSITZ-00087_d7e1545	Sitting Number 87, Legislative period XXVI, Wednesday, 3. July 2019	2019-07-03	Lower house	Legislative period XXVI	-	-	Sitting 87	-	Reference	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	Coalition	Centre-right to right	PAD_88386	Sobotka, Wolfgang	M	1956	
ParlaMint-AT-en_2019-07-03-026-XXVI-NRSITZ-00087	ParlaMint-AT_2019-07-03-026-XXVI-NRSITZ-00087_d7e1683	Sitting Number 87, Legislative period XXVI, Wednesday, 3. July 2019	2019-07-03	Lower house	Legislative period XXVI	-	-	Sitting 87	-	Reference	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	Coalition	Centre-right to right	PAD_88386	Sobotka, Wolfgang	M	1956	
ParlaMint-AT-en_2019-07-03-026-XXVI-NRSITZ-00087	ParlaMint-AT_2019-07-03-026-XXVI-NRSITZ-00087_d7e1713	Sitting Number 87, Legislative period XXVI, Wednesday, 3. July 2019	2019-07-03	Lower house	Legislative period XXVI	-	-	Sitting 87	-	Reference	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	Coalition	Centre-right to right	PAD_88386	Sobotka, Wolfgang	M	1956	
