Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-AT-en_2019-05-16-026-XXVI-NRSITZ-00077	ParlaMint-AT_2019-05-16-026-XXVI-NRSITZ-00077_d7e420	Sitting Number 77, Legislative period XXVI, Thursday, 16. May 2019	2019-05-16	Lower house	Legislative period XXVI	-	-	Sitting 77	-	Reference	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	Coalition	Centre-right to right	PAD_88386	Sobotka, Wolfgang	M	1956	
ParlaMint-AT-en_2019-05-16-026-XXVI-NRSITZ-00077	ParlaMint-AT_2019-05-16-026-XXVI-NRSITZ-00077_d7e453	Sitting Number 77, Legislative period XXVI, Thursday, 16. May 2019	2019-05-16	Lower house	Legislative period XXVI	-	-	Sitting 77	-	Reference	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	Coalition	Centre-right to right	PAD_88386	Sobotka, Wolfgang	M	1956	
ParlaMint-AT-en_2019-05-16-026-XXVI-NRSITZ-00077	ParlaMint-AT_2019-05-16-026-XXVI-NRSITZ-00077_d7e651	Sitting Number 77, Legislative period XXVI, Thursday, 16. May 2019	2019-05-16	Lower house	Legislative period XXVI	-	-	Sitting 77	-	Reference	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	Coalition	Centre-right to right	PAD_88386	Sobotka, Wolfgang	M	1956	
ParlaMint-AT-en_2019-05-16-026-XXVI-NRSITZ-00077	ParlaMint-AT_2019-05-16-026-XXVI-NRSITZ-00077_d7e675	Sitting Number 77, Legislative period XXVI, Thursday, 16. May 2019	2019-05-16	Lower house	Legislative period XXVI	-	-	Sitting 77	-	Reference	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	Coalition	Centre-right to right	PAD_88386	Sobotka, Wolfgang	M	1956	
