Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-AT-en_2019-06-12-026-XXVI-NRSITZ-00081	ParlaMint-AT_2019-06-12-026-XXVI-NRSITZ-00081_d7e498	Sitting Number 81, Legislative period XXVI, Wednesday, 12. June 2019	2019-06-12	Lower house	Legislative period XXVI	-	-	Sitting 81	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Opposition	Centre-left	PAD_00145	Bures, Doris	F	1962	
ParlaMint-AT-en_2019-06-12-026-XXVI-NRSITZ-00081	ParlaMint-AT_2019-06-12-026-XXVI-NRSITZ-00081_d7e534	Sitting Number 81, Legislative period XXVI, Wednesday, 12. June 2019	2019-06-12	Lower house	Legislative period XXVI	-	-	Sitting 81	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Opposition	Centre-left	PAD_00145	Bures, Doris	F	1962	
ParlaMint-AT-en_2019-06-12-026-XXVI-NRSITZ-00081	ParlaMint-AT_2019-06-12-026-XXVI-NRSITZ-00081_d7e1019	Sitting Number 81, Legislative period XXVI, Wednesday, 12. June 2019	2019-06-12	Lower house	Legislative period XXVI	-	-	Sitting 81	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Opposition	Centre-left	PAD_00145	Bures, Doris	F	1962	
ParlaMint-AT-en_2019-06-12-026-XXVI-NRSITZ-00081	ParlaMint-AT_2019-06-12-026-XXVI-NRSITZ-00081_d7e1060	Sitting Number 81, Legislative period XXVI, Wednesday, 12. June 2019	2019-06-12	Lower house	Legislative period XXVI	-	-	Sitting 81	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Opposition	Centre-left	PAD_00145	Bures, Doris	F	1962	
ParlaMint-AT-en_2019-06-12-026-XXVI-NRSITZ-00081	ParlaMint-AT_2019-06-12-026-XXVI-NRSITZ-00081_d7e1115	Sitting Number 81, Legislative period XXVI, Wednesday, 12. June 2019	2019-06-12	Lower house	Legislative period XXVI	-	-	Sitting 81	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Opposition	Centre-left	PAD_00145	Bures, Doris	F	1962	
