Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-AT-en_2019-04-24-026-XXVI-NRSITZ-00071	ParlaMint-AT_2019-04-24-026-XXVI-NRSITZ-00071_d7e370	Sitting Number 71, Legislative period XXVI, Wednesday, 24. April 2019	2019-04-24	Lower house	Legislative period XXVI	-	-	Sitting 71	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Opposition	Centre-left	PAD_00145	Bures, Doris	F	1962	
ParlaMint-AT-en_2019-04-24-026-XXVI-NRSITZ-00071	ParlaMint-AT_2019-04-24-026-XXVI-NRSITZ-00071_d7e397	Sitting Number 71, Legislative period XXVI, Wednesday, 24. April 2019	2019-04-24	Lower house	Legislative period XXVI	-	-	Sitting 71	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Opposition	Centre-left	PAD_00145	Bures, Doris	F	1962	
ParlaMint-AT-en_2019-04-24-026-XXVI-NRSITZ-00071	ParlaMint-AT_2019-04-24-026-XXVI-NRSITZ-00071_d7e712	Sitting Number 71, Legislative period XXVI, Wednesday, 24. April 2019	2019-04-24	Lower house	Legislative period XXVI	-	-	Sitting 71	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Opposition	Centre-left	PAD_00145	Bures, Doris	F	1962	
