Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-AT-en_2019-06-13-026-XXVI-NRSITZ-00083	ParlaMint-AT_2019-06-13-026-XXVI-NRSITZ-00083_d7e615	Sitting Number 83, Legislative period XXVI, Thursday, 13. June 2019	2019-06-13	Lower house	Legislative period XXVI	-	-	Sitting 83	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Opposition	Centre-left	PAD_00145	Bures, Doris	F	1962	
ParlaMint-AT-en_2019-06-13-026-XXVI-NRSITZ-00083	ParlaMint-AT_2019-06-13-026-XXVI-NRSITZ-00083_d7e651	Sitting Number 83, Legislative period XXVI, Thursday, 13. June 2019	2019-06-13	Lower house	Legislative period XXVI	-	-	Sitting 83	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Opposition	Centre-left	PAD_00145	Bures, Doris	F	1962	
ParlaMint-AT-en_2019-06-13-026-XXVI-NRSITZ-00083	ParlaMint-AT_2019-06-13-026-XXVI-NRSITZ-00083_d7e824	Sitting Number 83, Legislative period XXVI, Thursday, 13. June 2019	2019-06-13	Lower house	Legislative period XXVI	-	-	Sitting 83	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Opposition	Centre-left	PAD_00145	Bures, Doris	F	1962	
ParlaMint-AT-en_2019-06-13-026-XXVI-NRSITZ-00083	ParlaMint-AT_2019-06-13-026-XXVI-NRSITZ-00083_d7e871	Sitting Number 83, Legislative period XXVI, Thursday, 13. June 2019	2019-06-13	Lower house	Legislative period XXVI	-	-	Sitting 83	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Opposition	Centre-left	PAD_00145	Bures, Doris	F	1962	
ParlaMint-AT-en_2019-06-13-026-XXVI-NRSITZ-00083	ParlaMint-AT_2019-06-13-026-XXVI-NRSITZ-00083_d7e969	Sitting Number 83, Legislative period XXVI, Thursday, 13. June 2019	2019-06-13	Lower house	Legislative period XXVI	-	-	Sitting 83	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Opposition	Centre-left	PAD_00145	Bures, Doris	F	1962	
