Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-AT-en_2019-10-23-027-XXVII-NRSITZ-00002	ParlaMint-AT_2019-10-23-027-XXVII-NRSITZ-00002_d7e328	Sitting Number 2, Legislative period XXVII, Wednesday, 23. October 2019	2019-10-23	Lower house	Legislative period XXVII	-	-	Sitting 2	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Opposition	Centre-left	PAD_00145	Bures, Doris	F	1962	
ParlaMint-AT-en_2019-10-23-027-XXVII-NRSITZ-00002	ParlaMint-AT_2019-10-23-027-XXVII-NRSITZ-00002_d7e355	Sitting Number 2, Legislative period XXVII, Wednesday, 23. October 2019	2019-10-23	Lower house	Legislative period XXVII	-	-	Sitting 2	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Opposition	Centre-left	PAD_00145	Bures, Doris	F	1962	
ParlaMint-AT-en_2019-10-23-027-XXVII-NRSITZ-00002	ParlaMint-AT_2019-10-23-027-XXVII-NRSITZ-00002_d7e529	Sitting Number 2, Legislative period XXVII, Wednesday, 23. October 2019	2019-10-23	Lower house	Legislative period XXVII	-	-	Sitting 2	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Opposition	Centre-left	PAD_00145	Bures, Doris	F	1962	
