Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-AT-en_2019-11-13-027-XXVII-NRSITZ-00004	ParlaMint-AT_2019-11-13-027-XXVII-NRSITZ-00004_d7e396	Sitting Number 4, Legislative period XXVII, Wednesday, 13. November 2019	2019-11-13	Lower house	Legislative period XXVII	-	-	Sitting 4	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Opposition	Centre-left	PAD_00145	Bures, Doris	F	1962	
ParlaMint-AT-en_2019-11-13-027-XXVII-NRSITZ-00004	ParlaMint-AT_2019-11-13-027-XXVII-NRSITZ-00004_d7e429	Sitting Number 4, Legislative period XXVII, Wednesday, 13. November 2019	2019-11-13	Lower house	Legislative period XXVII	-	-	Sitting 4	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Opposition	Centre-left	PAD_00145	Bures, Doris	F	1962	
ParlaMint-AT-en_2019-11-13-027-XXVII-NRSITZ-00004	ParlaMint-AT_2019-11-13-027-XXVII-NRSITZ-00004_d7e984	Sitting Number 4, Legislative period XXVII, Wednesday, 13. November 2019	2019-11-13	Lower house	Legislative period XXVII	-	-	Sitting 4	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Opposition	Centre-left	PAD_00145	Bures, Doris	F	1962	
ParlaMint-AT-en_2019-11-13-027-XXVII-NRSITZ-00004	ParlaMint-AT_2019-11-13-027-XXVII-NRSITZ-00004_d7e1017	Sitting Number 4, Legislative period XXVII, Wednesday, 13. November 2019	2019-11-13	Lower house	Legislative period XXVII	-	-	Sitting 4	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Opposition	Centre-left	PAD_00145	Bures, Doris	F	1962	
