Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-AT-en_2019-04-25-026-XXVI-NRSITZ-00073	ParlaMint-AT_2019-04-25-026-XXVI-NRSITZ-00073_d7e518	Sitting Number 73, Legislative period XXVI, Thursday, 25. April 2019	2019-04-25	Lower house	Legislative period XXVI	-	-	Sitting 73	-	Reference	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	Coalition	Centre-right to right	PAD_88386	Sobotka, Wolfgang	M	1956	
ParlaMint-AT-en_2019-04-25-026-XXVI-NRSITZ-00073	ParlaMint-AT_2019-04-25-026-XXVI-NRSITZ-00073_d7e570	Sitting Number 73, Legislative period XXVI, Thursday, 25. April 2019	2019-04-25	Lower house	Legislative period XXVI	-	-	Sitting 73	-	Reference	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	Coalition	Centre-right to right	PAD_88386	Sobotka, Wolfgang	M	1956	
ParlaMint-AT-en_2019-04-25-026-XXVI-NRSITZ-00073	ParlaMint-AT_2019-04-25-026-XXVI-NRSITZ-00073_d7e790	Sitting Number 73, Legislative period XXVI, Thursday, 25. April 2019	2019-04-25	Lower house	Legislative period XXVI	-	-	Sitting 73	-	Reference	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	Coalition	Centre-right to right	PAD_88386	Sobotka, Wolfgang	M	1956	
