Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-AT-en_2019-03-28-026-XXVI-NRSITZ-00067	ParlaMint-AT_2019-03-28-026-XXVI-NRSITZ-00067_d7e377	Sitting Number 67, Legislative period XXVI, Thursday, 28. March 2019	2019-03-28	Lower house	Legislative period XXVI	-	-	Sitting 67	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Opposition	Centre-left	PAD_00145	Bures, Doris	F	1962	
ParlaMint-AT-en_2019-03-28-026-XXVI-NRSITZ-00067	ParlaMint-AT_2019-03-28-026-XXVI-NRSITZ-00067_d7e420	Sitting Number 67, Legislative period XXVI, Thursday, 28. March 2019	2019-03-28	Lower house	Legislative period XXVI	-	-	Sitting 67	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Opposition	Centre-left	PAD_00145	Bures, Doris	F	1962	
ParlaMint-AT-en_2019-03-28-026-XXVI-NRSITZ-00067	ParlaMint-AT_2019-03-28-026-XXVI-NRSITZ-00067_d7e815	Sitting Number 67, Legislative period XXVI, Thursday, 28. March 2019	2019-03-28	Lower house	Legislative period XXVI	-	-	Sitting 67	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Opposition	Centre-left	PAD_00145	Bures, Doris	F	1962	
